,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
6,13,D.Fox o35.5 Pts+Rebs+Ast,Sacramento Kings,ChrisRaybon,-121,1.0,1.8264462809917357,0,D.Fox,Golden State Warriors,1,0.8264462809917354,0.5454545454545454,1.0,0.8,1.0,0.8,1.0
13,13,D.Fox o35.5 Pts+Rebs+Ast,Sacramento Kings,ChrisRaybon,-121,1.0,1.8264462809917357,0,D.Fox,Golden State Warriors,1,0.8264462809917354,,,,,,
