,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
12,12,13,D.Garland o30.5 Pts+Rebs+Ast,JoeMetz,-120,1.2,2.2,0,Cleveland Cavaliers,D.Garland,Minnesota Timberwolves,0.0,1.0000000000000002,,,,,,,,,
6,12,13,D.Garland o30.5 Pts+Rebs+Ast,JoeMetz,-120,1.2,2.2,0,Cleveland Cavaliers,D.Garland,Minnesota Timberwolves,0.0,1.0000000000000002,6.0,6.0,12.0,0.6,1.0,0.8,1.0,0.5,0.0
