Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
N.Claxton u25.5 Pts+Rebs+Ast,allanlemdfs,Brooklyn Nets,Chicago Bulls,0.0,0.9333333333333332,1,1.0,1,1.0,1,-115.0,0.58,1.0843478260869563,0.5043478260869564,N.Claxton
N.Claxton u26.5 Pts+Rebs+Ast,JoeDellera,Brooklyn Nets,Chicago Bulls,0.0,0.9333333333333332,1,1.0,1,1.0,1,-106.0,1.0,1.9433962264150944,0.9433962264150944,N.Claxton
N.Claxton u26.5 Pts+Rebs+Ast,kylemurray03,Brooklyn Nets,Chicago Bulls,0.0,0.9333333333333332,1,1.0,1,1.0,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,N.Claxton
J.Wilson u21.5 Pts+Rebs+Ast,gneiffer07,Brooklyn Nets,Chicago Bulls,0.0,0.9,1,0.8,1,0.9,1,-125.0,1.25,2.25,1.0,J.Wilson
J.Randle o20.5 Pts,sandyplashkes,Minnesota Timberwolves,Los Angeles Lakers,1.0,0.631578947368421,1,0.8,1,0.6,1,-120.0,1.2,2.2,1.0000000000000002,J.Randle
A.Davis o41.5 Pts+Rebs+Ast,Rotowire Sleeper,Los Angeles Lakers,Minnesota Timberwolves,0.0,0.631578947368421,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,A.Davis
A.Davis o25.5 Pts,JoeDellera,Los Angeles Lakers,Minnesota Timberwolves,0.0,0.631578947368421,1,0.2,0,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,A.Davis
C.White o17.5 Pts,RoyalsProps,Chicago Bulls,Brooklyn Nets,1.0,0.6190476190476191,1,0.4,0,0.5,0,-115.0,1.15,2.1499999999999995,0.9999999999999996,C.White
N.Reid o1.5 3pt M,RoyalsProps,Minnesota Timberwolves,Los Angeles Lakers,1.0,0.5789473684210527,1,0.2,0,0.5,0,-120.0,1.2,2.2,1.0000000000000002,N.Reid
N.Reid o17.5 Pts+Rebs+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Lakers,1.0,0.5789473684210527,1,0.2,0,0.6,1,100.0,1.5,3.0,1.5,N.Reid
A.Davis o26.5 Pts,therocketplays,Los Angeles Lakers,Minnesota Timberwolves,0.0,0.5789473684210527,1,0.2,0,0.4,0,-102.0,1.02,2.02,1.0,A.Davis
J.Giddey o24.5 Pts+Rebs+Ast,Rotowire Sleeper,Chicago Bulls,Brooklyn Nets,1.0,0.5238095238095238,1,0.4,0,0.3,0,100.0,1.5,3.0,1.5,J.Giddey
L.James u39.5 Pts+Rebs+Ast,gneiffer07,Los Angeles Lakers,Minnesota Timberwolves,0.0,0.5,0,0.8,1,0.5,0,-105.0,1.05,2.05,0.9999999999999998,L.James
Z.LaVine u24.5 Pts,itsbucketsnba,Chicago Bulls,Brooklyn Nets,1.0,0.4444444444444444,0,0.4,0,0.4,0,-121.0,1.0,1.826446280991736,0.8264462809917354,Z.LaVine
R.Gobert o10.5 Pts,Rotowire Prizepicks,Minnesota Timberwolves,Los Angeles Lakers,1.0,0.4210526315789473,0,0.2,0,0.4,0,100.0,1.5,3.0,1.5,R.Gobert
J.Johnson u19.5 Pts,itsbucketsnba,Atlanta Hawks,New Orleans Pelicans,1.0,0.35,0,0.0,0,0.3,0,-115.0,1.0,1.869565217391304,0.8695652173913042,J.Johnson
D.Schroder o21.5 Pts,the_degenerates,Brooklyn Nets,Chicago Bulls,0.0,0.3157894736842105,0,0.4,0,0.3,0,-113.0,1.13,2.13,1.0,D.Schroder
D.Schroder o33.5 Pts+Rebs+Ast,PlayerPropSavant,Brooklyn Nets,Chicago Bulls,0.0,0.2631578947368421,0,0.4,0,0.2,0,-120.0,1.2,2.2,1.0000000000000002,D.Schroder
