Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
P.Banchero o22.5 Pts,sandyplashkes,Orlando Magic,Denver Nuggets,0.0,0.3888888888888889,0,0.2,0,0.3,0,-110,1.1,2.1,1.0,P.Banchero
P.Banchero o22.5 Pts,LinesAtLunch,Orlando Magic,Denver Nuggets,0.0,0.3888888888888889,0,0.2,0,0.3,0,-110,1.1,2.1,1.0,P.Banchero
D.DeRozan o21.5 Pts,Steakfriend123,Sacramento Kings,Portland Trail Blazers,0.0,0.5111111111111111,1,0.2,0,0.5,0,-110,1.1,2.1,1.0,D.DeRozan
N.Powell o22.5 Pts,the_degenerates,Los Angeles Clippers,Indiana Pacers,1.0,0.6585365853658537,1,0.8,1,0.6,1,-111,1.11,2.1100000000000003,1.0000000000000002,N.Powell
O.Toppin o5.5 Pts,Rotowire Sleeper,Indiana Pacers,Los Angeles Clippers,0.0,0.7391304347826086,1,0.6,1,0.7,1,100,1.5,3.0,1.5,O.Toppin
D.Jones o9.5 Pts,Rotowire Sleeper_duplicate,Los Angeles Clippers,Indiana Pacers,1.0,0.5416666666666666,1,0.6,1,0.6,1,100,1.5,3.0,1.5,D.Jones
N.Jokic u28.5 Pts,itsbucketsnba,Denver Nuggets,Orlando Magic,1.0,0.5333333333333333,1,0.8,1,0.7,1,-118,1.0,1.847457627118644,0.847457627118644,N.Jokic
B.Podziemski u13.5 Pts,TopShelfAction,Golden State Warriors,Los Angeles Lakers,0.0,0.7837837837837838,1,0.4,0,0.6,1,112,0.9,1.908,1.008,B.Podziemski
