Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,K.Irving u7.5 Ast,kylemurray03,105,1.0,K.Irving,Dallas Mavericks,Orlando Magic,0,2.05,1.0499999999999998,0.75,1,0.75,1,0.75,1
1,C.Cunningham o5.5 Ast,kylemurray03,-139,1.0,C.Cunningham,Detroit Pistons,Golden State Warriors,1,1.7194244604316546,0.7194244604316546,0.7142857142857143,1,0.6,1,0.7142857142857143,1
0,K.Towns u34.5 Pts+Rebs+Ast,PropBetGuy,-120,1.0,K.Towns,Minnesota Timberwolves,Boston Celtics,1,1.8333333333333333,0.8333333333333335,1.0,1,1.0,1,1.0,1
1,N.Vucevic u32.5 Pts+Rebs+Ast,SBK5065,-120,0.5,N.Vucevic,Chicago Bulls,Utah Jazz,1,0.9166666666666669,0.4166666666666667,0.7142857142857143,1,0.6,1,0.7142857142857143,1
2,N.Vucevic u32.5 Pts+Rebs+Ast,PropBetGuy,-125,1.0,N.Vucevic,Chicago Bulls,Utah Jazz,1,1.8,0.8,0.7142857142857143,1,0.6,1,0.7142857142857143,1
0,J.Tatum u29.5 Pts,JoeMetz,-110,1.1,J.Tatum,Boston Celtics,Minnesota Timberwolves,0,2.1,1.0,0.2,0,0.2,0,0.2,0
1,A.Black u9.5 Pts,SBK5065,-130,0.77,A.Black,Orlando Magic,Dallas Mavericks,1,1.3623076923076922,0.5923076923076922,0.75,1,0.75,1,0.75,1
2,J.Embiid o28.5 Pts,PropBomb,-114,1.0,J.Embiid,Philadelphia 76ers,Washington Wizards,1,1.8771929824561404,0.8771929824561404,0.4,0,0.4,0,0.4,0
3,T.Maxey o21.5 Pts,kylemurray03,-135,0.74,T.Maxey,Philadelphia 76ers,Washington Wizards,1,1.288148148148148,0.548148148148148,0.8,1,0.8,1,0.8,1
4,C.Thomas o21.5 Pts,PropBetGuy,-113,1.0,C.Thomas,Brooklyn Nets,Milwaukee Bucks,1,1.8849557522123888,0.8849557522123894,0.6666666666666666,1,0.6,1,0.6666666666666666,1
5,T.Herro o23.5 Pts,the_degenerates,-113,1.13,T.Herro,Miami Heat,Los Angeles Lakers,1,2.13,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
0,D.Melton o1.5 Stl+Blk,HPBasketball,-120,0.6,D.Melton,Philadelphia 76ers,Washington Wizards,1,1.1,0.5000000000000001,1.0,1,1.0,1,1.0,1
1,D.Melton o1.5 Stl+Blk,JoeDellera,-120,0.5,D.Melton,Philadelphia 76ers,Washington Wizards,1,0.9166666666666669,0.4166666666666667,1.0,1,1.0,1,1.0,1
2,D.Melton o1.5 Stl+Blk,SBK5065,-125,0.63,D.Melton,Philadelphia 76ers,Washington Wizards,1,1.134,0.5040000000000001,1.0,1,1.0,1,1.0,1
0,R.Westbrook o5.5 Rebs,kylemurray03,103,1.0,R.Westbrook,Los Angeles Clippers,New York Knicks,0,2.03,1.0300000000000002,0.8,1,0.8,1,0.8,1
1,J.Holiday o4.5 Rebs,SBK5065,-109,0.92,J.Holiday,Boston Celtics,Minnesota Timberwolves,0,1.7640366972477066,0.8440366972477066,0.8,1,0.8,1,0.8,1
2,R.Gobert o11.5 Rebs,HPBasketball,105,0.53,R.Gobert,Minnesota Timberwolves,Boston Celtics,1,1.0865,0.5565,0.8,1,0.8,1,0.8,1
3,R.Gobert o11.5 Rebs,JoeDellera,105,1.05,R.Gobert,Minnesota Timberwolves,Boston Celtics,1,2.1525,1.1024999999999998,0.8,1,0.8,1,0.8,1
4,K.Kuzma o5.5 Rebs,SBK5065,-132,0.5,K.Kuzma,Washington Wizards,Philadelphia 76ers,0,0.8787878787878788,0.3787878787878788,0.4,0,0.4,0,0.4,0
5,B.Simmons o8.5 Rebs,kylemurray03,-115,0.87,B.Simmons,Brooklyn Nets,Milwaukee Bucks,1,1.6265217391304347,0.7565217391304347,1.0,1,1.0,1,1.0,1
