,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
9,9,9,9,L.Markkanen o3.5 3pt M,KurtisSenif,130,0.2,0.4599999999999999,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.2599999999999999
10,10,10,10,L.Ball o3.5 3pt M,JoeDellera,126,0.32,0.7232,,Charlotte Hornets,L.Ball,Portland Trail Blazers,0,0.4031999999999999
12,12,12,12,L.Ball o3.5 3pt M,JoeDellera,124,0.93,2.0832,,Charlotte Hornets,L.Ball,Portland Trail Blazers,0,1.1532
13,13,13,13,Y.Watanabe o1.5 3pt M,JoeDellera,119,1.19,2.6061,,Brooklyn Nets,Y.Watanabe,Cleveland Cavaliers,0,1.4161
34,34,34,34,Z.LaVine o2.5 3pt M,PropBomb,-120,1.2,2.2,,Chicago Bulls,Z.LaVine,Houston Rockets,1,1.0000000000000002
