,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
22,22,22,22,L.Markkanen o30.5 Pts+Rebs,KurtisSenif,-115,0.26,0.4860869565217391,,Utah Jazz,L.Markkanen,San Antonio Spurs,0,0.2260869565217391
30,30,30,30,J.Duren o19.5 Pts+Rebs,PropBetGuy,-118,1.0,1.847457627118644,,Detroit Pistons,J.Duren,Los Angeles Clippers,1,0.847457627118644
35,35,35,35,J.Nurkic o24.5 Pts+Rebs,KurtisSenif,-125,0.16,0.288,,Portland Trail Blazers,J.Nurkic,Charlotte Hornets,1,0.1279999999999999
