,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,0,0,0,M.Fultz u13.5 Pts,SBK5065,-122,0.61,1.11,7.5473,Orlando Magic,M.Fultz,Los Angeles Clippers,1,0.5000000000000001
1,1,1,1,R.Jackson u15.5 Pts,SBK5065,-120,0.6,1.1,7.5473,Los Angeles Clippers,R.Jackson,Orlando Magic,0,0.5000000000000001
2,4,4,4,O.Anunoby u19.5 Pts,SBK5065,-106,0.53,1.03,7.5473,Toronto Raptors,O.Anunoby,Los Angeles Lakers,1,0.5
