Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
T.Rozier o3.5 Ast,TopShelfAction,Miami Heat,Detroit Pistons,1.0,0.5,0,0.5,0,0.5,0,-140,0.8,1.3714285714285717,0.5714285714285716,T.Rozier
K.Durant u3.5 Ast,TopShelfAction,Phoenix Suns,Los Angeles Lakers,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-120,1.4,2.566666666666667,1.166666666666667,K.Durant
D.Daniels u3.5 Ast,TopShelfAction,Atlanta Hawks,Washington Wizards,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,118,1.3,2.834,1.5339999999999996,D.Daniels
R.Westbrook u3.5 Ast,TopShelfAction,Denver Nuggets,Toronto Raptors,0.0,0.5,0,0.5,0,0.5,0,110,0.77,1.6170000000000002,0.8470000000000002,R.Westbrook
J.Brown u3.5 Ast,TopShelfAction,Boston Celtics,Milwaukee Bucks,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-118,1.2,2.216949152542373,1.0169491525423726,J.Brown
J.Tatum o5.5 Ast,TopShelfAction,Boston Celtics,Milwaukee Bucks,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,105,0.6,1.2299999999999998,0.6299999999999998,J.Tatum
