,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Unnamed: 0.1,name
15,15,R.Westbrook o34.5 Pts+Rebs+Ast,Los Angeles Lakers,PropBetGuy,-106,1.06,2.06,0,Houston Rockets,1,1.0,,,,,,,15.0,R.Westbrook
27,27,T.Rozier u29.5 Pts+Rebs+Ast,Charlotte Hornets,PropBetGuy,-120,1.0,1.8333333333333333,0,Boston Celtics,1,0.8333333333333333,,,,,,,27.0,T.Rozier
