,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
11,J.Jackson o2.5 Stl+Blk,kylemurray03,-125,1.0,J.Jackson,Memphis Grizzlies,Minnesota Timberwolves,1,1.8,0.8,1.0,1,1.0,1,1.0,1
14,N.Claxton o2.5 Stl+Blk,cowhitchurch,-142,1.42,N.Claxton,Brooklyn Nets,Washington Wizards,1,2.42,1.0,1.0,1,1.0,1,1.0,1
15,N.Claxton o2.5 Stl+Blk,JoeDellera,-145,0.75,N.Claxton,Brooklyn Nets,Washington Wizards,1,1.2672413793103448,0.5172413793103448,1.0,1,1.0,1,1.0,1
