,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,5,5,T.Rozier o2.5 3pt M,Charlotte Hornets,SBK5065,-120,0.6,1.1,17.517899999999997,T.Rozier,Detroit Pistons,0,0.5000000000000001,0.5116279069767442,1,0.8,1,0.6,1,N
1,6,6,T.Rozier o2.5 3pt M,Charlotte Hornets,JoeDellera,-120,0.8,1.4666666666666668,12.2735,T.Rozier,Detroit Pistons,0,0.6666666666666667,0.5116279069767442,1,0.8,1,0.6,1,N
2,7,7,M.Plumlee o25.5 Pts+Rebs,Charlotte Hornets,PropBetGuy,-120,1.2,2.2,-5.959999999999999,M.Plumlee,Detroit Pistons,0,1.0000000000000002,0.3396226415094339,0,0.6,1,0.7,1,N
3,11,11,S.Barnes o29.5 Pts+Rebs+Ast,Toronto Raptors,charliedisturco,-102,0.51,1.01,-0.0257,S.Barnes,Houston Rockets,0,0.5,0.48,0,0.6,1,0.7,1,N
4,12,12,A.Edwards o38.5 Pts+Rebs+Ast,Minnesota Timberwolves,JoeDellera,-120,0.5,0.9166666666666669,12.2735,A.Edwards,Orlando Magic,1,0.4166666666666667,0.4259259259259259,0,0.8,1,0.6,1,N
5,13,13,A.Edwards o27.5 Pts,Minnesota Timberwolves,charliedisturco,-105,0.53,1.0347619047619048,-0.0257,A.Edwards,Orlando Magic,1,0.5047619047619047,0.4074074074074074,0,0.6,1,0.6,1,N
6,14,14,A.Edwards o38.5 Pts+Rebs+Ast,Minnesota Timberwolves,PropBetGuy,-120,1.2,2.2,-5.959999999999999,A.Edwards,Orlando Magic,1,1.0000000000000002,0.4259259259259259,0,0.8,1,0.6,1,N
7,17,17,J.Embiid o10.5 Rebs,Philadelphia 76ers,JoeDellera,-130,0.5,0.8846153846153846,0.0,J.Embiid,San Antonio Spurs,0,0.3846153846153846,0.4736842105263157,0,0.6,1,0.5,0,N
8,18,18,T.Harris o1.5 3pt M,Philadelphia 76ers,JoeDellera,-120,1.0,1.8333333333333333,0.0,T.Harris,San Antonio Spurs,0,0.8333333333333335,0.5652173913043478,1,0.6,1,0.6,1,N
9,20,20,T.Young Double-Double (Yes),Atlanta Hawks,JoeDellera,-127,0.5,0.8937007874015748,0.0,T.Young,Utah Jazz,0,0.3937007874015747,0.5434782608695652,1,1.0,1,0.7,1,N
