,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,K.Love o4.5 Rebs,Miami Heat,PropBomb,-130,1.3,2.3,17.3538,K.Love,Denver Nuggets,1,0.9999999999999998,0.675,1,0.6,1,0.7,1,N
1,1,B.Adebayo o3.5 Ast,Miami Heat,PropBomb,-135,1.35,2.35,0.0,B.Adebayo,Denver Nuggets,1,1.0,0.4387755102040816,0,0.8,1,0.6,1,N
2,3,J.Butler u6.5 Ast,Miami Heat,The_Oddsmaker,100,1.0,2.0,-0.1500000000000001,J.Butler,Denver Nuggets,1,1.0,0.6627906976744186,1,0.4,0,0.6,1,Y
3,4,K.Love o5.5 Pts,Miami Heat,SBK5065,-122,0.61,1.11,4.5924000000000005,K.Love,Denver Nuggets,1,0.5000000000000001,0.7,1,0.6,1,0.5,0,Y
4,5,K.Love o11.5 Pts+Rebs+Ast,Miami Heat,SBK5065,-123,0.62,1.1240650406504065,0.0,K.Love,Denver Nuggets,1,0.5040650406504065,0.725,1,0.4,0,0.5,0,N
5,6,M.Porter o22.5 Pts+Rebs+Ast,Denver Nuggets,ChrisRaybon,-125,1.0,1.8,4.7383,M.Porter,Miami Heat,0,0.8,0.6,1,0.8,1,0.8,1,N
6,7,K.Love o11.5 Pts+Rebs+Ast,Miami Heat,ChrisRaybon,-120,1.0,1.8333333333333333,0.0,K.Love,Denver Nuggets,1,0.8333333333333335,0.725,1,0.4,0,0.5,0,N
7,8,K.Love o4.5 Rebs,Miami Heat,cowhitchurch,-130,0.65,1.15,0.5,K.Love,Denver Nuggets,1,0.4999999999999999,0.675,1,0.6,1,0.7,1,N
8,9,B.Adebayo o3.5 Ast,Miami Heat,cowhitchurch,-135,0.68,1.1837037037037037,0.0,B.Adebayo,Denver Nuggets,1,0.5037037037037037,0.4387755102040816,0,0.8,1,0.6,1,N
9,10,J.Butler u25.5 Pts,Miami Heat,cowhitchurch,-105,0.53,1.0347619047619048,0.0,J.Butler,Denver Nuggets,1,0.5047619047619047,0.5930232558139535,1,0.8,1,0.6,1,N
10,11,J.Murray o6.5 Ast,Denver Nuggets,cowhitchurch,-135,0.68,1.1837037037037037,0.0,J.Murray,Miami Heat,0,0.5037037037037037,0.4337349397590361,0,0.4,0,0.3,0,Y
11,13,M.Porter o7.5 Rebs,Denver Nuggets,charliedisturco,115,0.5,1.075,-6.566000000000001,M.Porter,Miami Heat,0,0.575,0.275,0,0.6,1,0.7,1,N
12,15,K.Love o11.5 Pts+Rebs+Ast,Miami Heat,JoeDellera,-123,0.5,0.9065040650406504,-3.663900000000001,K.Love,Denver Nuggets,1,0.4065040650406504,0.725,1,0.4,0,0.5,0,N
13,16,J.Murray o6.5 Ast,Denver Nuggets,JoeDellera,-135,0.75,1.3055555555555556,0.0,J.Murray,Miami Heat,0,0.5555555555555556,0.4337349397590361,0,0.4,0,0.3,0,Y
14,17,A.Gordon o0.5 Blk,Denver Nuggets,JoeDellera,-110,0.5,0.9545454545454546,0.0,A.Gordon,Miami Heat,0,0.4545454545454546,0.5465116279069767,1,1.0,1,0.7,1,N
15,18,M.Porter o22.5 Pts+Rebs+Ast,Denver Nuggets,GreenDotDaily,-140,1.0,1.7142857142857144,0.0,M.Porter,Miami Heat,0,0.7142857142857144,0.6,1,0.8,1,0.8,1,N
16,19,K.Love o11.5 Pts+Rebs+Ast,Miami Heat,GreenDotDaily,-143,1.0,1.6993006993006992,0.0,K.Love,Denver Nuggets,1,0.6993006993006992,0.725,1,0.4,0,0.5,0,N
17,21,G.Vincent o17.5 Pts+Ast,Miami Heat,JoeMetz,-105,1.05,2.05,3.010000000000001,G.Vincent,Denver Nuggets,1,0.9999999999999998,0.2888888888888888,0,0.6,1,0.4,0,N
18,22,M.Porter o2.5 3pt M,Denver Nuggets,GDAWG5000,-115,1.15,2.1499999999999995,-4.209999999999999,M.Porter,Miami Heat,0,0.9999999999999996,0.6,1,0.6,1,0.6,1,N
19,24,J.Butler u25.5 Pts,Miami Heat,PropBetGuy,-105,1.05,2.05,6.820000000000001,J.Butler,Denver Nuggets,1,0.9999999999999998,0.5930232558139535,1,0.8,1,0.6,1,N
20,25,G.Vincent o13.5 Pts,Miami Heat,PropBetGuy,-118,1.18,2.18,0.0,G.Vincent,Denver Nuggets,1,0.9999999999999998,0.3222222222222222,0,0.8,1,0.6,1,N
21,26,N.Jokic o10.5 Ast,Denver Nuggets,VegasRefund,110,1.0,2.1,0.0,N.Jokic,Miami Heat,0,1.1,0.3793103448275862,0,0.6,1,0.8,1,N
