,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,A.Horford o18.5 Pts+Rebs+Ast,Boston Celtics,SBK5065,-125,0.63,1.134,0,A.Horford,Atlanta Hawks,1,0.5040000000000001,0.46875,0,0.6,1,0.7,1,N
1,1,A.Horford o18.5 Pts+Rebs+Ast,Boston Celtics,JoeDellera,-125,0.4,0.7200000000000001,0,A.Horford,Atlanta Hawks,1,0.32,0.46875,0,0.6,1,0.7,1,N
2,2,A.Horford o18.5 Pts+Rebs+Ast,Boston Celtics,VegasRefund,-120,1.2,2.2,0,A.Horford,Atlanta Hawks,1,1.0000000000000002,0.46875,0,0.6,1,0.7,1,N
3,7,M.Robinson o10.5 Rebs,New York Knicks,GreenDotDaily,-103,1.0,1.970873786407767,0,M.Robinson,Cleveland Cavaliers,0,0.970873786407767,0.3666666666666666,0,0.8,1,0.5,0,N
4,10,J.Randle u24.5 Pts,New York Knicks,PropBetGuy,-110,1.1,2.1,0,J.Randle,Cleveland Cavaliers,0,1.0,0.5256410256410257,1,0.8,1,0.7,1,Y
5,11,R.Westbrook o16.5 Pts,Los Angeles Clippers,charliedisturco,-125,1.25,2.25,0,R.Westbrook,Phoenix Suns,0,1.0,0.3636363636363636,0,0.6,1,0.5,0,Y
6,12,C.Paul u13.5 Pts,Phoenix Suns,MikeRandle,-111,1.0,1.900900900900901,0,C.Paul,Los Angeles Clippers,1,0.900900900900901,0.4333333333333333,0,0.4,0,0.4,0,N
7,13,R.Westbrook o16.5 Pts,Los Angeles Clippers,VegasRefund,-122,1.22,2.22,0,R.Westbrook,Phoenix Suns,0,1.0000000000000002,0.3636363636363636,0,0.6,1,0.5,0,Y
8,15,D.Ayton u28.5 Pts+Rebs+Ast,Phoenix Suns,PropBetGuy,-120,1.2,2.2,0,D.Ayton,Los Angeles Clippers,1,1.0000000000000002,0.4411764705882353,0,0.6,1,0.7,1,Y
