,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,4,4,4,4,L.Doncic o32.5 Pts,KurtisSenif,-131,0.5,0.8816793893129771,0,Dallas Mavericks,L.Doncic,Los Angeles Lakers,1,0.381679389312977,0.625,1,0.6,1,0.7,1,N
1,1,5,5,5,5,L.Doncic o41.5 Pts+Ast,KurtisSenif,-127,0.3,0.5362204724409448,0,Dallas Mavericks,L.Doncic,Los Angeles Lakers,1,0.2362204724409448,0.55,1,0.6,1,0.7,1,N
2,2,6,6,6,6,L.Doncic o8.5 Rebs,KurtisSenif,-131,0.23,0.4055725190839694,0,Dallas Mavericks,L.Doncic,Los Angeles Lakers,1,0.1755725190839694,0.525,1,0.8,1,0.8,1,Y
3,3,11,11,11,11,J.Poole u35.5 Pts+Rebs+Ast,PropBetGuy,-122,1.83,3.33,0,Golden State Warriors,J.Poole,Memphis Grizzlies,1,1.5,0.813953488372093,1,0.8,1,0.6,1,N
4,4,16,16,16,16,J.Jackson o15.5 Pts,JoeMetz,-110,1.1,2.1,0,Memphis Grizzlies,J.Jackson,Golden State Warriors,0,1.0,0.6153846153846154,1,0.8,1,0.6,1,N
5,5,17,17,17,17,D.Bane o16.5 Pts,JoeDellera,-107,0.5,0.9672897196261684,0,Memphis Grizzlies,D.Bane,Golden State Warriors,0,0.4672897196261684,0.6818181818181818,1,0.8,1,0.6,1,N
6,6,19,19,19,19,C.Paul o24.5 Pts+Ast,KurtisSenif,100,0.28,0.56,0,Phoenix Suns,C.Paul,Denver Nuggets,0,0.28,0.4230769230769231,0,0.6,1,0.5,0,Y
7,7,27,27,27,27,J.Randle o9.5 Rebs,SBK5065,-109,0.55,1.0545871559633029,0,New York Knicks,J.Randle,Philadelphia 76ers,1,0.5045871559633028,0.5909090909090909,1,1.0,1,1.0,1,N
8,8,29,29,29,29,J.Randle o9.5 Rebs,PropBetGuy,-106,1.06,2.06,0,New York Knicks,J.Randle,Philadelphia 76ers,1,1.0,0.5909090909090909,1,1.0,1,1.0,1,N
9,9,30,30,30,30,M.Robinson u16.5 Pts+Rebs,JoeDellera,-105,0.35,0.6833333333333332,0,New York Knicks,M.Robinson,Philadelphia 76ers,1,0.3333333333333332,0.4722222222222222,0,0.6,1,0.5,0,N
10,10,31,31,31,31,J.Harden o2.5 3pt M,JoeMetz,110,1.1,2.3100000000000005,0,Philadelphia 76ers,J.Harden,New York Knicks,0,1.2100000000000004,0.6428571428571429,1,0.8,1,0.7,1,Y
11,11,32,32,32,32,G.Antetokounmpo o4.5 Ast,SBK5065,-135,0.68,1.1837037037037037,0,Milwaukee Bucks,G.Antetokounmpo,Boston Celtics,0,0.5037037037037037,0.6,1,0.8,1,0.7,1,N
