,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,0,0,J.Harden o21.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0.0,Philadelphia 76ers,J.Harden,Sacramento Kings,1,0.9999999999999996,0.5,0,0.6,1,0.6,1,N
1,1,1,1,1,1,J.Harden o9.5 Ast,JoeDellera,-115,0.5,0.934782608695652,1.4482999999999993,Philadelphia 76ers,J.Harden,Sacramento Kings,1,0.434782608695652,0.6428571428571429,1,1.0,1,0.8,1,Y
2,2,3,3,3,3,J.Embiid o45.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.0843478260869563,2.999799999999999,Philadelphia 76ers,J.Embiid,Sacramento Kings,1,0.5043478260869564,0.5625,1,0.6,1,0.6,1,N
3,3,4,4,4,4,J.Embiid Yes-140 Double-Double,daletanhardt,-140,1.75,3.0,-4.2,Philadelphia 76ers,J.Embiid,Sacramento Kings,1,1.25,0.625,1,0.8,1,0.6,1,N
4,4,5,5,5,5,G.Antetokounmpo o5.5 Ast,PropBomb,-130,1.3,2.3,0.0,Milwaukee Bucks,G.Antetokounmpo,Golden State Warriors,1,0.9999999999999998,0.4,0,0.6,1,0.5,0,N
5,5,16,16,16,16,L.James o34.5 Pts+Rebs,JoeDellera,-120,0.5,0.9166666666666669,1.4482999999999993,Los Angeles Lakers,L.James,Boston Celtics,1,0.4166666666666668,0.696969696969697,1,0.8,1,0.9,1,Y
6,6,17,17,17,17,L.James Yes205 Double-Double,JoeDellera,205,0.15,0.4574999999999999,1.4482999999999993,Los Angeles Lakers,L.James,Boston Celtics,1,0.3074999999999999,0.3939393939393939,0,0.8,1,0.5,0,N
7,7,18,18,18,18,J.Tatum o28.5 Pts,SBK5065,-114,0.57,1.0699999999999998,0.0,Boston Celtics,J.Tatum,Los Angeles Lakers,0,0.4999999999999999,0.6428571428571429,1,0.8,1,0.7,1,Y
8,8,19,19,19,19,J.Embiid o7.5 Rebs,PropBetGuy,-110,0.5,0.9545454545454546,0.0,Philadelphia 76ers,J.Embiid,Sacramento Kings,1,0.4545454545454546,0.75,1,0.8,1,0.8,1,N
9,9,20,20,20,20,J.Embiid o29.5 Pts,PropBetGuy,-105,0.15,0.2928571428571428,0.0,Philadelphia 76ers,J.Embiid,Sacramento Kings,1,0.1428571428571428,0.71875,1,1.0,1,0.9,1,Y
