,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,1,1,1,1,R.Jackson u15.5 Pts,SBK5065,-120,0.6,1.1,7.5473,Los Angeles Clippers,R.Jackson,Orlando Magic,0,0.5000000000000001,0.775,1,1.0,1,0.9,1,Y
1,1,3,3,3,3,K.Durant u6.5 Ast,SBK5065,-125,0.63,1.134,7.5473,Brooklyn Nets,K.Durant,Charlotte Hornets,1,0.5039999999999999,0.7435897435897436,1,0.8,1,0.8,1,N
2,2,4,4,4,4,O.Anunoby u19.5 Pts,SBK5065,-106,0.53,1.03,7.5473,Toronto Raptors,O.Anunoby,Los Angeles Lakers,1,0.5,0.6666666666666666,1,0.8,1,0.9,1,N
3,3,5,5,5,5,T.Young o26.5 Pts,PropBomb,-117,1.17,2.17,0.0,Atlanta Hawks,T.Young,New York Knicks,0,1.0,0.5263157894736842,1,0.6,1,0.6,1,N
4,4,6,6,6,6,D.Murray u6.5 Ast,SBK5065,-140,0.7,1.2,7.5473,Atlanta Hawks,D.Murray,New York Knicks,0,0.5,0.631578947368421,1,1.0,1,0.7,1,Y
5,5,8,8,8,8,C.Capela o0.5 Ast,SBK5065,-100,0.5,1.0,7.5473,Atlanta Hawks,C.Capela,New York Knicks,0,0.5,0.5555555555555556,1,0.6,1,0.5,0,N
6,6,10,10,10,10,J.Ivey o22.5 Pts+Rebs+Ast,SBK5065,-113,0.57,1.074424778761062,0.0,Detroit Pistons,J.Ivey,New Orleans Pelicans,0,0.504424778761062,0.5581395348837209,1,0.8,1,0.7,1,N
7,7,11,11,11,11,S.Gilgeous-Alexander u29.5 Pts,PropBomb,-111,1.2,2.2810810810810813,0.0,Oklahoma City Thunder,S.Gilgeous-Alexander,Memphis Grizzlies,0,1.0810810810810814,0.375,0,0.6,1,0.6,1,Y
8,8,12,12,12,12,S.Gilgeous-Alexander o29.5 Pts,SBK5065,-108,0.54,1.04,7.5473,Oklahoma City Thunder,S.Gilgeous-Alexander,Memphis Grizzlies,0,0.5,0.625,1,0.4,0,0.4,0,N
9,9,21,21,21,21,J.Clarkson o29.5 Pts+Rebs+Ast,SBK5065,-135,0.68,1.1837037037037037,7.5473,Utah Jazz,J.Clarkson,Golden State Warriors,1,0.5037037037037037,0.5333333333333333,1,0.6,1,0.5,0,Y
