,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,P.Washington o15.5 Pts,Charlotte Hornets,SBK5065,-125,1.0,1.8,10.901299999999994,P.Washington,San Antonio Spurs,1,0.8,0.4482758620689655,0,0.8,1,0.5,0,Y
1,4,J.Brunson o26.5 Pts,New York Knicks,cowhitchurch,-106,0.53,1.03,0.0,J.Brunson,Atlanta Hawks,0,0.5,0.3454545454545454,0,0.6,1,0.6,1,Y
2,6,J.Hart o0.5 3pt M,New York Knicks,cowhitchurch,-161,0.81,1.3131055900621118,0.0,J.Hart,Atlanta Hawks,0,0.5031055900621118,1.0,1,1.0,1,1.0,1,Y
3,7,R.Barrett u25.5 Pts+Rebs+Ast,New York Knicks,PropBetGuy,-108,1.08,2.08,-23.58,R.Barrett,Atlanta Hawks,0,1.0,0.4230769230769231,0,0.8,1,0.7,1,Y
4,9,J.Clarkson u23.5 Pts,Utah Jazz,PropBomb,-120,1.2,2.2,-2.1666,J.Clarkson,Memphis Grizzlies,0,1.0000000000000002,0.7017543859649122,1,0.2,0,0.5,0,Y
5,10,D.Bane o2.5 3pt M,Memphis Grizzlies,JoeDellera,-132,1.0,1.7575757575757576,0.0,D.Bane,Utah Jazz,1,0.7575757575757576,0.6176470588235294,1,0.8,1,0.5,0,N
6,11,N.Jokic o26.5 Pts,Denver Nuggets,JoeDellera,-110,0.75,1.431818181818182,0.4359000000000002,N.Jokic,Dallas Mavericks,1,0.6818181818181819,0.42,0,0.6,1,0.4,0,N
7,12,A.Davis o11.5 Rebs,Los Angeles Lakers,JoeMetz,104,1.0,2.04,8.521,A.Davis,New Orleans Pelicans,1,1.04,0.6470588235294118,1,0.8,1,0.6,1,N
8,13,A.Davis o11.5 Rebs,Los Angeles Lakers,JoeDellera,104,0.5,1.02,0.4359000000000002,A.Davis,New Orleans Pelicans,1,0.52,0.6470588235294118,1,0.8,1,0.6,1,N
9,14,B.Ingram o31.5 Pts+Ast,New Orleans Pelicans,PropBetGuy,-110,1.1,2.1,-23.58,B.Ingram,Los Angeles Lakers,0,1.0,0.391304347826087,0,1.0,1,0.5,0,N
