,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit
8,8,J.Murray o2.5 3pt M,Denver Nuggets,VegasRefund,-130,1.3,2.3,0,J.Murray,Phoenix Suns,1,0.9999999999999998
9,9,M.Porter o2.5 3pt M,Denver Nuggets,GreenDotDaily,-100,1.0,2.0,0,M.Porter,Phoenix Suns,1,1.0
10,10,M.Porter o2.5 3pt M,Denver Nuggets,GDAWG5000,100,1.0,2.0,0,M.Porter,Phoenix Suns,1,1.0
12,12,M.Porter o2.5 3pt M,Denver Nuggets,JoeDellera,-100,1.0,2.0,0,M.Porter,Phoenix Suns,1,1.0
