,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
19,19,19,19,P.Siakam o35.5 Pts+Rebs+Ast,HPBasketball,-120,0.6,1.1,0.0,Toronto Raptors,P.Siakam,Brooklyn Nets,0,0.5000000000000001
29,29,29,29,J.Morant u43.5 Pts+Rebs+Ast,SBK5065,-120,0.6,1.1,9.0879,Memphis Grizzlies,J.Morant,Philadelphia 76ers,1,0.5000000000000001
33,33,33,33,J.Green u29.5 Pts+Rebs+Ast,PropBetGuy,-113,1.13,2.13,-28.9857,Houston Rockets,J.Green,Phoenix Suns,0,1.0
