,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Unnamed: 0.1,name
21,21,J.Green o2.5 3pt M,Houston Rockets,JoeMetz,-128,1.0,1.78125,0,Los Angeles Lakers,0,0.78125,,,,,,,21.0,J.Green
32,32,J.Poole o2.5 3pt M,Golden State Warriors,JoeMetz,-131,1.0,1.763358778625954,0,Washington Wizards,0,0.7633587786259539,,,,,,,32.0,J.Poole
