,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,6.0,6,D.Mitchell u35.5 Pts+Rebs+Ast,Cleveland Cavaliers,PropBetGuy,-113,1.13,2.13,-5.890000000000006,D.Mitchell,Washington Wizards,0,1.0,0.5111111111111111,1.0,0.8,1.0,0.7,1.0
12,24.0,24,J.Grant u27.5 Pts+Rebs+Ast,Portland Trail Blazers,PropBetGuy,-120,1.8,3.3000000000000003,-5.890000000000006,J.Grant,Milwaukee Bucks,1,1.5000000000000002,0.5882352941176471,1.0,0.8,1.0,0.8,1.0
6,,6,D.Mitchell u35.5 Pts+Rebs+Ast,Cleveland Cavaliers,PropBetGuy,-113,1.13,2.13,-5.890000000000006,D.Mitchell,Washington Wizards,0,1.0,,,,,,
24,,24,J.Grant u27.5 Pts+Rebs+Ast,Portland Trail Blazers,PropBetGuy,-120,1.8,3.3000000000000003,-5.890000000000006,J.Grant,Milwaukee Bucks,1,1.5000000000000002,,,,,,
