,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,D.Bane u37.5 Pts+Rebs+Ast,JoeDellera,-120,0.42,D.Bane,Memphis Grizzlies,Houston Rockets,0,0.77,0.35,0.5384615384615384,1,0.6,1,0.5,0
1,D.Bane u37.5 Pts+Rebs+Ast,PropBomb,-120,1.0,D.Bane,Memphis Grizzlies,Houston Rockets,0,1.8333333333333333,0.8333333333333335,0.5384615384615384,1,0.6,1,0.5,0
2,D.Robinson o20.5 Pts+Rebs+Ast,the_degenerates,-105,1.05,D.Robinson,Miami Heat,Cleveland Cavaliers,0,2.05,0.9999999999999998,0.4285714285714285,0,1.0,1,0.6,1
3,P.Banchero u31.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,P.Banchero,Orlando Magic,Denver Nuggets,1,1.819672131147541,0.819672131147541,0.6428571428571429,1,0.8,1,0.5,0
