,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg
0,Josh Giddey,Oklahoma City Thunder,New Orleans Pelicans,0,42.19,31,10,9,0,1,3,.618,.568,.318,9.7,14.5,11.9,38.4,0.0,1.9,27.2,137,128
1,Shai Gilgeous-Alexander,Oklahoma City Thunder,New Orleans Pelicans,0,41.25,32,3,5,3,1,2,.627,.545,.227,0.0,14.9,6.7,11.9,3.7,2.0,28.2,125,120
2,Jalen Williams,Oklahoma City Thunder,New Orleans Pelicans,0,39.52,11,2,4,2,1,0,.349,.286,.357,2.6,9.3,5.6,6.5,2.5,2.0,17.8,83,124
3,Luguentz Dort,Oklahoma City Thunder,New Orleans Pelicans,0,36.08,27,1,5,0,1,4,.771,.714,.571,11.3,3.4,7.7,4.2,0.0,2.3,20.6,167,132
4,Jaylin Williams,Oklahoma City Thunder,New Orleans Pelicans,0,32.05,8,8,8,1,0,1,.405,.389,.778,9.5,19.2,13.9,31.9,1.6,0.0,13.1,129,124
5,Isaiah Joe,Oklahoma City Thunder,New Orleans Pelicans,0,19.10,3,1,2,0,0,1,.300,.300,.600,5.3,6.4,5.8,6.3,0.0,0.0,13.3,73,132
6,Aaron Wiggins,Oklahoma City Thunder,New Orleans Pelicans,0,13.31,7,0,1,1,0,0,.810,.667,.333,0.0,9.1,4.1,0.0,3.7,0.0,13.6,173,122
7,Dario Šarić,Oklahoma City Thunder,New Orleans Pelicans,0,10.50,4,0,3,0,1,0,.667,.667,.333,0.0,34.1,15.5,0.0,0.0,7.5,15.7,90,118
8,Lindy Waters III,Oklahoma City Thunder,New Orleans Pelicans,0,4.40,0,0,1,0,0,0,,,,0.0,26.4,12.0,0.0,0.0,0.0,0.0,0,124
9,Trey Murphy III,New Orleans Pelicans,Oklahoma City Thunder,1,43.52,21,2,4,1,0,4,.577,.500,.625,0.0,9.3,5.1,6.2,1.2,0.0,18.9,127,132
10,CJ McCollum,New Orleans Pelicans,Oklahoma City Thunder,1,40.38,14,4,2,2,1,1,.418,.367,.333,0.0,5.0,2.7,13.1,2.5,2.1,17.8,110,129
11,Herbert Jones,New Orleans Pelicans,Oklahoma City Thunder,1,39.08,20,5,5,1,1,1,.536,.469,.313,9.4,5.2,7.1,18.4,1.3,2.2,23.9,115,131
12,Brandon Ingram,New Orleans Pelicans,Oklahoma City Thunder,1,37.51,30,7,6,0,1,1,.629,.553,.105,6.5,10.8,8.8,30.3,0.0,2.3,31.7,126,132
13,Jonas Valančiūnas,New Orleans Pelicans,Oklahoma City Thunder,1,30.21,16,3,18,0,0,1,.810,.833,.111,24.3,40.4,33.1,15.3,0.0,0.0,15.5,162,124
14,Jaxson Hayes,New Orleans Pelicans,Oklahoma City Thunder,1,17.35,6,2,9,0,0,0,1.042,1.000,.000,14.0,40.7,28.6,14.9,0.0,0.0,9.5,166,123
15,Josh Richardson,New Orleans Pelicans,Oklahoma City Thunder,1,17.05,9,4,2,1,1,1,.750,.750,.500,0.0,12.0,6.5,36.5,3.0,5.1,17.7,142,124
16,Naji Marshall,New Orleans Pelicans,Oklahoma City Thunder,1,8.51,2,0,1,0,0,0,.500,.500,.500,0.0,11.5,6.3,0.0,0.0,0.0,9.8,110,133
17,Kira Lewis Jr.,New Orleans Pelicans,Oklahoma City Thunder,1,4.39,0,0,1,0,0,0,.000,.000,.500,26.5,0.0,12.0,0.0,0.0,0.0,18.6,44,138
18,Zach LaVine,Chicago Bulls,Toronto Raptors,0,40.22,39,3,6,1,0,2,.682,.591,.318,2.8,13.5,8.3,12.9,1.2,0.0,36.7,125,113
19,Nikola Vučević,Chicago Bulls,Toronto Raptors,0,38.59,14,4,13,1,1,0,.470,.429,.286,2.9,33.6,18.6,14.2,1.3,2.2,18.5,104,103
20,DeMar DeRozan,Chicago Bulls,Toronto Raptors,0,38.36,23,3,7,0,2,0,.542,.526,.053,5.9,14.1,10.1,12.6,0.0,4.4,26.1,114,112
21,Alex Caruso,Chicago Bulls,Toronto Raptors,0,31.18,9,2,3,3,3,1,.563,.563,.500,7.3,3.5,5.3,8.6,4.8,8.2,13.1,115,104
22,Patrick Beverley,Chicago Bulls,Toronto Raptors,0,25.42,3,1,3,1,1,1,.300,.300,.800,0.0,12.7,6.5,4.7,1.9,3.3,10.6,59,108
23,Patrick Williams,Chicago Bulls,Toronto Raptors,0,25.21,10,2,2,2,2,2,.417,.417,.417,9.0,0.0,4.4,11.0,3.9,6.8,23.3,93,110
24,Coby White,Chicago Bulls,Toronto Raptors,0,24.46,9,5,0,1,0,1,1.125,1.125,.250,0.0,0.0,0.0,28.3,2.0,0.0,9.2,179,116
25,Ayo Dosunmu,Chicago Bulls,Toronto Raptors,0,5.55,0,0,1,0,0,0,,,,0.0,18.4,9.4,0.0,0.0,0.0,0.0,0,114
26,Derrick Jones Jr.,Chicago Bulls,Toronto Raptors,0,4.33,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122
27,Andre Drummond,Chicago Bulls,Toronto Raptors,0,4.28,2,0,1,0,1,0,.500,.500,.000,0.0,24.4,12.5,0.0,0.0,19.2,20.3,100,103
28,Pascal Siakam,Toronto Raptors,Chicago Bulls,1,42.21,32,6,9,1,0,1,.596,.614,.136,5.2,18.9,11.9,29.2,1.2,0.0,28.9,121,114
29,OG Anunoby,Toronto Raptors,Chicago Bulls,1,42.21,13,3,4,1,1,2,.393,.385,.538,2.6,8.1,5.3,10.2,1.2,1.9,17.0,95,115
30,Fred VanVleet,Toronto Raptors,Chicago Bulls,1,42.19,26,8,12,1,1,7,.528,.523,.591,0.0,32.4,15.8,31.4,1.2,1.9,26.8,114,110
31,Scottie Barnes,Toronto Raptors,Chicago Bulls,1,40.28,19,2,10,2,1,1,.591,.577,.154,16.2,11.3,13.8,8.0,2.5,2.0,18.4,124,111
32,Jakob Poeltl,Toronto Raptors,Chicago Bulls,1,36.36,7,3,8,0,2,0,.717,.750,.000,6.0,18.7,12.2,11.5,0.0,4.4,11.1,81,113
33,Gary Trent Jr.,Toronto Raptors,Chicago Bulls,1,16.59,2,1,2,0,0,0,.143,.143,.714,6.4,6.7,6.6,8.0,0.0,0.0,16.9,56,119
34,Precious Achiuwa,Toronto Raptors,Chicago Bulls,1,9.22,6,0,4,0,0,0,.615,.500,.000,46.6,0.0,23.8,0.0,0.0,0.0,21.4,156,120
35,Chris Boucher,Toronto Raptors,Chicago Bulls,1,7.24,0,0,1,0,0,0,.000,.000,.000,0.0,15.4,7.5,0.0,0.0,0.0,5.6,0,117
