,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Lamar Stevens,Cleveland Cavaliers,Orlando Magic,0,31.22,13,1,6,2,1,2,.437,.429,.357,3.9,18.2,11.3,4.0,3.1,3.5,22.5,91,94,-6.2
1,Dean Wade,Cleveland Cavaliers,Orlando Magic,0,22.34,7,2,6,1,0,1,.500,.500,.571,10.9,20.3,15.8,10.7,2.2,0.0,17.7,98,97,-4.8
2,Cedi Osman,Cleveland Cavaliers,Orlando Magic,0,22.07,19,4,5,0,0,4,.830,.818,.545,0.0,25.8,13.4,28.2,0.0,0.0,25.0,153,101,12.4
3,Ricky Rubio,Cleveland Cavaliers,Orlando Magic,0,20.28,5,5,2,1,0,1,.357,.357,.286,0.0,11.2,5.8,28.4,2.4,0.0,15.2,113,99,-5.1
4,Robin Lopez,Cleveland Cavaliers,Orlando Magic,0,18.56,8,3,2,1,1,0,1.000,1.000,.000,6.5,6.0,6.3,21.2,2.6,5.8,11.7,168,97,5.8
5,Isaiah Mobley,Cleveland Cavaliers,Orlando Magic,0,28.45,18,1,4,3,2,2,.699,.667,.250,8.6,8.0,8.2,4.9,5.1,7.6,21.5,135,90,5.7
6,Danny Green,Cleveland Cavaliers,Orlando Magic,0,26.02,21,3,3,3,1,5,.750,.750,.643,0.0,13.2,6.8,17.7,5.6,4.2,25.6,137,89,14.7
7,Raul Neto,Cleveland Cavaliers,Orlando Magic,0,24.22,8,8,2,0,1,0,.581,.500,.167,5.1,4.7,4.9,39.3,0.0,4.5,23.5,94,104,-9.6
8,Mamadi Diakite,Cleveland Cavaliers,Orlando Magic,0,23.37,13,1,8,1,1,1,.825,.786,.286,10.4,29.0,20.1,5.7,2.1,4.6,20.5,120,92,-0.8
9,Sam Merrill,Cleveland Cavaliers,Orlando Magic,0,21.47,6,3,4,1,0,2,.500,.500,1.000,0.0,21.0,10.9,15.9,2.2,0.0,12.2,125,97,0.4
10,Chuma Okeke,Orlando Magic,Cleveland Cavaliers,1,31.41,2,3,5,3,2,0,.167,.167,.500,3.6,15.5,9.4,14.4,4.6,6.1,9.4,61,111,-4.9
11,Caleb Houstan,Orlando Magic,Cleveland Cavaliers,1,30.13,8,2,2,1,0,2,.444,.444,.778,3.8,4.1,3.9,11.3,1.6,0.0,14.1,93,125,-5.8
12,Bol Bol,Orlando Magic,Cleveland Cavaliers,1,29.55,18,3,8,0,0,1,.523,.433,.467,3.8,28.8,15.8,20.6,0.0,0.0,30.3,94,124,-5.7
13,Jalen Suggs,Orlando Magic,Cleveland Cavaliers,1,23.49,22,4,5,0,1,5,.674,.633,.600,9.6,15.5,12.4,42.7,0.0,4.0,32.9,127,123,12.1
14,Moritz Wagner,Orlando Magic,Cleveland Cavaliers,1,20.53,9,2,4,0,1,2,.379,.364,.455,5.5,17.7,11.4,17.6,0.0,4.6,30.4,71,122,-13.6
15,Jay Scrubb,Orlando Magic,Cleveland Cavaliers,1,27.35,11,1,5,2,0,2,.799,.833,.333,0.0,22.3,10.7,6.7,3.5,0.0,15.3,99,116,-2.2
16,Kevon Harris,Orlando Magic,Cleveland Cavaliers,1,24.21,8,1,0,1,0,0,.546,.500,.500,0.0,0.0,0.0,7.3,2.0,0.0,18.1,79,125,-11.9
17,Goga Bitadze,Orlando Magic,Cleveland Cavaliers,1,20.51,7,1,7,0,2,0,.444,.429,.143,11.0,29.5,19.9,8.8,0.0,9.2,18.2,93,117,-5.3
