,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg
0,Kyle Anderson,Minnesota Timberwolves,Los Angeles Lakers,0,44.39,12,13,5,4,4,2,.429,.429,.357,3.0,10.6,7.0,51.3,4.5,7.8,19.5,97,98
1,Mike Conley,Minnesota Timberwolves,Los Angeles Lakers,0,43.46,23,4,4,3,1,6,.933,.909,.727,0.0,10.8,5.7,17.6,3.5,2.0,16.9,133,103
2,Taurean Prince,Minnesota Timberwolves,Los Angeles Lakers,0,43.09,14,0,3,3,0,4,.636,.636,.636,3.1,5.5,4.3,0.0,3.5,0.0,15.7,85,106
3,Anthony Edwards,Minnesota Timberwolves,Los Angeles Lakers,0,42.49,9,5,8,1,3,0,.240,.176,.529,3.1,19.3,11.7,19.2,1.2,6.1,25.7,57,103
4,Karl-Anthony Towns,Minnesota Timberwolves,Los Angeles Lakers,0,41.13,24,5,11,0,3,2,.820,.750,.333,3.2,28.6,16.6,25.0,0.0,6.3,19.5,147,103
5,Nickeil Alexander-Walker,Minnesota Timberwolves,Los Angeles Lakers,0,23.21,11,2,4,1,0,1,.935,.900,.200,0.0,20.2,10.7,16.9,2.2,0.0,12.2,186,104
6,Jaylen Nowell,Minnesota Timberwolves,Los Angeles Lakers,0,13.22,9,1,1,0,0,1,.643,.643,.429,0.0,8.8,4.7,19.7,0.0,0.0,32.6,87,113
7,Jordan McLaughlin,Minnesota Timberwolves,Los Angeles Lakers,0,10.18,0,0,0,1,0,0,.000,.000,.600,0.0,0.0,0.0,0.0,4.9,0.0,32.9,0,105
8,Nathan Knight,Minnesota Timberwolves,Los Angeles Lakers,0,2.23,0,0,1,0,0,0,.000,.000,1.000,0.0,49.4,26.2,0.0,0.0,0.0,20.3,0,100
9,LeBron James,Los Angeles Lakers,Minnesota Timberwolves,1,45.18,30,6,10,1,2,3,.672,.643,.286,2.6,26.3,13.8,29.3,1.1,5.6,26.1,114,96
10,Anthony Davis,Los Angeles Lakers,Minnesota Timberwolves,1,42.40,24,4,15,2,3,0,.555,.526,.053,24.8,18.6,21.9,19.4,2.4,8.9,27.0,107,91
11,Austin Reaves,Los Angeles Lakers,Minnesota Timberwolves,1,39.24,12,3,6,0,0,1,.419,.346,.385,3.0,16.8,9.5,12.4,0.0,0.0,19.0,83,104
12,D'Angelo Russell,Los Angeles Lakers,Minnesota Timberwolves,1,23.53,2,8,3,1,1,0,.111,.111,.444,0.0,16.6,7.8,49.6,2.1,5.3,18.1,64,95
13,Jarred Vanderbilt,Los Angeles Lakers,Minnesota Timberwolves,1,22.13,0,1,3,1,1,0,.000,.000,.500,0.0,17.9,8.4,6.3,2.3,5.7,5.8,19,94
14,Dennis Schröder,Los Angeles Lakers,Minnesota Timberwolves,1,32.33,21,2,4,1,0,3,.677,.542,.333,0.0,16.3,7.7,10.9,1.5,0.0,21.9,138,100
