,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Jordan Poole,Golden State Warriors,Boston Celtics,0,43.20,24,4,6,3,0,2,.464,.440,.400,0.0,12.9,6.7,17.6,3.2,0.0,27.0,90,104,-1.7
1,Stephen Curry,Golden State Warriors,Boston Celtics,0,43.05,29,7,4,3,2,6,.533,.480,.720,0.0,8.6,4.5,29.8,3.2,3.7,29.5,103,104,9.0
2,Andrew Wiggins,Golden State Warriors,Boston Celtics,0,39.46,20,3,4,1,4,3,.465,.417,.444,5.0,4.7,4.8,12.5,1.2,8.0,24.9,94,108,1.5
3,Draymond Green,Golden State Warriors,Boston Celtics,0,37.09,11,9,13,1,0,1,.814,.700,.400,5.4,27.5,16.9,35.9,1.2,0.0,9.9,155,101,7.2
4,Klay Thompson,Golden State Warriors,Boston Celtics,0,36.03,24,1,2,2,1,4,.676,.625,.500,0.0,5.2,2.7,5.2,2.6,2.2,24.2,108,107,2.9
5,Donte DiVincenzo,Golden State Warriors,Boston Celtics,0,27.36,6,0,3,0,0,2,.500,.500,.667,0.0,10.1,5.2,0.0,0.0,0.0,9.1,94,112,-6.1
6,Kevon Looney,Golden State Warriors,Boston Celtics,0,20.05,2,3,12,0,0,0,1.000,1.000,.000,14.9,41.7,28.8,21.2,0.0,0.0,6.3,123,98,-0.1
7,Anthony Lamb,Golden State Warriors,Boston Celtics,0,17.56,2,1,3,0,0,0,.250,.250,.500,5.6,10.4,8.1,8.0,0.0,0.0,14.1,52,112,-14.8
8,Jayson Tatum,Boston Celtics,Golden State Warriors,1,48.07,34,6,19,3,0,4,.527,.407,.481,3.9,35.3,19.0,20.0,2.9,0.0,31.3,103,97,6.3
9,Jaylen Brown,Boston Celtics,Golden State Warriors,1,41.26,16,3,9,1,0,1,.388,.361,.222,2.2,19.3,10.5,10.9,1.1,0.0,21.0,87,105,-5.2
10,Marcus Smart,Boston Celtics,Golden State Warriors,1,37.35,18,4,5,3,1,3,.533,.531,.375,2.5,10.6,6.4,17.0,3.7,2.9,21.3,98,99,3.3
11,Al Horford,Boston Celtics,Golden State Warriors,1,37.15,20,0,10,0,3,2,.720,.692,.385,7.5,18.8,12.9,0.0,0.0,8.9,14.3,157,102,8.6
12,Robert Williams,Boston Celtics,Golden State Warriors,1,27.04,14,2,11,0,0,0,.751,.750,.000,24.0,14.8,19.6,12.5,0.0,0.0,16.0,140,109,5.9
13,Malcolm Brogdon,Boston Celtics,Golden State Warriors,1,35.46,14,2,7,1,1,3,.429,.433,.533,5.2,14.0,9.4,8.3,1.3,3.1,18.6,99,104,0.2
14,Derrick White,Boston Celtics,Golden State Warriors,1,17.28,1,3,0,1,0,0,.073,.000,.500,0.0,0.0,0.0,21.2,2.6,0.0,15.1,46,106,-10.9
15,Grant Williams,Boston Celtics,Golden State Warriors,1,12.49,2,0,2,1,0,0,.250,.250,.500,14.5,0.0,7.5,0.0,3.6,0.0,15.0,64,104,-6.5
16,Luke Kornet,Boston Celtics,Golden State Warriors,1,7.30,2,1,0,0,0,0,1.000,1.000,.000,0.0,0.0,0.0,19.7,0.0,0.0,5.1,207,112,6.2
17,DeMar DeRozan,Chicago Bulls,Detroit Pistons,0,37.43,26,5,9,2,1,0,.604,.500,.056,0.0,21.2,11.8,16.5,2.5,2.0,29.3,109,101,-0.5
18,Zach LaVine,Chicago Bulls,Detroit Pistons,0,35.29,30,4,5,1,0,2,.626,.550,.300,3.1,10.0,7.0,14.8,1.3,0.0,30.5,128,110,2.3
19,Nikola Vučević,Chicago Bulls,Detroit Pistons,0,35.12,16,6,15,1,0,0,.421,.421,.263,12.7,27.8,21.1,20.9,1.3,0.0,24.8,103,101,-4.1
20,Patrick Williams,Chicago Bulls,Detroit Pistons,0,30.46,10,2,6,2,2,2,.833,.833,.500,3.6,14.4,9.7,7.1,3.0,5.0,9.5,148,102,7.7
21,Ayo Dosunmu,Chicago Bulls,Detroit Pistons,0,25.15,13,1,3,0,0,1,.813,.813,.375,4.4,7.0,5.9,4.9,0.0,0.0,18.1,115,114,-5.0
22,Alex Caruso,Chicago Bulls,Detroit Pistons,0,22.25,2,3,3,4,3,0,.250,.250,.250,5.0,7.9,6.6,13.4,8.3,10.2,7.4,102,90,9.9
23,Coby White,Chicago Bulls,Detroit Pistons,0,17.14,10,0,1,1,0,2,1.000,1.000,.400,6.5,0.0,2.9,0.0,2.7,0.0,12.1,198,111,8.5
24,Derrick Jones Jr.,Chicago Bulls,Detroit Pistons,0,16.32,12,0,2,0,2,0,.820,.833,.167,6.8,5.4,6.0,0.0,0.0,9.2,21.0,144,110,1.8
25,Goran Dragić,Chicago Bulls,Detroit Pistons,0,13.54,3,2,2,0,0,0,.436,.333,.333,0.0,12.8,7.1,14.8,0.0,0.0,10.3,118,111,-7.0
26,Carlik Jones,Chicago Bulls,Detroit Pistons,0,1.06,2,0,0,0,0,0,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,37.9,200,117,25.3
27,Dalen Terry,Chicago Bulls,Detroit Pistons,0,1.06,2,0,2,0,0,0,1.000,1.000,.000,100.0,80.8,90.0,0.0,0.0,0.0,37.9,207,80,50.6
28,Tony Bradley,Chicago Bulls,Detroit Pistons,0,1.06,0,0,0,0,0,0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,37.9,0,117,-46.7
29,Malcolm Hill,Chicago Bulls,Detroit Pistons,0,1.06,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117,-7.2
30,Marko Simonovic,Chicago Bulls,Detroit Pistons,0,1.06,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117,-6.9
31,Bojan Bogdanović,Detroit Pistons,Chicago Bulls,1,34.53,25,3,5,0,0,3,.552,.525,.450,5.1,9.6,7.1,15.5,0.0,0.0,27.4,113,127,1.4
32,Jaden Ivey,Detroit Pistons,Chicago Bulls,1,33.10,16,4,3,0,0,1,.554,.536,.357,0.0,10.1,4.5,20.1,0.0,0.0,21.5,93,127,-7.1
33,Killian Hayes,Detroit Pistons,Chicago Bulls,1,31.18,4,8,1,2,0,0,.154,.154,.462,0.0,3.6,1.6,34.1,3.0,0.0,21.0,51,122,-16.4
34,Isaiah Stewart,Detroit Pistons,Chicago Bulls,1,29.47,7,2,11,0,0,0,.277,.100,.400,17.9,18.7,18.3,8.6,0.0,0.0,16.4,96,125,-9.2
35,Saddiq Bey,Detroit Pistons,Chicago Bulls,1,28.26,16,1,9,3,1,2,.474,.438,.313,9.4,23.6,15.7,5.8,4.9,2.4,24.4,105,111,5.1
36,Isaiah Livers,Detroit Pistons,Chicago Bulls,1,22.08,6,2,2,0,0,2,.750,.750,.500,4.0,5.0,4.5,12.5,0.0,0.0,7.0,166,128,-1.1
37,Hamidou Diallo,Detroit Pistons,Chicago Bulls,1,21.23,17,1,3,1,0,0,.871,.875,.000,0.0,15.7,6.9,9.6,2.2,0.0,21.3,134,121,7.1
38,Alec Burks,Detroit Pistons,Chicago Bulls,1,20.42,6,3,3,0,0,0,.307,.125,.375,8.6,5.4,7.2,19.0,0.0,0.0,18.3,98,128,-7.0
39,Jalen Duren,Detroit Pistons,Chicago Bulls,1,18.13,11,1,12,1,2,0,.955,1.000,.000,14.6,55.2,32.6,9.3,2.6,7.6,16.5,140,106,11.4
40,Pascal Siakam,Toronto Raptors,Minnesota Timberwolves,0,40.35,13,9,7,0,1,0,.385,.375,.000,3.2,18.7,11.0,27.4,0.0,2.4,21.5,90,127,-8.0
41,Scottie Barnes,Toronto Raptors,Minnesota Timberwolves,0,38.58,29,5,8,2,0,1,.802,.767,.067,6.7,19.4,13.1,19.0,2.4,0.0,21.5,154,123,7.7
