Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
J.Brunson u7.5 Ast,TopShelfAction,New York Knicks,Indiana Pacers,0.0,0.5490196078431373,1,0.6,1,0.7,1,-115,1.27,2.3743478260869564,1.1043478260869564,J.Brunson
J.Hart u5.5 Ast,TopShelfAction,New York Knicks,Indiana Pacers,0.0,0.5098039215686274,1,0.6,1,0.6,1,123,0.87,1.9401,1.0701,J.Hart
J.Shead o3.5 Ast,ThePropfessor_,Toronto Raptors,Philadelphia 76ers,0.0,0.5106382978723404,1,0.8,1,0.6,1,-135,1.0,1.7407407407407407,0.7407407407407407,J.Shead
T.Jones o6.5 Ast,FirefighterBets_duplicate,Phoenix Suns,Memphis Grizzlies,1.0,0.3333333333333333,0,0.2,0,0.2,0,105,1.0,2.05,1.0499999999999998,T.Jones
B.Mathurin o1.5 3pt M,TopShelfAction,Indiana Pacers,New York Knicks,1.0,0.3877551020408163,0,0.0,0,0.4,0,150,1.0,2.5,1.5,B.Mathurin
K.Towns o1.5 3pt M,TopShelfAction,New York Knicks,Indiana Pacers,0.0,0.6170212765957447,1,0.4,0,0.4,0,105,0.93,1.9065,0.9764999999999998,K.Towns
T.Jones u18.5 Pts+Ast,Rotowire Prizepicks_duplicate,Chicago Bulls,Detroit Pistons,1.0,1.0,1,1.0,1,1.0,1,100,1.5,3.0,1.5,T.Jones
T.Jones u18.5 Pts+Ast,Rotowire Prizepicks_duplicate,Phoenix Suns,Memphis Grizzlies,1.0,0.5490196078431373,1,0.6,1,0.6,1,100,1.5,3.0,1.5,T.Jones
T.Maxey u35.5 Pts+Ast,Rotowire Prizepicks,Philadelphia 76ers,Toronto Raptors,1.0,0.5111111111111111,1,0.2,0,0.1,0,100,1.5,3.0,1.5,T.Maxey
M.Bridges o19.5 Pts+Ast,Rotowire Sleeper_duplicate,New York Knicks,Indiana Pacers,0.0,0.5961538461538461,1,0.2,0,0.5,0,100,1.5,3.0,1.5,M.Bridges
K.Towns u28.5 Pts+Ast,Rotowire Prizepicks,New York Knicks,Indiana Pacers,0.0,0.5319148936170213,1,0.8,1,0.7,1,100,1.5,3.0,1.5,K.Towns
J.Shead o11.5 Pts+Ast,CamIsMoney18,Toronto Raptors,Philadelphia 76ers,0.0,0.3404255319148936,0,1.0,1,0.5,0,105,1.0,2.05,1.0499999999999998,J.Shead
T.Maxey o31.5 Pts+Ast,Rotowire Prizepicks,Philadelphia 76ers,Toronto Raptors,1.0,0.6222222222222222,1,1.0,1,1.0,1,100,1.5,3.0,1.5,T.Maxey
J.Jackson u25.5 Pts+Ast,Rotowire Prizepicks,Memphis Grizzlies,Phoenix Suns,0.0,0.58,1,0.4,0,0.5,0,100,1.5,3.0,1.5,J.Jackson
M.Bridges o22.5 Pts+Rebs+Ast,gneiffer07_duplicate,New York Knicks,Indiana Pacers,0.0,0.5769230769230769,1,0.2,0,0.5,0,-105,1.05,2.05,0.9999999999999998,M.Bridges
I.Quickley u28.5 Pts+Rebs+Ast,gneiffer07,Toronto Raptors,Philadelphia 76ers,0.0,0.7142857142857143,1,0.8,1,0.7,1,120,1.0,2.2,1.2000000000000002,I.Quickley
T.Jones o19.5 Pts+Rebs+Ast,Markus_Markets_duplicate,Phoenix Suns,Memphis Grizzlies,1.0,0.5294117647058824,1,0.4,0,0.4,0,-130,1.0,1.7692307692307692,0.7692307692307692,T.Jones
J.Morant o32.5 Pts+Rebs+Ast,sandyplashkes,Memphis Grizzlies,Phoenix Suns,0.0,0.6129032258064516,1,0.4,0,0.5,0,-120,1.2,2.2,1.0000000000000002,J.Morant
J.Morant o30.5 Pts+Rebs+Ast,JCBetsNFL,Memphis Grizzlies,Phoenix Suns,0.0,0.6129032258064516,1,0.4,0,0.5,0,-130,1.3,2.3,0.9999999999999998,J.Morant
J.Morant o30.5 Pts+Rebs+Ast,CamIsMoney18,Memphis Grizzlies,Phoenix Suns,0.0,0.6129032258064516,1,0.4,0,0.5,0,-130,1.0,1.7692307692307692,0.7692307692307692,J.Morant
M.Bridges o22.5 Pts+Rebs+Ast,Rotowire Sleeper_duplicate,New York Knicks,Indiana Pacers,0.0,0.5769230769230769,1,0.2,0,0.5,0,100,1.5,3.0,1.5,M.Bridges
J.Morant o32.5 Pts+Rebs+Ast,LinesAtLunch,Memphis Grizzlies,Phoenix Suns,0.0,0.6129032258064516,1,0.4,0,0.5,0,-120,1.2,2.2,1.0000000000000002,J.Morant
K.Huerter u12.5 Pts+Rebs+Ast,Rotowire Prizepicks,Chicago Bulls,Detroit Pistons,1.0,1.0,1,1.0,1,1.0,1,100,1.5,3.0,1.5,K.Huerter
K.Towns u42.5 Pts+Rebs+Ast,Rotowire Prizepicks,New York Knicks,Indiana Pacers,0.0,0.5319148936170213,1,0.8,1,0.8,1,100,1.5,3.0,1.5,K.Towns
N.Richards o16.5 Pts+Rebs,Rotowire Sleeper,Phoenix Suns,Memphis Grizzlies,1.0,0.4166666666666667,0,0.2,0,0.4,0,100,1.5,3.0,1.5,N.Richards
T.Maxey o29.5 Pts+Rebs,Rotowire Sleeper,Philadelphia 76ers,Toronto Raptors,1.0,0.6444444444444445,1,1.0,1,1.0,1,100,1.5,3.0,1.5,T.Maxey
B.Mathurin o13.5 Pts,GDAWG5000,Indiana Pacers,New York Knicks,1.0,0.6122448979591837,1,0.6,1,0.5,0,-120,0.6,1.1,0.5000000000000001,B.Mathurin
B.Mathurin o13.5 Pts,JoeDellera,Indiana Pacers,New York Knicks,1.0,0.6122448979591837,1,0.6,1,0.5,0,-115,1.0,1.869565217391304,0.8695652173913042,B.Mathurin
P.Achiuwa u8.5 Pts,MoneylineHacks,New York Knicks,Indiana Pacers,0.0,0.7419354838709677,1,0.6,1,0.6,1,-113,1.0,1.8849557522123888,0.8849557522123894,P.Achiuwa
T.Hardaway o9.5 Pts,rsura_,Detroit Pistons,Chicago Bulls,0.0,0.5714285714285714,1,0.4,0,0.3,0,-125,1.25,2.25,1.0,T.Hardaway
T.Hardaway o9.5 Pts,LinesAtLunch,Detroit Pistons,Chicago Bulls,0.0,0.5714285714285714,1,0.4,0,0.3,0,-125,1.25,2.25,1.0,T.Hardaway
J.Embiid u27.5 Pts,Rotowire Prizepicks,Philadelphia 76ers,Toronto Raptors,1.0,0.5,0,0.4,0,0.4,0,100,1.5,3.0,1.5,J.Embiid
T.Hardaway o10.5 Pts,TopShelfAction,Detroit Pistons,Chicago Bulls,0.0,0.4285714285714285,0,0.4,0,0.3,0,104,0.87,1.7748,0.9048,T.Hardaway
K.Oubre o12.5 Pts,Rotowire Prizepicks,Philadelphia 76ers,Toronto Raptors,1.0,0.5714285714285714,1,0.6,1,0.8,1,100,1.5,3.0,1.5,K.Oubre
D.Bane u19.5 Pts,itsbucketsnba,Memphis Grizzlies,Phoenix Suns,0.0,0.5121951219512195,1,0.4,0,0.2,0,-115,1.0,1.869565217391304,0.8695652173913042,D.Bane
J.Duren u13.5 Pts,itsbucketsnba,Detroit Pistons,Chicago Bulls,0.0,0.7,1,0.4,0,0.4,0,-120,1.0,1.8333333333333333,0.8333333333333335,J.Duren
K.Durant u27.5 Pts,Rotowire Prizepicks,Phoenix Suns,Memphis Grizzlies,1.0,0.5897435897435898,1,0.8,1,0.7,1,100,1.5,3.0,1.5,K.Durant
R.Dunn o4.5 Pts,Rotowire Sleeper,Phoenix Suns,Memphis Grizzlies,1.0,0.6808510638297872,1,0.4,0,0.4,0,100,1.5,3.0,1.5,R.Dunn
O.Agbaji o4.5 Rebs,TopShelfAction,Toronto Raptors,Philadelphia 76ers,0.0,0.4042553191489361,0,0.6,1,0.3,0,110,0.8,1.6800000000000002,0.8800000000000001,O.Agbaji
