,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,F.Wagner o24.5 Pts+Ast,SBK5065,-125,0.63,1.134,24.1459,Orlando Magic,F.Wagner,Indiana Pacers,0,0.5039999999999999,N,0.5,0,0.6,1,0.6,1
1,T.Haliburton u11.5 Ast,SBK5065,-112,1.0,1.8928571428571428,24.1459,Indiana Pacers,T.Haliburton,Orlando Magic,1,0.8928571428571428,N,0.5625,1,0.4,0,0.5,0
2,B.Bol u10.5 Rebs,SBK5065,100,0.5,1.0,24.1459,Orlando Magic,B.Bol,Indiana Pacers,0,0.5,Y,0.7222222222222222,1,0.6,1,0.7,1
3,B.Bol o16.5 Pts,PropBomb,-120,1.2,2.2,0.0,Orlando Magic,B.Bol,Indiana Pacers,0,1.0000000000000002,N,0.2222222222222222,0,0.4,0,0.3,0
4,T.Haliburton o2.5 3pt M,PropBetGuy,105,1.0,2.05,0.0,Indiana Pacers,T.Haliburton,Orlando Magic,1,1.0499999999999998,N,0.625,1,0.4,0,0.6,1
5,M.Turner o25.5 Pts+Rebs,PropBetGuy,-120,1.2,2.2,-14.0657,Indiana Pacers,M.Turner,Orlando Magic,1,1.0000000000000002,N,0.45454545454545453,0,0.6,1,0.5,0
6,D.Garland u9.5 Ast,SBK5065,-135,0.68,1.1837037037037037,24.1459,Cleveland Cavaliers,D.Garland,Atlanta Hawks,1,0.5037037037037037,Y,0.8181818181818182,1,1.0,1,0.8,1
7,D.Murray u21.5 Pts,SBK5065,-110,0.55,1.05,24.1459,Atlanta Hawks,D.Murray,Cleveland Cavaliers,0,0.5,Y,0.6470588235294118,1,0.8,1,0.5,0
8,J.Allen o10.5 Rebs,SBK5065,-105,0.53,1.0347619047619048,24.1459,Cleveland Cavaliers,J.Allen,Atlanta Hawks,1,0.5047619047619047,Y,0.6,1,0.4,0,0.6,1
9,E.Mobley o14.5 Pts,PropBomb,-114,1.14,2.14,0.0,Cleveland Cavaliers,E.Mobley,Atlanta Hawks,1,1.0000000000000002,N,0.6470588235294118,1,0.6,1,0.6,1
10,K.Towns o8.5 Rebs,SBK5065,-120,0.6,1.1,0.0,Minnesota Timberwolves,K.Towns,Miami Heat,1,0.5000000000000001,N,0.47058823529411764,0,0.4,0,0.6,1
11,K.Towns o20.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0.0,Minnesota Timberwolves,K.Towns,Miami Heat,1,0.9999999999999996,Y,0.7058823529411765,1,0.6,1,0.7,1
12,Z.LaVine o20.5 Pts,SBK5065,-120,0.6,1.1,24.1459,Chicago Bulls,Z.LaVine,Boston Celtics,1,0.5000000000000001,Y,0.6153846153846154,1,0.8,1,0.6,1
13,Z.LaVine o28.5 Pts+Rebs+Ast,SBK5065,-111,0.56,1.0645045045045047,24.1459,Chicago Bulls,Z.LaVine,Boston Celtics,1,0.5045045045045047,Y,0.6153846153846154,1,0.8,1,0.6,1
14,D.DeRozan o3.5 Ast,SBK5065,-120,0.6,1.1,24.1459,Chicago Bulls,D.DeRozan,Boston Celtics,1,0.5000000000000001,Y,0.6470588235294118,1,0.6,1,0.6,1
15,N.Vucevic o10.5 Rebs,PropBetGuy,-130,1.3,2.3,-14.0657,Chicago Bulls,N.Vucevic,Boston Celtics,1,0.9999999999999998,Y,0.5882352941176471,1,0.4,0,0.7,1
16,J.Hart u11.5 Pts,SBK5065,-125,0.63,1.134,0.0,Portland Trail Blazers,J.Hart,Milwaukee Bucks,0,0.5039999999999999,N,0.7058823529411765,1,0.6,1,0.6,1
17,J.Grant u20.5 Pts,PropBomb,-120,1.2,2.2,0.0,Portland Trail Blazers,J.Grant,Milwaukee Bucks,0,1.0000000000000002,Y,0.5,0,0.6,1,0.4,0
18,A.Simons u4.5 3pt M,ChicagoFlow,-140,1.4,2.4,0.0,Portland Trail Blazers,A.Simons,Milwaukee Bucks,0,1.0,Y,0.6666666666666666,1,0.6,1,0.6,1
19,J.Hart u15.5 Pts+Ast,PropBetGuy,-110,1.1,2.1,-14.0657,Portland Trail Blazers,J.Hart,Milwaukee Bucks,0,1.0,N,0.6470588235294118,1,0.6,1,0.6,1
20,B.Ingram u22.5 Pts,SBK5065,-107,0.54,1.0446728971962618,0.0,New Orleans Pelicans,B.Ingram,Golden State Warriors,1,0.5046728971962617,N,0.5384615384615384,1,0.6,1,0.6,1
21,Z.Williamson o24.5 Pts,JoeDellera,-115,0.5,0.934782608695652,-6.066200000000001,New Orleans Pelicans,Z.Williamson,Golden State Warriors,1,0.434782608695652,N,0.5833333333333334,1,0.6,1,0.6,1
22,R.Barrett u19.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0.0,New York Knicks,R.Barrett,Oklahoma City Thunder,0,0.5043478260869564,N,0.5555555555555556,1,0.8,1,0.6,1
23,R.Barrett u18.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,-14.0657,New York Knicks,R.Barrett,Oklahoma City Thunder,0,0.9999999999999996,N,0.5,0,0.8,1,0.6,1
24,I.Zubac u11.5 Rebs,SBK5065,100,1.0,2.0,24.1459,Los Angeles Clippers,I.Zubac,Utah Jazz,1,1.0,N,0.5555555555555556,1,0.6,1,0.6,1
25,Z.Williamson o19.5 Pts,thepromoguy123_,125,1.0,2.25,2.1,New Orleans Pelicans,Z.Williamson,Golden State Warriors,1,1.25,N,0.6666666666666666,1,0.6,1,0.7,1
