,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Fultz u5.5 Ast,SBK5065,-130,1.0,1.7692307692307692,0,Orlando Magic,M.Fultz,Atlanta Hawks,1,0.7692307692307692,N,0.75,1,0.8,1,0.75,1
1,P.Banchero o31.5 Pts+Rebs+Ast,SBK5065,-115,0.5,0.934782608695652,0,Orlando Magic,P.Banchero,Atlanta Hawks,1,0.434782608695652,Y,0.5454545454545454,1,0.8,1,0.5,0
2,P.Banchero o31.5 Pts+Rebs+Ast,JoeDellera,-120,0.29,0.5316666666666666,0,Orlando Magic,P.Banchero,Atlanta Hawks,1,0.2416666666666666,Y,0.5454545454545454,1,0.8,1,0.5,0
3,P.Banchero o2.5 3pt M,JoeDellera,850,0.05,0.475,0,Orlando Magic,P.Banchero,Atlanta Hawks,1,0.425,N,0.045454545454545456,0,0.0,0,0.0,0
4,P.Banchero o1.5 3pt M,JoeDellera,225,0.34,1.105,0,Orlando Magic,P.Banchero,Atlanta Hawks,1,0.7649999999999999,Y,0.2727272727272727,0,0.4,0,0.2,0
5,D.Green u0.5 3pt M,ChicagoFlow,-141,0.71,1.2135460992907805,0,Golden State Warriors,D.Green,Indiana Pacers,0,0.5035460992907805,Y,0.6153846153846154,1,0.8,1,0.5,0
6,B.Mathurin o15.5 Pts,PropBomb,-130,1.0,1.7692307692307692,0,Indiana Pacers,B.Mathurin,Golden State Warriors,1,0.7692307692307692,Y,0.5517241379310345,1,0.4,0,0.4,0
7,T.Haliburton o34.5 Pts+Rebs+Ast,SBK5065,-105,0.5,0.9761904761904762,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,0.4761904761904761,Y,0.6296296296296297,1,0.8,1,0.6,1
8,T.Haliburton o29.5 Pts+Ast,SBK5065,-120,0.5,0.9166666666666669,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,0.4166666666666668,Y,0.6296296296296297,1,0.8,1,0.6,1
9,T.Haliburton o29.5 Pts+Ast,JoeDellera,-110,0.45,0.8590909090909091,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,0.4090909090909091,Y,0.6296296296296297,1,0.8,1,0.6,1
10,T.Haliburton o29.5 Pts+Ast,PropBetGuy,-110,1.5,2.863636363636364,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,1.3636363636363642,Y,0.6296296296296297,1,0.8,1,0.6,1
