,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Duren Double-Double (Yes),PropBomb,-130,1.3,2.3,0,Detroit Pistons,J.Duren,Brooklyn Nets,1,0.9999999999999998,N,0.27692307692307694,0,0.4,0,0.4,0
1,Q.Grimes o14.5 Pts,SBK5065,100,1.0,2.0,0,New York Knicks,Q.Grimes,Indiana Pacers,0,1.0,Y,0.2318840579710145,0,0.6,1,0.5,0
2,B.Hield u15.5 Pts+Ast,PropBomb,-125,1.25,2.25,0,Indiana Pacers,B.Hield,New York Knicks,1,1.0,N,0.2692307692307692,0,0.4,0,0.3,0
3,O.Toppin o19.5 Pts,NicholaskMartin,-115,0.5,0.934782608695652,0,New York Knicks,O.Toppin,Indiana Pacers,0,0.4347826086956521,Y,0.03076923076923077,0,0.4,0,0.2,0
4,A.Nembhard o13.5 Pts,JoeMetz,100,1.0,2.0,0,Indiana Pacers,A.Nembhard,New York Knicks,1,1.0,N,0.2191780821917808,0,0.6,1,0.5,0
5,P.Siakam o4.5 Ast,JoeDellera,-130,1.0,1.7692307692307692,0,Toronto Raptors,P.Siakam,Boston Celtics,0,0.7692307692307692,N,0.7285714285714285,1,0.6,1,0.7,1
6,D.DeRozan o23.5 Pts,JoeDellera,-110,0.5,0.9545454545454546,0,Chicago Bulls,D.DeRozan,Milwaukee Bucks,0,0.4545454545454546,N,0.547945205479452,1,0.2,0,0.3,0
7,J.Davis o15.5 Pts,PropBomb,-115,1.15,2.1499999999999995,0,Washington Wizards,J.Davis,Atlanta Hawks,0,0.9999999999999996,Y,0.11538461538461539,0,0.6,1,0.3,0
8,C.McCollum u30.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,0,New Orleans Pelicans,C.McCollum,Memphis Grizzlies,1,0.9999999999999996,N,0.4931506849315068,0,0.8,1,0.7,1
9,L.James o25.5 Pts,SBK5065,-118,0.59,1.09,0,Los Angeles Lakers,L.James,Los Angeles Clippers,0,0.4999999999999999,Y,0.660377358490566,1,0.4,0,0.4,0
