,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Fultz u24.5 Pts+Rebs+Ast,PropBetGuy,-118,1.18,2.18,2.7002,Orlando Magic,M.Fultz,Miami Heat,1,0.9999999999999998,Y,0.6808510638297872,1,0.6,1,0.5,0
1,A.Nembhard o8 Ast,PropBomb,-130,1.3,2.3,12.643399999999998,Indiana Pacers,A.Nembhard,Detroit Pistons,0,0.9999999999999998,N,0.06557377049180328,0,0.0,0,0.0,0
2,A.Nembhard o19.5 Pts+Ast,SBK5065,-120,1.0,1.8333333333333333,8.175,Indiana Pacers,A.Nembhard,Detroit Pistons,0,0.8333333333333335,Y,0.13114754098360656,0,0.2,0,0.1,0
3,A.Nembhard o7.5 Ast,SBK5065,-125,1.0,1.8,0.0,Indiana Pacers,A.Nembhard,Detroit Pistons,0,0.8,Y,0.09836065573770492,0,0.2,0,0.1,0
4,T.Jones o23.5 Pts+Ast,PropBetGuy,-125,1.88,3.384,2.7002,Memphis Grizzlies,T.Jones,Dallas Mavericks,1,1.504,N,0.12121212121212122,0,0.4,0,0.2,0
5,D.Bane o2.5 3pt M,JoeDellera,-120,1.0,1.8333333333333333,0.3824000000000001,Memphis Grizzlies,D.Bane,Dallas Mavericks,1,0.8333333333333335,N,0.5454545454545454,1,0.2,0,0.3,0
6,T.Jones o23.5 Pts+Ast,JoeDellera,-120,1.1,2.016666666666667,0.0,Memphis Grizzlies,T.Jones,Dallas Mavericks,1,0.916666666666667,N,0.12121212121212122,0,0.4,0,0.2,0
7,T.Jones o24.5 Pts+Ast,JoeMetz,-104,1.04,2.04,-7.975,Memphis Grizzlies,T.Jones,Dallas Mavericks,1,1.0,N,0.12121212121212122,0,0.4,0,0.2,0
8,J.Green u23.5 Pts,PropBomb,-125,1.25,2.25,12.643399999999998,Houston Rockets,J.Green,Chicago Bulls,1,1.0,Y,0.6065573770491803,1,0.4,0,0.6,1
9,J.Green u23.5 Pts,SBK5065,-125,0.63,1.134,8.175,Houston Rockets,J.Green,Chicago Bulls,1,0.5040000000000001,Y,0.6065573770491803,1,0.4,0,0.6,1
10,J.Giddey o30.5 Pts+Rebs+Ast,PropBomb,-127,1.27,2.27,12.643399999999998,Oklahoma City Thunder,J.Giddey,New Orleans Pelicans,0,1.0,N,0.4838709677419355,0,0.6,1,0.5,0
11,J.Holiday o20.5 Pts,PropBomb,-125,1.25,2.25,12.643399999999998,Milwaukee Bucks,J.Holiday,Golden State Warriors,0,1.0,N,0.36363636363636365,0,0.4,0,0.5,0
12,J.Holiday o20.5 Pts,SBK5065,-125,0.63,1.134,8.175,Milwaukee Bucks,J.Holiday,Golden State Warriors,0,0.5040000000000001,N,0.36363636363636365,0,0.4,0,0.5,0
13,C.Paul Double-Double (Yes),AnthonyDabbundo,140,0.4,0.96,-1.0,Phoenix Suns,C.Paul,Sacramento Kings,1,0.5599999999999999,Y,0.30434782608695654,0,0.4,0,0.3,0
14,C.Paul o9.5 Ast,SBK5065,-115,0.58,1.0843478260869563,0.0,Phoenix Suns,C.Paul,Sacramento Kings,1,0.5043478260869564,Y,0.45652173913043476,0,0.6,1,0.5,0
15,C.Paul o11.5 Ast,wheatonbrando,220,0.5,1.6,0.0,Phoenix Suns,C.Paul,Sacramento Kings,1,1.1,Y,0.21739130434782608,0,0.2,0,0.2,0
