,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Herro o19.5 Pts,SBK5065,-110,0.55,1.05,9.6061,Miami Heat,T.Herro,Sacramento Kings,0.0,0.5,Y,0.5714285714285714,1,0.4,0,0.5714285714285714,1
1,J.Butler u24.5 Pts,SBK5065,-120,0.6,1.1,9.6061,Miami Heat,J.Butler,Sacramento Kings,0.0,0.5000000000000001,Y,0.7142857142857143,1,0.6,1,0.7142857142857143,1
2,K.Murray u5.5 Rebs,SBK5065,-105,0.53,1.0347619047619048,9.6061,Sacramento Kings,K.Murray,Miami Heat,1.0,0.5047619047619047,Y,0.75,1,0.75,1,0.75,1
3,K.Murray u16.5 Pts,SBK5065,-115,0.58,1.0843478260869563,9.6061,Sacramento Kings,K.Murray,Miami Heat,1.0,0.5043478260869564,N,0.25,0,0.25,0,0.25,0
4,B.Adebayo o25.5 Pts+Rebs,PropBetGuy,-120,1.8,3.3000000000000003,0.0,Miami Heat,B.Adebayo,Sacramento Kings,0.0,1.5000000000000002,Y,0.5714285714285714,1,0.6,1,0.5714285714285714,1
5,B.Adebayo o26.5 Pts+Rebs,charliedisturco,-110,1.1,2.1,-4.025,Miami Heat,B.Adebayo,Sacramento Kings,0.0,1.0,Y,0.42857142857142855,0,0.4,0,0.42857142857142855,0
6,K.Murray o2.5 3pt M,PropBetGuy,-108,0.4,0.7703703703703705,0.0,Sacramento Kings,K.Murray,Miami Heat,1.0,0.3703703703703704,Y,1.0,1,1.0,1,1.0,1
7,K.Murray o3.5 3pt M,PropBetGuy,265,0.15,0.5475,0.0,Sacramento Kings,K.Murray,Miami Heat,1.0,0.3974999999999999,N,0.25,0,0.25,0,0.25,0
8,K.Oubre o16.5 Pts,SBK5065,-122,0.61,1.11,9.6061,Charlotte Hornets,K.Oubre,Golden State Warriors,1.0,0.5000000000000001,Y,0.5,0,0.6,1,0.5,0
9,K.Looney u8.5 Rebs,SBK5065,-125,0.63,1.134,9.6061,Golden State Warriors,K.Looney,Charlotte Hornets,0.0,0.5039999999999999,N,0.8333333333333334,1,0.8,1,0.8333333333333334,1
