,Unnamed: 0,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,1,1.0,4.0,4.0,4,4,M.Plumlee o19.5 Pts+Rebs,JoeMetz,-115,1.15,2.1499999999999995,-23.110000000000003,Charlotte Hornets,M.Plumlee,Atlanta Hawks,1,0.9999999999999996,0.5909090909090909,1.0,1.0,1.0,0.9,1.0
4,4,,,,4,4,M.Plumlee o19.5 Pts+Rebs,JoeMetz,-115,1.15,2.1499999999999995,-23.110000000000003,Charlotte Hornets,M.Plumlee,Atlanta Hawks,1,0.9999999999999996,,,,,,
