,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0.0,0.0,2.0,2,2,2,N.Richards o7.5 Pts,PropBomb,-120,1.2,2.2,13.808700000000002,Charlotte Hornets,N.Richards,Atlanta Hawks,1,1.0000000000000002,0.5263157894736842,1.0,0.2,0.0,0.4,0.0
2,2.0,2.0,5.0,5,5,5,K.Durant o27.5 Pts,PropBomb,-105,1.05,2.05,0.0,Brooklyn Nets,K.Durant,Toronto Raptors,0,0.9999999999999998,0.5897435897435898,1.0,0.4,0.0,0.4,0.0
3,3.0,3.0,6.0,6,6,6,K.Durant u27.5 Pts,JoeDellera,-100,0.35,0.7,0.0,Brooklyn Nets,K.Durant,Toronto Raptors,0,0.35,0.4102564102564102,0.0,0.6,1.0,0.6,1.0
4,4.0,4.0,7.0,7,7,7,N.Claxton o10.5 Pts,SBK5065,-112,0.56,1.06,7.367800000000001,Brooklyn Nets,N.Claxton,Toronto Raptors,0,0.5,0.5897435897435898,1.0,0.6,1.0,0.6,1.0
7,7.0,7.0,13.0,13,13,13,M.Turner o14.5 Pts,SBK5065,-106,0.53,1.03,7.367800000000001,Indiana Pacers,M.Turner,Cleveland Cavaliers,0,0.5,0.6,1.0,0.8,1.0,0.5,0.0
8,8.0,8.0,17.0,17,17,17,S.Gilgeous-Alexander o29.5 Pts,PropBomb,-145,1.45,2.45,0.0,Oklahoma City Thunder,S.Gilgeous-Alexander,Minnesota Timberwolves,1,1.0000000000000002,0.625,1.0,0.4,0.0,0.4,0.0
10,10.0,10.0,19.0,19,19,19,T.Hardaway o14.5 Pts,SBK5065,-122,0.61,1.11,7.367800000000001,Dallas Mavericks,T.Hardaway,Portland Trail Blazers,1,0.5000000000000001,0.5,0.0,0.8,1.0,0.6,1.0
14,14.0,14.0,24.0,24,24,24,D.Fox o19.5 Pts,PropBomb,-250,7.33,10.262,13.808700000000002,Sacramento Kings,D.Fox,Detroit Pistons,0,2.9320000000000004,0.6666666666666666,1.0,0.8,1.0,0.8,1.0
5,,,,5,5,5,K.Durant o27.5 Pts,PropBomb,-105,1.05,2.05,0.0,Brooklyn Nets,K.Durant,Toronto Raptors,0,0.9999999999999998,,,,,,
7,,,,7,7,7,N.Claxton o10.5 Pts,SBK5065,-112,0.56,1.06,7.367800000000001,Brooklyn Nets,N.Claxton,Toronto Raptors,0,0.5,,,,,,
13,,,,13,13,13,M.Turner o14.5 Pts,SBK5065,-106,0.53,1.03,7.367800000000001,Indiana Pacers,M.Turner,Cleveland Cavaliers,0,0.5,,,,,,
16,,,,16,16,16,M.Fultz u13.5 Pts,SBK5065,-122,0.61,1.11,7.367800000000001,Orlando Magic,M.Fultz,Boston Celtics,0,0.5000000000000001,,,,,,
17,,,,17,17,17,S.Gilgeous-Alexander o29.5 Pts,PropBomb,-145,1.45,2.45,0.0,Oklahoma City Thunder,S.Gilgeous-Alexander,Minnesota Timberwolves,1,1.0000000000000002,,,,,,
21,,,,21,21,21,N.Jokic o25.5 Pts,SBK5065,-114,0.57,1.0699999999999998,0.0,Denver Nuggets,N.Jokic,Los Angeles Lakers,0,0.4999999999999999,,,,,,
