,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
25,25,25,M.Morris u23.5 Pts+Rebs+Ast,PropBetGuy,-127,1.0,1.7874015748031495,0,Los Angeles Clippers,M.Morris,Phoenix Suns,1,0.7874015748031495,,,,,,,,,
1,1,4,C.McCollum o28.5 Pts+Rebs+Ast,SBK5065,-110,0.5,0.9545454545454546,0,New Orleans Pelicans,C.McCollum,Utah Jazz,0,0.4545454545454546,1.0,4.0,4.0,0.6578947368421053,1.0,1.0,1.0,0.9,1.0
7,7,25,M.Morris u23.5 Pts+Rebs+Ast,PropBetGuy,-127,1.0,1.7874015748031495,0,Los Angeles Clippers,M.Morris,Phoenix Suns,1,0.7874015748031495,7.0,25.0,25.0,0.7804878048780488,1.0,1.0,1.0,1.0,1.0
