,Unnamed: 0,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,0.0,3.0,3,3.0,L.Markkanen o7.5 Rebs,SBK5065,-120,0.6,1.1,0,Utah Jazz,L.Markkanen,New Orleans Pelicans,1,0.5000000000000001,0.6190476190476191,1.0,0.8,1.0,0.8,1.0
3,3,,,3,,L.Markkanen o7.5 Rebs,SBK5065,-120,0.6,1.1,0,Utah Jazz,L.Markkanen,New Orleans Pelicans,1,0.5000000000000001,,,,,,
18,18,,,18,,T.Eason o4.5 Rebs,JoeDellera,-135,0.22,0.3829629629629629,0,Houston Rockets,T.Eason,Miami Heat,1,0.1629629629629629,,,,,,
