,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Anthony o17.5 Pts+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Orlando Magic,C.Anthony,Los Angeles Lakers,1,0.9999999999999996,N,0.6,1,0.6,1,0.6,1
1,M.Wagner o13.5 Pts+Rebs,SBK5065,-125,0.8,1.4400000000000002,Orlando Magic,M.Wagner,Los Angeles Lakers,1,0.6400000000000001,Y,0.4,0,0.4,0,0.4,0
2,M.Wagner o13.5 Pts+Rebs,JoeDellera,-120,0.83,1.5216666666666667,Orlando Magic,M.Wagner,Los Angeles Lakers,1,0.6916666666666668,Y,0.4,0,0.4,0,0.4,0
3,M.Wagner o4.5 Rebs,JoeDellera,105,0.53,1.0865,Orlando Magic,M.Wagner,Los Angeles Lakers,1,0.5565,Y,0.2,0,0.2,0,0.2,0
4,A.Reaves o18.5 Pts+Ast,kylemurray03,-112,0.89,1.684642857142857,Los Angeles Lakers,A.Reaves,Orlando Magic,0,0.7946428571428571,Y,0.2,0,0.2,0,0.2,0
5,C.Wood o6.5 Rebs,SBK5065,-135,1.0,1.7407407407407407,Los Angeles Lakers,C.Wood,Orlando Magic,0,0.7407407407407407,N,0.6,1,0.6,1,0.6,1
6,J.Embiid o46.5 Pts+Rebs+Ast,the_degenerates,-115,1.15,2.1499999999999995,Philadelphia 76ers,J.Embiid,Phoenix Suns,1,0.9999999999999996,N,0.75,1,0.75,1,0.75,1
7,J.Embiid o29.5 Pts,PropBetGuy,-112,1.12,2.12,Philadelphia 76ers,J.Embiid,Phoenix Suns,1,1.0,N,0.5,0,0.5,0,0.5,0
8,J.Embiid o29.5 Pts,JoeDellera,-110,1.0,1.9090909090909087,Philadelphia 76ers,J.Embiid,Phoenix Suns,1,0.9090909090909092,N,0.5,0,0.5,0,0.5,0
9,J.Clarkson o15.5 Pts,kylemurray03,-110,1.0,1.9090909090909087,Utah Jazz,J.Clarkson,Minnesota Timberwolves,0,0.9090909090909092,N,0.5,0,0.4,0,0.5,0
10,J.Collins o7.5 Rebs,kylemurray03,110,1.0,2.1,Utah Jazz,J.Collins,Minnesota Timberwolves,0,1.1,N,0.8333333333333334,1,0.8,1,0.8333333333333334,1
11,J.Clarkson o8.5 Rebs+Ast,Noto,-128,1.28,2.28,Utah Jazz,J.Clarkson,Minnesota Timberwolves,0,1.0000000000000002,N,0.8333333333333334,1,0.8,1,0.8333333333333334,1
12,D.Sabonis o28.5 Pts+Ast,kylemurray03,-115,1.0,1.869565217391304,Sacramento Kings,D.Sabonis,Houston Rockets,0,0.8695652173913042,N,0.25,0,0.25,0,0.25,0
13,D.Mitchell o4.5 Ast,Noto,-130,1.0,1.7692307692307692,Sacramento Kings,D.Mitchell,Houston Rockets,0,0.7692307692307692,Y,0.0,0,0.0,0,0.0,0
14,K.Murray o16.5 Pts,the_degenerates,-110,1.1,2.1,Sacramento Kings,K.Murray,Houston Rockets,0,1.0,N,0.25,0,0.25,0,0.25,0
15,B.Mathurin o12.5 Pts,SBK5065,-115,0.58,1.0843478260869563,Indiana Pacers,B.Mathurin,Charlotte Hornets,1,0.5043478260869564,N,0.6,1,0.6,1,0.6,1
16,B.Mathurin o12.5 Pts,JoeDellera,-110,1.0,1.9090909090909087,Indiana Pacers,B.Mathurin,Charlotte Hornets,1,0.9090909090909092,N,0.6,1,0.6,1,0.6,1
17,B.Mathurin o12.5 Pts+Ast,JoeDellera,-120,0.83,1.5216666666666667,Indiana Pacers,B.Mathurin,Charlotte Hornets,1,0.6916666666666668,Y,0.6,1,0.6,1,0.6,1
18,D.DeRozan u29.5 Pts+Rebs+Ast,PropBetGuy,-115,1.0,1.869565217391304,Chicago Bulls,D.DeRozan,Denver Nuggets,0,0.8695652173913042,Y,0.8333333333333334,1,0.8,1,0.8333333333333334,1
19,N.Jokic o8.5 Ast,JoeDellera,-125,0.8,1.4400000000000002,Denver Nuggets,N.Jokic,Chicago Bulls,1,0.6400000000000001,Y,0.5,0,0.4,0,0.5,0
20,Z.Williamson u4.5 Ast,SBK5065,-132,0.5,0.8787878787878788,New Orleans Pelicans,Z.Williamson,Atlanta Hawks,1,0.3787878787878788,Y,0.75,1,0.75,1,0.75,1
21,L.Walker o9.5 Pts,JoeDellera,-115,0.43,0.8039130434782608,Brooklyn Nets,L.Walker,Boston Celtics,1,0.3739130434782607,Y,1.0,1,1.0,1,1.0,1
22,J.Brown o8.5 Rebs+Ast,Noto,-140,1.0,1.7142857142857144,Boston Celtics,J.Brown,Brooklyn Nets,0,0.7142857142857144,Y,0.25,0,0.25,0,0.25,0
23,J.Holiday u6.5 Ast,SBK5065,-120,1.2,2.2,Boston Celtics,J.Holiday,Brooklyn Nets,0,1.0000000000000002,N,0.75,1,0.75,1,0.75,1
