,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,0,P.Beverley o3.5 Rebs,SBK5065,240,0.2,0.68,Philadelphia 76ers,P.Beverley,New Orleans Pelicans,0,0.48,N,0.5294117647058824,1.0,0.6,1.0,0.4,0.0
1,1,1,P.Beverley o2.5 Rebs,SBK5065,115,1.0,2.15,Philadelphia 76ers,P.Beverley,New Orleans Pelicans,0,1.15,N,0.5294117647058824,1.0,0.6,1.0,0.4,0.0
2,2,2,Z.Williamson o23.5 Pts,the_degenerates,-122,1.0,1.819672131147541,New Orleans Pelicans,Z.Williamson,Philadelphia 76ers,1,0.819672131147541,Y,0.5714285714285714,1.0,1.0,1.0,0.7,1.0
3,3,3,J.Valanciunas o9.5 Rebs,kylemurray03,105,1.0,2.05,New Orleans Pelicans,J.Valanciunas,Philadelphia 76ers,1,1.0499999999999998,N,0.4444444444444444,0.0,0.6,1.0,0.5,0.0
4,4,4,T.Harris o7.5 Rebs+Ast,kylemurray03,-125,1.0,1.8,Philadelphia 76ers,T.Harris,New Orleans Pelicans,0,0.8,N,0.6470588235294118,1.0,0.4,0.0,0.6,1.0
5,5,5,J.Clarkson o25.5 Pts+Ast,the_degenerates,-111,1.11,2.1100000000000003,Utah Jazz,J.Clarkson,Memphis Grizzlies,0,1.0000000000000002,N,0.5,0.0,0.6,1.0,0.6,1.0
6,6,6,S.Aldama o19.5 Pts+Ast,kylemurray03,105,1.0,2.05,Memphis Grizzlies,S.Aldama,Utah Jazz,1,1.0499999999999998,N,0.4,0.0,0.6,1.0,0.4,0.0
7,7,7,D.Bane o29.5 Pts,JoeMetz,220,0.5,1.6,Memphis Grizzlies,D.Bane,Utah Jazz,1,1.1,N,0.375,0.0,0.2,0.0,0.3,0.0
8,8,8,D.Bane o23.5 Pts,JoeMetz,-125,1.25,2.25,Memphis Grizzlies,D.Bane,Utah Jazz,1,1.0,N,0.5625,1.0,0.4,0.0,0.5,0.0
9,9,9,B.Biyombo u8.5 Rebs,SBK5065,-130,0.77,1.3623076923076922,Memphis Grizzlies,B.Biyombo,Utah Jazz,1,0.5923076923076922,Y,0.5454545454545454,1.0,0.8,1.0,0.5,0.0
10,10,10,K.George u15.5 Pts,SBK5065,-110,0.91,1.7372727272727273,Utah Jazz,K.George,Memphis Grizzlies,0,0.8272727272727273,Y,0.8823529411764706,1.0,0.6,1.0,0.8,1.0
11,11,11,D.Bane o23.5 Pts,cowhitchurch,-140,0.7,1.2,Memphis Grizzlies,D.Bane,Utah Jazz,1,0.5,N,0.5625,1.0,0.4,0.0,0.5,0.0
12,12,12,D.Bane o23.5 Pts,JoeDellera,-125,1.0,1.8,Memphis Grizzlies,D.Bane,Utah Jazz,1,0.8,N,0.5625,1.0,0.4,0.0,0.5,0.0
13,13,13,D.Bane o23.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,Memphis Grizzlies,D.Bane,Utah Jazz,1,0.9999999999999996,N,0.5625,1.0,0.4,0.0,0.5,0.0
14,14,14,D.Bane o23.5 Pts,kylemurray03,-105,1.0,1.9523809523809523,Memphis Grizzlies,D.Bane,Utah Jazz,1,0.9523809523809524,N,0.5625,1.0,0.4,0.0,0.5,0.0
