,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,A.Sengun o5.5 Ast,Noto,-113,1.13,2.13,Houston Rockets,A.Sengun,Charlotte Hornets,1,1.0,N,1.0,1,1.0,1,1.0,1
1,J.Green o3.5 Rebs,Noto,-125,1.0,1.8,Houston Rockets,J.Green,Charlotte Hornets,1,0.8,Y,0.42857142857142855,0,0.6,1,0.42857142857142855,0
2,B.Miller o1.5 Ast,SBK5065,-140,0.5,0.8571428571428572,Charlotte Hornets,B.Miller,Houston Rockets,0,0.3571428571428572,Y,1.0,1,1.0,1,1.0,1
3,J.Green o22.5 Pts,the_degenerates,-110,1.0,1.9090909090909087,Houston Rockets,J.Green,Charlotte Hornets,1,0.9090909090909092,Y,0.14285714285714285,0,0.2,0,0.14285714285714285,0
4,A.Sengun o0.5 Blk,SBK5065,-135,1.0,1.7407407407407407,Houston Rockets,A.Sengun,Charlotte Hornets,1,0.7407407407407407,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
5,P.Washington o6.5 Rebs,JoeDellera,290,0.25,0.975,Charlotte Hornets,P.Washington,Houston Rockets,0,0.725,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
6,P.Washington o7.5 Rebs,SBK5065,470,0.1,0.5700000000000001,Charlotte Hornets,P.Washington,Houston Rockets,0,0.4700000000000001,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
7,P.Washington o4.5 Rebs,SBK5065,-114,1.0,1.8771929824561404,Charlotte Hornets,P.Washington,Houston Rockets,0,0.8771929824561404,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
8,A.Sengun o31.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Houston Rockets,A.Sengun,Charlotte Hornets,1,0.9999999999999996,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
9,K.Looney u11.5 Rebs,SBK5065,-120,0.83,1.5216666666666667,Golden State Warriors,K.Looney,Sacramento Kings,1,0.6916666666666668,Y,0.75,1,0.75,1,0.75,1
10,D.Mitchell u14.5 Pts+Ast,SBK5065,-120,1.0,1.8333333333333333,Sacramento Kings,D.Mitchell,Golden State Warriors,0,0.8333333333333335,N,1.0,1,1.0,1,1.0,1
11,K.Huerter o19.5 Pts,JoeDellera,550,0.5,3.25,Sacramento Kings,K.Huerter,Golden State Warriors,0,2.75,N,0.0,0,0.0,0,0.0,0
12,K.Huerter o12.5 Pts,JoeDellera,-120,1.0,1.8333333333333333,Sacramento Kings,K.Huerter,Golden State Warriors,0,0.8333333333333335,N,0.0,0,0.0,0,0.0,0
13,D.Sabonis o12.5 Rebs,JoeDellera,-108,1.08,2.08,Sacramento Kings,D.Sabonis,Golden State Warriors,0,1.0,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
14,K.George o1.5 Ast,SBK5065,-130,1.0,1.7692307692307692,Utah Jazz,K.George,Memphis Grizzlies,1,0.7692307692307692,Y,1.0,1,1.0,1,1.0,1
15,X.Tillman o10.5 Pts,OldManWhoBets,100,0.5,1.0,Memphis Grizzlies,X.Tillman,Utah Jazz,0,0.5,N,0.5,0,0.5,0,0.5,0
16,C.Reddish u1.5 Ast,SBK5065,-150,1.0,1.6666666666666663,Los Angeles Lakers,C.Reddish,Los Angeles Clippers,1,0.6666666666666665,N,0.75,1,0.75,1,0.75,1
17,C.Wood o5.5 Rebs,SBK5065,-140,1.0,1.7142857142857144,Los Angeles Lakers,C.Wood,Los Angeles Clippers,1,0.7142857142857144,Y,0.5,0,0.5,0,0.5,0
18,B.Adebayo o19.5 Pts,OldManWhoBets,-104,0.48,0.9415384615384615,Miami Heat,B.Adebayo,Brooklyn Nets,1,0.4615384615384615,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
19,T.Herro o22.5 Pts,OldManWhoBets,-106,0.47,0.9133962264150944,Miami Heat,T.Herro,Brooklyn Nets,1,0.4433962264150943,Y,0.5,0,0.5,0,0.5,0
20,B.Adebayo o18.5 Pts,PropBomb,-110,1.0,1.9090909090909087,Miami Heat,B.Adebayo,Brooklyn Nets,1,0.9090909090909092,Y,1.0,1,1.0,1,1.0,1
21,M.Bridges u24.5 Pts,SBK5065,-125,0.8,1.4400000000000002,Brooklyn Nets,M.Bridges,Miami Heat,0,0.6400000000000001,Y,1.0,1,1.0,1,1.0,1
22,M.Bridges u24.5 Pts,PropBetGuy,-115,1.0,1.869565217391304,Brooklyn Nets,M.Bridges,Miami Heat,0,0.8695652173913042,Y,1.0,1,1.0,1,1.0,1
23,T.McConnell o7.5 Ast,JoeDellera,370,0.25,1.175,Indiana Pacers,T.McConnell,Boston Celtics,0,0.925,N,0.5,0,0.5,0,0.5,0
24,T.McConnell o5.5 Ast,JoeDellera,-105,1.0,1.9523809523809523,Indiana Pacers,T.McConnell,Boston Celtics,0,0.9523809523809524,N,0.5,0,0.5,0,0.5,0
25,J.Holiday u6.5 Ast,JoeDellera,-154,0.32,0.5277922077922078,Boston Celtics,J.Holiday,Indiana Pacers,1,0.2077922077922078,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
26,J.Holiday u6.5 Ast,SBK5065,-130,1.0,1.7692307692307692,Boston Celtics,J.Holiday,Indiana Pacers,1,0.7692307692307692,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
27,T.Young o9.5 Ast,SBK5065,-115,0.5,0.934782608695652,Atlanta Hawks,T.Young,Washington Wizards,1,0.4347826086956521,Y,0.5,0,0.5,0,0.5,0
28,T.Jones o11.5 Pts,OldManWhoBets,-106,0.5,0.9716981132075472,Washington Wizards,T.Jones,Atlanta Hawks,0,0.4716981132075472,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
29,J.Poole o23.5 Pts,OldManWhoBets,-105,0.5,0.9761904761904762,Washington Wizards,J.Poole,Atlanta Hawks,0,0.4761904761904761,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
30,T.Young o9.5 Ast,JoeDellera,-115,0.87,1.6265217391304347,Atlanta Hawks,T.Young,Washington Wizards,1,0.7565217391304347,Y,0.5,0,0.5,0,0.5,0
31,J.Johnson o12.5 Pts,PropBetGuy,-118,1.18,2.18,Atlanta Hawks,J.Johnson,Washington Wizards,1,0.9999999999999998,N,0.5,0,0.5,0,0.5,0
32,R.Williams u7.5 Rebs,SBK5065,-140,1.0,1.7142857142857144,Portland Trail Blazers,R.Williams,Detroit Pistons,0,0.7142857142857144,N,1.0,1,1.0,1,1.0,1
33,J.Grant u21.5 Pts+Ast,PropBetGuy,-122,1.22,2.22,Portland Trail Blazers,J.Grant,Detroit Pistons,0,1.0000000000000002,N,0.75,1,0.75,1,0.75,1
34,O.Anunoby o14.5 Pts,OldManWhoBets,-106,0.47,0.9133962264150944,Toronto Raptors,O.Anunoby,Milwaukee Bucks,1,0.4433962264150943,Y,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
35,S.Barnes o18.5 Pts,OldManWhoBets,100,0.5,1.0,Toronto Raptors,S.Barnes,Milwaukee Bucks,1,0.5,Y,0.75,1,0.75,1,0.75,1
36,P.Siakam u25.5 Pts+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Toronto Raptors,P.Siakam,Milwaukee Bucks,1,0.9999999999999996,N,1.0,1,1.0,1,1.0,1
37,N.Vucevic o26.5 Pts+Rebs,the_degenerates,-122,1.0,1.819672131147541,Chicago Bulls,N.Vucevic,Dallas Mavericks,0,0.819672131147541,Y,0.25,0,0.25,0,0.25,0
38,L.Doncic o53.5 Pts+Rebs+Ast,the_degenerates,-115,1.15,2.1499999999999995,Dallas Mavericks,L.Doncic,Chicago Bulls,1,0.9999999999999996,N,1.0,1,1.0,1,1.0,1
39,Q.Grimes o7.5 Pts,JoeDellera,-115,1.0,1.869565217391304,New York Knicks,Q.Grimes,Cleveland Cavaliers,1,0.8695652173913042,N,0.25,0,0.25,0,0.25,0
40,Z.Williamson o24.5 Pts,JoeDellera,-120,1.0,1.8333333333333333,New Orleans Pelicans,Z.Williamson,Oklahoma City Thunder,0,0.8333333333333335,N,0.0,0,0.0,0,0.0,0
