,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Boucher o10.5 Pts+Rebs,SBK5065,-125,0.63,1.134,Toronto Raptors,C.Boucher,Philadelphia 76ers,0,0.5040000000000001,N,0.75,1,0.75,1,0.75,1
1,T.Maxey o29.5 Pts+Ast,the_degenerates,-115,1.15,2.1499999999999995,Philadelphia 76ers,T.Maxey,Toronto Raptors,1,0.9999999999999996,N,1.0,1,1.0,1,1.0,1
2,P.Siakam o19.5 Pts,SportsBookBreakers,-120,1.0,1.8333333333333333,Toronto Raptors,P.Siakam,Philadelphia 76ers,0,0.8333333333333335,N,0.4,0,0.4,0,0.4,0
3,J.Embiid u16.5 Rebs+Ast,kylemurray03,-120,1.0,1.8333333333333333,Philadelphia 76ers,J.Embiid,Toronto Raptors,1,0.8333333333333335,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
4,J.Embiid o28.5 Pts,kylemurray03,-125,1.0,1.8,Philadelphia 76ers,J.Embiid,Toronto Raptors,1,0.8,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
5,S.Barnes o31.5 Pts+Rebs+Ast,kylemurray03,-115,0.87,1.6265217391304347,Toronto Raptors,S.Barnes,Philadelphia 76ers,0,0.7565217391304347,Y,0.8,1,0.8,1,0.8,1
6,P.Siakam o4.5 Ast,JoeDellera,105,1.05,2.1525,Toronto Raptors,P.Siakam,Philadelphia 76ers,0,1.1024999999999998,Y,0.4,0,0.4,0,0.4,0
7,D.Melton o1.5 Stl+Blk,JoeDellera,-130,1.0,1.7692307692307692,Philadelphia 76ers,D.Melton,Toronto Raptors,1,0.7692307692307692,N,1.0,1,1.0,1,1.0,1
8,D.Melton o1.5 Stl+Blk,SBK5065,-130,1.0,1.7692307692307692,Philadelphia 76ers,D.Melton,Toronto Raptors,1,0.7692307692307692,N,1.0,1,1.0,1,1.0,1
9,J.Embiid o28.5 Pts,JoeDellera,-120,1.0,1.8333333333333333,Philadelphia 76ers,J.Embiid,Toronto Raptors,1,0.8333333333333335,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
10,D.Booker u28.5 Pts,SBK5065,-115,0.58,1.0843478260869563,Phoenix Suns,D.Booker,San Antonio Spurs,1,0.5043478260869564,N,0.0,0,0.0,0,0.0,0
11,D.Booker u28.5 Pts,JoeDellera,-120,0.5,0.9166666666666669,Phoenix Suns,D.Booker,San Antonio Spurs,1,0.4166666666666667,N,0.0,0,0.0,0,0.0,0
12,D.Booker u6.5 Ast,kylemurray03,-133,1.0,1.7518796992481205,Phoenix Suns,D.Booker,San Antonio Spurs,1,0.7518796992481203,N,0.0,0,0.0,0,0.0,0
13,J.Nurkic o9.5 Rebs,PropBetGuy,-110,1.1,2.1,Phoenix Suns,J.Nurkic,San Antonio Spurs,1,1.0,N,0.5,0,0.5,0,0.5,0
14,J.Nurkic o9.5 Rebs,JoeDellera,-105,0.5,0.9761904761904762,Phoenix Suns,J.Nurkic,San Antonio Spurs,1,0.4761904761904761,N,0.5,0,0.5,0,0.5,0
15,P.Banchero o3.5 Ast,kylemurray03,-125,0.8,1.4400000000000002,Orlando Magic,P.Banchero,Utah Jazz,0,0.6400000000000001,Y,1.0,1,1.0,1,1.0,1
16,J.Clarkson o18.5 Pts+Rebs,kylemurray03,-120,0.83,1.5216666666666667,Utah Jazz,J.Clarkson,Orlando Magic,1,0.6916666666666668,Y,0.4,0,0.4,0,0.4,0
17,H.Jones u12.5 Pts,JoeDellera,-125,0.5,0.9,New Orleans Pelicans,H.Jones,Detroit Pistons,1,0.4,N,0.75,1,0.75,1,0.75,1
18,H.Jones u8.5 Pts,JoeDellera,265,0.25,0.9125,New Orleans Pelicans,H.Jones,Detroit Pistons,1,0.6625,N,0.5,0,0.5,0,0.5,0
19,C.Cunningham u33.5 Pts+Rebs+Ast,PropBetGuy,-122,1.22,2.22,Detroit Pistons,C.Cunningham,New Orleans Pelicans,0,1.0000000000000002,N,0.4,0,0.4,0,0.4,0
