,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,T.Young u47.5 Pts+Rebs+Ast,gneiffer07,-106,1.06,2.06,Atlanta Hawks,T.Young,Detroit Pistons,1,1.0,N,0.7391304347826086,1,0.4,0,0.6,1
1,1,B.Bogdanovic o20.5 Pts,gneiffer07,-105,1.0,1.9523809523809523,Detroit Pistons,B.Bogdanovic,Atlanta Hawks,0,0.9523809523809524,Y,0.5714285714285714,1,0.4,0,0.5714285714285714,1
2,2,S.Bey u24.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Atlanta Hawks,S.Bey,Detroit Pistons,1,0.9999999999999996,N,0.72,1,0.8,1,0.7,1
3,3,N.Vucevic u0.5 Blk,SBK5065,135,1.0,2.35,Chicago Bulls,N.Vucevic,Philadelphia 76ers,0,1.35,N,0.4444444444444444,0,0.4,0,0.3,0
4,4,T.Maxey u34.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Philadelphia 76ers,T.Maxey,Chicago Bulls,1,0.9999999999999996,N,0.4166666666666667,0,0.8,1,0.6,1
5,5,C.White o32.5 Pts+Rebs+Ast,the_degenerates,-109,1.0,1.9174311926605505,Chicago Bulls,C.White,Philadelphia 76ers,0,0.9174311926605504,Y,0.2962962962962963,0,1.0,1,0.8,1
6,6,D.Melton o17.5 Pts+Rebs+Ast,cowhitchurch,-108,0.54,1.04,Philadelphia 76ers,D.Melton,Chicago Bulls,1,0.5,N,0.56,1,0.2,0,0.5,0
7,7,D.Melton o17.5 Pts+Rebs+Ast,SBK5065,-111,0.56,1.0645045045045047,Philadelphia 76ers,D.Melton,Chicago Bulls,1,0.5045045045045047,N,0.56,1,0.2,0,0.5,0
8,8,J.Harden o16.5 Pts,gneiffer07,-122,1.0,1.819672131147541,Los Angeles Clippers,J.Harden,Indiana Pacers,0,0.819672131147541,Y,0.45,0,0.4,0,0.6,1
9,9,K.Leonard o27.8 Pts,gneiffer07,-102,1.0,1.9803921568627447,Los Angeles Clippers,K.Leonard,Indiana Pacers,0,0.9803921568627452,Y,0.28,0,0.8,1,0.6,1
10,10,P.George o24.5 Pts,ParlayBanditz,-110,0.45,0.8590909090909091,Los Angeles Clippers,P.George,Indiana Pacers,0,0.4090909090909091,Y,0.5,0,0.4,0,0.4,0
11,11,B.Hield u14.5 Pts,SBK5065,-120,0.5,0.9166666666666669,Indiana Pacers,B.Hield,Los Angeles Clippers,1,0.4166666666666667,Y,0.68,1,0.8,1,0.8,1
12,12,J.Harden o25.5 Pts+Ast,the_degenerates,-108,1.0,1.925925925925926,Los Angeles Clippers,J.Harden,Indiana Pacers,0,0.925925925925926,Y,0.3,0,0.4,0,0.5,0
13,13,J.Harden o8.5 Ast,JoeDellera,-105,0.95,1.8547619047619048,Los Angeles Clippers,J.Harden,Indiana Pacers,0,0.9047619047619048,Y,0.35,0,0.4,0,0.4,0
14,14,D.Mitchell u30.5 Pts,gneiffer07,-115,1.15,2.1499999999999995,Cleveland Cavaliers,D.Mitchell,Houston Rockets,1,0.9999999999999996,N,0.6666666666666666,1,0.8,1,0.7,1
15,15,A.Sengun o17.5 Pts,GoldBoys,-105,0.95,1.8547619047619048,Houston Rockets,A.Sengun,Cleveland Cavaliers,0,0.9047619047619048,Y,0.6521739130434783,1,0.2,0,0.6,1
16,16,J.McDaniels o8.5 Pts,SBK5065,-120,0.5,0.9166666666666669,Minnesota Timberwolves,J.McDaniels,Miami Heat,0,0.4166666666666667,Y,0.6428571428571429,1,0.6,1,0.7,1
17,17,B.Adebayo u19.5 Pts,SBK5065,-122,0.61,1.11,Miami Heat,B.Adebayo,Minnesota Timberwolves,1,0.5000000000000001,N,0.1875,0,0.2,0,0.1,0
18,18,B.Adebayo u19.5 Pts,PropBetGuy,-118,1.18,2.18,Miami Heat,B.Adebayo,Minnesota Timberwolves,1,0.9999999999999998,N,0.1875,0,0.2,0,0.1,0
19,19,C.Holmgren o2.5 Blk,cowhitchurch,-120,1.0,1.8333333333333333,Oklahoma City Thunder,C.Holmgren,Memphis Grizzlies,1,0.8333333333333335,Y,0.4583333333333333,0,0.8,1,0.7,1
20,20,C.Holmgren o2.5 Blk,JoeDellera,-120,0.83,1.5216666666666667,Oklahoma City Thunder,C.Holmgren,Memphis Grizzlies,1,0.6916666666666668,Y,0.4583333333333333,0,0.8,1,0.7,1
21,21,D.Exum o8.5 Pts,SBK5065,-125,1.0,1.8,Dallas Mavericks,D.Exum,Denver Nuggets,0,0.8,Y,0.3181818181818182,0,1.0,1,0.6,1
22,22,D.Exum u13.5 Pts,SBK5065,-105,1.0,1.9523809523809523,Dallas Mavericks,D.Exum,Denver Nuggets,0,0.9523809523809524,Y,0.7727272727272727,1,0.0,0,0.5,0
