,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,B.Lopez o2.5 Blk,SBK5065,-105,0.5,0.9761904761904762,Milwaukee Bucks,B.Lopez,Indiana Pacers,1,0.4761904761904761,Y,0.5652173913043478,1,0.8,1,0.7,1
1,1,M.Turner o28.5 Pts+Rebs+Ast,the_degenerates,-122,1.0,1.819672131147541,Indiana Pacers,M.Turner,Milwaukee Bucks,0,0.819672131147541,Y,0.3181818181818182,0,0.4,0,0.3,0
2,2,D.Lillard o26.5 Pts,Noto,-145,2.9,4.9,Milwaukee Bucks,D.Lillard,Indiana Pacers,1,2.0000000000000004,N,0.5238095238095238,1,0.2,0,0.5,0
3,3,D.Lillard o26.5 Pts,JayMoneyIsMoney23,-112,0.56,1.06,Milwaukee Bucks,D.Lillard,Indiana Pacers,1,0.5,N,0.5238095238095238,1,0.2,0,0.5,0
4,4,M.Turner o19.5 Pts,JoeDellera,110,1.1,2.3100000000000005,Indiana Pacers,M.Turner,Milwaukee Bucks,0,1.2100000000000004,Y,0.4090909090909091,0,0.4,0,0.3,0
5,5,V.Wembanyama o11.5 Rebs,kylemurray03,-130,0.77,1.3623076923076922,San Antonio Spurs,V.Wembanyama,Los Angeles Lakers,1,0.5923076923076922,Y,0.3333333333333333,0,0.6,1,0.5,0
6,6,B.Biyombo u6.5 Rebs,SBK5065,-129,0.5,0.8875968992248062,Memphis Grizzlies,B.Biyombo,Houston Rockets,0,0.3875968992248062,Y,0.5882352941176471,1,0.8,1,0.9,1
7,7,A.Sengun u10.5 Rebs,SBK5065,-120,0.83,1.5216666666666667,Houston Rockets,A.Sengun,Memphis Grizzlies,1,0.6916666666666668,Y,0.8,1,0.8,1,0.7,1
8,8,J.Smith o12.5 Pts,JoeDellera,100,1.0,2.0,Houston Rockets,J.Smith,Memphis Grizzlies,1,1.0,Y,0.55,1,0.2,0,0.6,1
9,9,J.Nurkic o2.5 Ast,JoeDellera,-165,0.5,0.803030303030303,Phoenix Suns,J.Nurkic,Brooklyn Nets,1,0.303030303030303,Y,0.7391304347826086,1,0.8,1,0.7,1
10,10,M.Bridges o24.5 Pts,GoldBoys,105,1.0,2.05,Charlotte Hornets,M.Bridges,Miami Heat,0,1.0499999999999998,N,0.0909090909090909,0,0.0,0,0.1,0
11,12,J.Valanciunas o16.5 Pts,JoeDellera,-105,1.0,1.9523809523809523,New Orleans Pelicans,J.Valanciunas,Washington Wizards,0,0.9523809523809524,N,0.45,0,0.4,0,0.7,1
12,13,J.Valanciunas o19.5 Pts,JoeDellera,200,0.25,0.75,New Orleans Pelicans,J.Valanciunas,Washington Wizards,0,0.5,N,0.2916666666666667,0,0.4,0,0.3,0
13,14,B.Ingram o29.5 Pts+Ast,kylemurray03,-118,0.85,1.5703389830508474,New Orleans Pelicans,B.Ingram,Washington Wizards,0,0.7203389830508474,Y,0.1666666666666666,0,0.2,0,0.1,0
14,15,T.Young u41.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Atlanta Hawks,T.Young,Toronto Raptors,0,0.9999999999999996,N,0.4285714285714285,0,0.2,0,0.4,0
15,16,S.Bey u15.5 Pts,SBK5065,-120,1.0,1.8333333333333333,Atlanta Hawks,S.Bey,Toronto Raptors,0,0.8333333333333335,Y,0.65,1,0.6,1,0.4,0
16,17,S.Barnes o14.5 Rebs+Ast,JoeDellera,-122,0.82,1.4921311475409835,Toronto Raptors,S.Barnes,Atlanta Hawks,1,0.6721311475409836,Y,0.6818181818181818,1,0.2,0,0.6,1
17,18,J.Jaquez u4.5 Rebs,SBK5065,-130,1.0,1.7692307692307692,Miami Heat,J.Jaquez,Charlotte Hornets,1,0.7692307692307692,N,0.5217391304347826,1,0.4,0,0.5,0
18,19,O.Robinson o9.5 Pts,PropBomb,-120,1.2,2.2,Miami Heat,O.Robinson,Charlotte Hornets,1,1.0000000000000002,N,0.6956521739130435,1,0.8,1,0.6,1
19,20,D.DiVincenzo u11.5 Pts+Ast,SBK5065,-113,0.57,1.074424778761062,New York Knicks,D.DiVincenzo,Utah Jazz,0,0.504424778761062,N,0.4444444444444444,0,0.4,0,0.4444444444444444,0
20,21,J.Randle o9.5 Rebs,JoeDellera,-121,0.41,0.7488429752066115,New York Knicks,J.Randle,Utah Jazz,0,0.3388429752066115,Y,0.6363636363636364,1,0.6,1,0.6,1
21,22,K.Hayes u10.5 Pts,SBK5065,-130,0.77,1.3623076923076922,Detroit Pistons,K.Hayes,Philadelphia 76ers,1,0.5923076923076922,Y,0.5454545454545454,1,0.4,0,0.4,0
