,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Brunson o4.5 Ast,HPBasketball,-115,0.58,1.0843478260869563,New York Knicks,J.Brunson,Milwaukee Bucks,0,0.5043478260869564,N,0.6,1,0.6,1,0.6,1
1,B.Lopez o4.5 Rebs,kylemurray03,-115,0.87,1.6265217391304347,Milwaukee Bucks,B.Lopez,New York Knicks,1,0.7565217391304347,Y,0.25,0,0.25,0,0.25,0
2,J.Randle o27.5 Pts+Rebs,kylemurray03,-130,0.77,1.3623076923076922,New York Knicks,J.Randle,Milwaukee Bucks,0,0.5923076923076922,Y,0.4,0,0.4,0,0.4,0
3,J.Brunson o29.5 Pts+Ast,kylemurray03,-127,0.79,1.4120472440944882,New York Knicks,J.Brunson,Milwaukee Bucks,0,0.6220472440944882,Y,0.2,0,0.2,0,0.2,0
4,J.Brunson o7.5 Rebs+Ast,Noto,-172,1.0,1.5813953488372094,New York Knicks,J.Brunson,Milwaukee Bucks,0,0.5813953488372094,Y,0.8,1,0.8,1,0.8,1
5,J.Brunson o4.5 Ast,JoeDellera,-115,1.0,1.869565217391304,New York Knicks,J.Brunson,Milwaukee Bucks,0,0.8695652173913042,N,0.6,1,0.6,1,0.6,1
6,J.Jackson o1.5 Ast,SBK5065,-131,0.76,1.340152671755725,Memphis Grizzlies,J.Jackson,Portland Trail Blazers,0,0.580152671755725,Y,1.0,1,1.0,1,1.0,1
7,D.Bane o4.5 Ast,Noto,100,1.0,2.0,Memphis Grizzlies,D.Bane,Portland Trail Blazers,0,1.0,Y,0.4,0,0.4,0,0.4,0
8,T.Herro o23.5 Pts,the_degenerates,-120,1.0,1.8333333333333333,Miami Heat,T.Herro,Washington Wizards,1,0.8333333333333335,Y,0.6,1,0.6,1,0.6,1
9,D.Robinson u1.5 Ast,SBK5065,-125,1.0,1.8,Miami Heat,D.Robinson,Washington Wizards,1,0.8,N,0.8,1,0.8,1,0.8,1
10,J.Butler o19.5 Pts,kylemurray03,-125,0.8,1.4400000000000002,Miami Heat,J.Butler,Washington Wizards,1,0.6400000000000001,Y,0.25,0,0.25,0,0.25,0
11,J.Poole o18.5 Pts,SBK5065,-120,0.6,1.1,Washington Wizards,J.Poole,Miami Heat,0,0.5000000000000001,Y,0.25,0,0.25,0,0.25,0
12,L.Walker o7.5 Pts,SBK5065,-115,1.0,1.869565217391304,Brooklyn Nets,L.Walker,Chicago Bulls,0,0.8695652173913042,Y,1.0,1,1.0,1,1.0,1
13,N.Vucevic o31.5 Pts+Rebs,the_degenerates,-105,1.05,2.05,Chicago Bulls,N.Vucevic,Brooklyn Nets,1,0.9999999999999998,N,0.4,0,0.4,0,0.4,0
14,N.Vucevic u12.5 Rebs,SBK5065,-105,0.84,1.64,Chicago Bulls,N.Vucevic,Brooklyn Nets,1,0.7999999999999999,N,0.6,1,0.6,1,0.6,1
15,D.DeRozan u5.5 Ast,SBK5065,-135,0.74,1.288148148148148,Chicago Bulls,D.DeRozan,Brooklyn Nets,1,0.548148148148148,Y,0.8,1,0.8,1,0.8,1
16,Z.LaVine u25.5 Pts,PropBetGuy,-110,1.0,1.9090909090909087,Chicago Bulls,Z.LaVine,Brooklyn Nets,1,0.9090909090909092,Y,0.8,1,0.8,1,0.8,1
17,L.Doncic o7.5 Ast,kylemurray03,-120,0.83,1.5216666666666667,Dallas Mavericks,L.Doncic,Denver Nuggets,0,0.6916666666666668,Y,0.75,1,0.75,1,0.75,1
18,N.Jokic o16.5 Rebs,JoeDellera,550,0.25,1.625,Denver Nuggets,N.Jokic,Dallas Mavericks,1,1.375,N,0.0,0,0.0,0,0.0,0
19,N.Jokic o11.5 Rebs,JoeDellera,-120,1.0,1.8333333333333333,Denver Nuggets,N.Jokic,Dallas Mavericks,1,0.8333333333333335,Y,0.6,1,0.6,1,0.6,1
20,E.Mobley o12.5 Rebs+Ast,Noto,-110,1.0,1.9090909090909087,Cleveland Cavaliers,E.Mobley,Indiana Pacers,0,0.9090909090909092,Y,0.8,1,0.8,1,0.8,1
