,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Jones o7.5 Pts,MikeRandle,-130,0.77,1.3623076923076922,San Antonio Spurs,T.Jones,Phoenix Suns,0,0.5923076923076922,Y,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
1,J.Okogie o4.5 Rebs,kylemurray03,-119,1.0,1.8403361344537816,Phoenix Suns,J.Okogie,San Antonio Spurs,1,0.8403361344537816,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
2,J.Goodwin o13.5 Pts+Rebs,kylemurray03,-110,1.0,1.9090909090909087,Phoenix Suns,J.Goodwin,San Antonio Spurs,1,0.9090909090909092,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
3,E.Gordon o2.5 Ast,SBK5065,-130,0.5,0.8846153846153846,Phoenix Suns,E.Gordon,San Antonio Spurs,1,0.3846153846153846,Y,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
4,D.Vassell o17.5 Pts,the_degenerates,-109,1.0,1.9174311926605505,San Antonio Spurs,D.Vassell,Phoenix Suns,0,0.9174311926605504,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
5,T.Jones o16.5 Pts+Rebs+Ast,JoeDellera,-110,1.0,1.9090909090909087,San Antonio Spurs,T.Jones,Phoenix Suns,0,0.9090909090909092,N,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
6,E.Gordon o15.5 Pts,PropBetGuy,-120,1.0,1.8333333333333333,Phoenix Suns,E.Gordon,San Antonio Spurs,1,0.8333333333333335,Y,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
7,E.Mobley u31.5 Pts+Rebs+Ast,PropBetGuy,-105,1.0,1.9523809523809523,Cleveland Cavaliers,E.Mobley,New York Knicks,1,0.9523809523809524,Y,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
8,J.Randle o8.5 Rebs,GreenDotDaily,-145,0.69,1.1658620689655173,New York Knicks,J.Randle,Cleveland Cavaliers,0,0.4758620689655173,Y,1.0,1,1.0,1,1.0,1
9,J.Randle o8.5 Rebs,JoeDellera,-140,0.71,1.217142857142857,New York Knicks,J.Randle,Cleveland Cavaliers,0,0.5071428571428571,Y,1.0,1,1.0,1,1.0,1
10,J.Brunson o22.5 Pts,Bettingyoda,-115,1.0,1.869565217391304,New York Knicks,J.Brunson,Cleveland Cavaliers,0,0.8695652173913042,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
11,J.Hart o6.5 Pts,Bettingyoda,-115,1.0,1.869565217391304,New York Knicks,J.Hart,Cleveland Cavaliers,0,0.8695652173913042,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
12,J.Brunson o21.5 Pts,JoeDellera,-120,1.0,1.8333333333333333,New York Knicks,J.Brunson,Cleveland Cavaliers,0,0.8333333333333335,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
13,J.Suggs o14.5 Pts,charliedisturco,500,0.2,1.2000000000000002,Orlando Magic,J.Suggs,Los Angeles Clippers,0,1.0000000000000002,N,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
14,J.Suggs o9.5 Pts,charliedisturco,-115,0.5,0.934782608695652,Orlando Magic,J.Suggs,Los Angeles Clippers,0,0.4347826086956521,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
