,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,M.Conley u14.5 Pts,SBK5065,-132,0.76,1.3357575757575757,Minnesota Timberwolves,M.Conley,Indiana Pacers,1,0.5757575757575757,Y,0.782608695652174,1,0.4,0,0.6,1
1,1,M.Conley u7.5 Ast,kylemurray03,-140,1.0,1.7142857142857144,Minnesota Timberwolves,M.Conley,Indiana Pacers,1,0.7142857142857144,N,0.6956521739130435,1,0.8,1,0.5,0
2,2,M.Porter o15.5 Pts,SBK5065,-115,0.5,0.934782608695652,Denver Nuggets,M.Porter,Oklahoma City Thunder,1,0.4347826086956521,Y,0.5769230769230769,1,0.6,1,0.6,1
3,3,N.Jokic o12.5 Rebs,JoeDellera,-130,1.3,2.3,Denver Nuggets,N.Jokic,Oklahoma City Thunder,1,0.9999999999999998,N,0.6,1,0.6,1,0.5,0
4,4,T.Young u32.5 Pts,kylemurray03,-120,1.0,1.8333333333333333,Atlanta Hawks,T.Young,Cleveland Cavaliers,0,0.8333333333333335,N,0.6818181818181818,1,0.6,1,0.5,0
5,5,J.Jaquez o14.5 Pts,PropBetGuy,-115,1.0,1.869565217391304,Miami Heat,J.Jaquez,Chicago Bulls,1,0.8695652173913042,Y,0.44,0,0.8,1,0.7,1
6,6,C.White o28.5 Pts+Ast,GoldBoys,-105,1.05,2.05,Chicago Bulls,C.White,Miami Heat,0,0.9999999999999998,N,0.2307692307692307,0,0.8,1,0.6,1
7,7,J.Grant o15.5 Pts,SBK5065,100,1.5,3.0,Portland Trail Blazers,J.Grant,Dallas Mavericks,1,1.5,Y,0.7368421052631579,1,0.6,1,0.7,1
8,8,J.Grant u19.5 Pts,SBK5065,-106,2.0,3.8867924528301887,Portland Trail Blazers,J.Grant,Dallas Mavericks,1,1.8867924528301887,N,0.3684210526315789,0,0.4,0,0.4,0
9,9,C.Cunningham o30.5 Pts+Rebs+Ast,JoeDellera,-105,0.95,1.8547619047619048,Detroit Pistons,C.Cunningham,Milwaukee Bucks,0,0.9047619047619048,Y,0.6,1,0.4,0,0.6,1
10,10,J.Embiid u35.5 Pts,SBK5065,-120,0.6,1.1,Philadelphia 76ers,J.Embiid,Charlotte Hornets,0,0.5000000000000001,N,0.7142857142857143,1,0.4,0,0.7,1
