,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Prince u11.5 Pts+Rebs,PropBetGuy,-115,1.15,2.1499999999999995,Los Angeles Lakers,T.Prince,Sacramento Kings,0,0.9999999999999996,N,0.5,0,0.5,0,0.5,0
1,L.James u6.5 Ast,The_Oddsmaker,-115,1.15,2.1499999999999995,Los Angeles Lakers,L.James,Sacramento Kings,0,0.9999999999999996,N,0.5,0,0.5,0,0.5,0
2,D.Sabonis o6.5 Ast,The_Oddsmaker,-105,1.05,2.05,Sacramento Kings,D.Sabonis,Los Angeles Lakers,1,0.9999999999999998,N,0.5,0,0.5,0,0.5,0
3,A.Davis o23.5 Pts,OldManWhoBets,-122,0.41,0.7460655737704918,Los Angeles Lakers,A.Davis,Sacramento Kings,0,0.3360655737704918,Y,0.5,0,0.5,0,0.5,0
4,G.Vincent o7.5 Pts,OldManWhoBets,-110,0.5,0.9545454545454546,Los Angeles Lakers,G.Vincent,Sacramento Kings,0,0.4545454545454546,N,0.0,0,0.0,0,0.0,0
5,D.Russell o14.5 Pts,OldManWhoBets,-110,0.45,0.8590909090909091,Los Angeles Lakers,D.Russell,Sacramento Kings,0,0.4090909090909091,Y,0.0,0,0.0,0,0.0,0
6,G.Vincent o6.5 Pts,JoeDellera,-113,0.5,0.9424778761061948,Los Angeles Lakers,G.Vincent,Sacramento Kings,0,0.4424778761061947,N,0.5,0,0.5,0,0.5,0
7,C.Paul o6.5 Ast,SBK5065,-110,0.5,0.9545454545454546,Golden State Warriors,C.Paul,Houston Rockets,0,0.4545454545454546,Y,1.0,1,1.0,1,1.0,1
8,C.Paul o6.5 Ast,JoeDellera,-114,0.44,0.8259649122807018,Golden State Warriors,C.Paul,Houston Rockets,0,0.3859649122807018,Y,1.0,1,1.0,1,1.0,1
9,C.Paul o6.5 Ast,PropBetGuy,-114,1.0,1.8771929824561404,Golden State Warriors,C.Paul,Houston Rockets,0,0.8771929824561404,Y,1.0,1,1.0,1,1.0,1
10,C.Paul o10.5 Pts,OldManWhoBets,-120,0.5,0.9166666666666669,Golden State Warriors,C.Paul,Houston Rockets,0,0.4166666666666667,N,0.5,0,0.5,0,0.5,0
11,S.Curry o30.5 Pts,OldManWhoBets,100,0.5,1.0,Golden State Warriors,S.Curry,Houston Rockets,0,0.5,N,0.5,0,0.5,0,0.5,0
12,C.Paul o9.5 Ast,JoeDellera,500,0.1,0.6000000000000001,Golden State Warriors,C.Paul,Houston Rockets,0,0.5000000000000001,N,0.5,0,0.5,0,0.5,0
13,J.Embiid o29.5 Pts,SBK5065,-110,0.5,0.9545454545454546,Philadelphia 76ers,J.Embiid,Portland Trail Blazers,1,0.4545454545454546,Y,0.5,0,0.5,0,0.5,0
14,J.Embiid o29.5 Pts,JoeDellera,-110,0.91,1.7372727272727273,Philadelphia 76ers,J.Embiid,Portland Trail Blazers,1,0.8272727272727273,Y,0.5,0,0.5,0,0.5,0
15,S.Sharpe o24.5 Pts+Rebs,PropBetGuy,-105,1.0,1.9523809523809523,Portland Trail Blazers,S.Sharpe,Philadelphia 76ers,0,0.9523809523809524,Y,0.5,0,0.5,0,0.5,0
16,S.Sharpe o29.5 Pts,JoeDellera,900,0.25,2.5,Portland Trail Blazers,S.Sharpe,Philadelphia 76ers,0,2.25,N,0.0,0,0.0,0,0.0,0
17,S.Sharpe o24.5 Pts,JoeDellera,275,0.25,0.9375,Portland Trail Blazers,S.Sharpe,Philadelphia 76ers,0,0.6875,N,0.0,0,0.0,0,0.0,0
18,N.Jokic o12.5 Rebs,JoeDellera,-105,0.95,1.8547619047619048,Denver Nuggets,N.Jokic,Oklahoma City Thunder,0,0.9047619047619048,Y,0.5,0,0.5,0,0.5,0
19,V.Wembanyama o6.5 Rebs,SportsBookBreakers,-110,1.0,1.9090909090909087,San Antonio Spurs,V.Wembanyama,Los Angeles Clippers,0,0.9090909090909092,N,0.5,0,0.5,0,0.5,0
20,Z.Collins o6.5 Rebs,kylemurray03,-130,1.0,1.7692307692307692,San Antonio Spurs,Z.Collins,Los Angeles Clippers,0,0.7692307692307692,N,0.0,0,0.0,0,0.0,0
21,J.Johnson o20.5 Pts+Rebs+Ast,SBK5065,100,0.75,1.5,Atlanta Hawks,J.Johnson,Milwaukee Bucks,0,0.75,Y,1.0,1,1.0,1,1.0,1
