,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,N.Batum o5.5 Pts,SBK5065,-120,0.5,0.9166666666666669,Philadelphia 76ers,N.Batum,Indiana Pacers,1,0.4166666666666667,Y,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
1,M.Turner u7.5 Rebs,PropBomb,-118,1.0,1.847457627118644,Indiana Pacers,M.Turner,Philadelphia 76ers,0,0.847457627118644,Y,0.4444444444444444,0,0.6,1,0.4444444444444444,0
2,D.Melton o1.5 Stl+Blk,SBK5065,-125,0.63,1.134,Philadelphia 76ers,D.Melton,Indiana Pacers,1,0.5040000000000001,N,1.0,1,1.0,1,1.0,1
3,T.Maxey o31.5 Pts+Ast,the_degenerates,-120,1.0,1.8333333333333333,Philadelphia 76ers,T.Maxey,Indiana Pacers,1,0.8333333333333335,Y,0.75,1,0.8,1,0.75,1
4,N.Claxton o15.5 Pts+Rebs,JoeDellera,100,1.0,2.0,Brooklyn Nets,N.Claxton,Washington Wizards,1,1.0,Y,0.0,0,0.0,0,0.0,0
5,N.Claxton o15.5 Pts+Rebs,SBK5065,100,0.5,1.0,Brooklyn Nets,N.Claxton,Washington Wizards,1,0.5,Y,0.0,0,0.0,0,0.0,0
6,N.Claxton o7.5 Pts,SBK5065,-134,0.81,1.4144776119402986,Brooklyn Nets,N.Claxton,Washington Wizards,1,0.6044776119402986,Y,0.0,0,0.0,0,0.0,0
7,N.Claxton o9.5 Pts,SBK5065,160,0.4,1.04,Brooklyn Nets,N.Claxton,Washington Wizards,1,0.64,Y,0.0,0,0.0,0,0.0,0
8,J.Poole o19.5 Pts+Rebs,Bettingyoda,-130,1.0,1.7692307692307692,Washington Wizards,J.Poole,Brooklyn Nets,0,0.7692307692307692,N,0.5,0,0.4,0,0.5,0
9,R.Barrett o18.5 Pts,PropBetGuy,-120,1.0,1.8333333333333333,New York Knicks,R.Barrett,Charlotte Hornets,1,0.8333333333333335,Y,0.6666666666666666,1,0.6,1,0.6666666666666666,1
10,M.Robinson o19.5 Pts+Rebs+Ast,JoeDellera,-120,1.0,1.8333333333333333,New York Knicks,M.Robinson,Charlotte Hornets,1,0.8333333333333335,N,0.5,0,0.4,0,0.5,0
11,M.Williams u12.5 Pts,PropBomb,-121,1.0,1.8264462809917357,Charlotte Hornets,M.Williams,New York Knicks,0,0.8264462809917354,Y,0.375,0,0.4,0,0.375,0
12,B.Adebayo o1.5 Stl+Blk,SBK5065,-165,0.5,0.803030303030303,Miami Heat,B.Adebayo,San Antonio Spurs,0,0.303030303030303,Y,1.0,1,1.0,1,1.0,1
13,R.Gobert o19.5 Rebs,JoeDellera,1500,0.1,1.6,Minnesota Timberwolves,R.Gobert,Golden State Warriors,0,1.5,N,0.0,0,0.0,0,0.0,0
14,R.Gobert o16.5 Rebs,JoeDellera,550,0.1,0.65,Minnesota Timberwolves,R.Gobert,Golden State Warriors,0,0.55,N,0.0,0,0.0,0,0.0,0
15,R.Gobert o11.5 Rebs,SBK5065,-123,1.0,1.8130081300813008,Minnesota Timberwolves,R.Gobert,Golden State Warriors,0,0.8130081300813008,N,0.625,1,0.4,0,0.625,1
16,R.Gobert o11.5 Rebs,JoeDellera,-125,1.5,2.7,Minnesota Timberwolves,R.Gobert,Golden State Warriors,0,1.2000000000000002,N,0.625,1,0.4,0,0.625,1
17,R.Gobert o14.5 Rebs,JoeDellera,275,0.5,1.875,Minnesota Timberwolves,R.Gobert,Golden State Warriors,0,1.375,N,0.0,0,0.0,0,0.0,0
18,A.Davis u14.5 Rebs,SBK5065,-128,0.6,1.06875,Los Angeles Lakers,A.Davis,Portland Trail Blazers,1,0.4687499999999999,Y,0.75,1,0.8,1,0.75,1
19,A.Thompson u13.5 Pts,SBK5065,-125,0.5,0.9,Detroit Pistons,A.Thompson,Chicago Bulls,0,0.4,Y,0.5,0,0.2,0,0.5,0
20,A.Thompson u13.5 Pts,PropBomb,-122,1.0,1.819672131147541,Detroit Pistons,A.Thompson,Chicago Bulls,0,0.819672131147541,Y,0.5,0,0.2,0,0.5,0
21,L.Doncic o29.5 Pts,SportsBookBreakers,-125,0.8,1.4400000000000002,Dallas Mavericks,L.Doncic,New Orleans Pelicans,0,0.6400000000000001,Y,0.6666666666666666,1,0.4,0,0.6666666666666666,1
22,M.Smart u5.5 Ast,SBK5065,-110,1.1,2.1,Memphis Grizzlies,M.Smart,Los Angeles Clippers,0,1.0,N,0.5555555555555556,1,0.6,1,0.5555555555555556,1
