,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,K.Porzingis o16.5 Pts,JoeDellera,-105,0.95,1.8547619047619048,Boston Celtics,K.Porzingis,New York Knicks,1,0.9047619047619048,Y,0.6666666666666666,1,0.6,1,0.7,1
1,1,J.Tatum o25.5 Pts,cowhitchurch,-140,1.4,2.4,Boston Celtics,J.Tatum,New York Knicks,1,1.0,N,0.6,1,0.6,1,0.5,0
2,2,J.Tatum o25.5 Pts,JoeDellera,-135,1.0,1.7407407407407407,Boston Celtics,J.Tatum,New York Knicks,1,0.7407407407407407,N,0.6,1,0.6,1,0.5,0
3,3,C.Holmgren o24.5 Pts+Rebs,cowhitchurch,-123,0.5,0.9065040650406504,Oklahoma City Thunder,C.Holmgren,Golden State Warriors,1,0.4065040650406504,Y,0.35,0,0.2,0,0.3,0
4,4,C.Holmgren o24.5 Pts+Rebs,JoeDellera,-120,0.83,1.5216666666666667,Oklahoma City Thunder,C.Holmgren,Golden State Warriors,1,0.6916666666666668,Y,0.35,0,0.2,0,0.3,0
5,5,C.White o29.5 Pts+Rebs+Ast,the_degenerates,-118,1.0,1.847457627118644,Chicago Bulls,C.White,San Antonio Spurs,0,0.847457627118644,Y,0.2272727272727272,0,0.8,1,0.4,0
6,6,C.White o29.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,Chicago Bulls,C.White,San Antonio Spurs,0,0.819672131147541,Y,0.2272727272727272,0,0.8,1,0.4,0
7,7,A.Caruso o12.5 Pts+Ast,kylemurray03,-125,1.0,1.8,Chicago Bulls,A.Caruso,San Antonio Spurs,0,0.8,N,0.5263157894736842,1,0.4,0,0.7,1
8,8,T.Maxey u26.5 Pts,PropBetGuy,-120,1.2,2.2,Philadelphia 76ers,T.Maxey,Atlanta Hawks,1,1.0000000000000002,N,0.5263157894736842,1,0.4,0,0.5,0
9,9,T.Maxey o25.5 Pts,kylemurray03,-120,0.83,1.5216666666666667,Philadelphia 76ers,T.Maxey,Atlanta Hawks,1,0.6916666666666668,Y,0.5789473684210527,1,0.8,1,0.6,1
10,10,P.Siakam o22.5 Pts,GoldBoys,-115,0.87,1.6265217391304347,Toronto Raptors,P.Siakam,Charlotte Hornets,0,0.7565217391304347,Y,0.3333333333333333,0,0.2,0,0.4,0
11,11,S.Barnes u19.5 Pts,PropBetGuy,-120,1.2,2.2,Toronto Raptors,S.Barnes,Charlotte Hornets,0,1.0000000000000002,N,0.5238095238095238,1,0.6,1,0.7,1
12,12,D.Schroder o21.5 Pts+Ast,kylemurray03,-113,1.0,1.8849557522123888,Toronto Raptors,D.Schroder,Charlotte Hornets,0,0.8849557522123894,N,0.5714285714285714,1,0.2,0,0.6,1
13,13,D.Garland o6.5 Ast,cowhitchurch,-130,1.3,2.3,Cleveland Cavaliers,D.Garland,Miami Heat,0,0.9999999999999998,N,0.4375,0,0.8,1,0.5,0
14,14,D.Garland o6.5 Ast,PropBomb,-130,1.3,2.3,Cleveland Cavaliers,D.Garland,Miami Heat,0,0.9999999999999998,N,0.4375,0,0.8,1,0.5,0
15,15,J.Jackson o2.5 Stl+Blk,kylemurray03,-125,1.0,1.8,Memphis Grizzlies,J.Jackson,Minnesota Timberwolves,1,0.8,N,1.0,1,1.0,1,1.0,1
16,16,D.Fox o35.5 Pts+Ast,the_degenerates,-115,1.0,1.869565217391304,Sacramento Kings,D.Fox,Phoenix Suns,0,0.8695652173913042,Y,0.5714285714285714,1,0.8,1,0.6,1
17,17,D.Sabonis u38.5 Pts+Rebs+Ast,cowhitchurch,-118,1.0,1.847457627118644,Sacramento Kings,D.Sabonis,Phoenix Suns,0,0.847457627118644,Y,0.4210526315789473,0,0.6,1,0.5,0
18,18,D.Sabonis u38.5 Pts+Rebs+Ast,JoeDellera,-115,0.87,1.6265217391304347,Sacramento Kings,D.Sabonis,Phoenix Suns,0,0.7565217391304347,Y,0.4210526315789473,0,0.6,1,0.5,0
19,19,N.Claxton o2.5 Stl+Blk,cowhitchurch,-142,1.42,2.42,Brooklyn Nets,N.Claxton,Washington Wizards,1,1.0,N,1.0,1,1.0,1,1.0,1
20,20,N.Claxton o2.5 Stl+Blk,JoeDellera,-145,0.75,1.2672413793103448,Brooklyn Nets,N.Claxton,Washington Wizards,1,0.5172413793103448,N,1.0,1,1.0,1,1.0,1
21,21,K.Kuzma o22.5 Pts,kylemurray03,-110,1.0,1.9090909090909087,Washington Wizards,K.Kuzma,Brooklyn Nets,0,0.9090909090909092,N,0.45,0,0.6,1,0.4,0
22,22,N.Jokic o52.5 Pts+Rebs+Ast,the_degenerates,-110,1.1,2.1,Denver Nuggets,N.Jokic,Houston Rockets,1,1.0,N,0.6190476190476191,1,0.6,1,0.6,1
