,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,M.Beasley o3.5 Rebs,SBK5065,118,0.59,1.2861999999999998,Milwaukee Bucks,M.Beasley,Dallas Mavericks,1,0.6961999999999998,Y,0.5,0,0.4,0,0.4,0
1,1,P.Connaughton o5.5 Rebs,cowhitchurch,122,0.5,1.11,Milwaukee Bucks,P.Connaughton,Dallas Mavericks,1,0.6099999999999999,N,0.25,0,0.6,1,0.3,0
2,2,P.Connaughton o4.5 Rebs,cowhitchurch,-140,1.0,1.7142857142857144,Milwaukee Bucks,P.Connaughton,Dallas Mavericks,1,0.7142857142857144,Y,0.3333333333333333,0,0.6,1,0.4,0
3,3,P.Connaughton o4.5 Rebs,JoeDellera,-140,0.71,1.217142857142857,Milwaukee Bucks,P.Connaughton,Dallas Mavericks,1,0.5071428571428571,Y,0.3333333333333333,0,0.6,1,0.4,0
4,4,P.Connaughton o4.5 Rebs,PropBomb,-140,1.0,1.7142857142857144,Milwaukee Bucks,P.Connaughton,Dallas Mavericks,1,0.7142857142857144,Y,0.3333333333333333,0,0.6,1,0.4,0
5,5,K.Irving o5.5 Ast,the_degenerates,-120,1.0,1.8333333333333333,Dallas Mavericks,K.Irving,Milwaukee Bucks,0,0.8333333333333335,Y,0.7777777777777778,1,0.6,1,0.7777777777777778,1
6,6,G.Williams o9.5 Pts,JoeDellera,110,1.1,2.3100000000000005,Dallas Mavericks,G.Williams,Milwaukee Bucks,0,1.2100000000000004,Y,0.6666666666666666,1,0.4,0,0.7,1
7,7,B.Biyombo o17.5 Pts+Rebs,SBK5065,-105,0.71,1.386190476190476,Memphis Grizzlies,B.Biyombo,San Antonio Spurs,0,0.676190476190476,Y,0.6666666666666666,1,0.8,1,0.6666666666666666,1
8,8,B.Biyombo o17.5 Pts+Rebs,PropBetGuy,-110,1.0,1.9090909090909087,Memphis Grizzlies,B.Biyombo,San Antonio Spurs,0,0.9090909090909092,Y,0.6666666666666666,1,0.8,1,0.6666666666666666,1
9,9,C.White o10.5 Pts,SBK5065,-120,0.5,0.9166666666666669,Chicago Bulls,C.White,Miami Heat,1,0.4166666666666667,Y,0.6153846153846154,1,0.6,1,0.6,1
10,10,D.Robinson o21.5 Pts+Rebs+Ast,the_degenerates,-115,1.0,1.869565217391304,Miami Heat,D.Robinson,Chicago Bulls,0,0.8695652173913042,Y,0.3333333333333333,0,0.6,1,0.4,0
11,11,A.Caruso o9.5 Pts,the_degenerates,100,1.0,2.0,Chicago Bulls,A.Caruso,Miami Heat,1,1.0,Y,0.4545454545454545,0,0.8,1,0.5,0
