,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,T.Maxey o29.5 Pts+Ast,PropBetGuy,-119,1.0,1.8403361344537816,Philadelphia 76ers,T.Maxey,Toronto Raptors,0,0.8403361344537816,Y,1.0,1,1.0,1,1.0,1
1,J.Embiid o28.5 Pts,kylemurray03,-125,0.8,1.4400000000000002,Philadelphia 76ers,J.Embiid,Toronto Raptors,0,0.6400000000000001,Y,0.0,0,0.0,0,0.0,0
2,S.Barnes u5.5 Ast,SBK5065,-114,0.5,0.9385964912280702,Toronto Raptors,S.Barnes,Philadelphia 76ers,1,0.4385964912280702,Y,0.5,0,0.5,0,0.5,0
3,D.Schroder o8.5 Rebs+Ast,cowhitchurch,-115,0.5,0.934782608695652,Toronto Raptors,D.Schroder,Philadelphia 76ers,1,0.4347826086956521,Y,1.0,1,1.0,1,1.0,1
4,J.Embiid u39.5 Pts+Rebs,cowhitchurch,-115,0.58,1.0843478260869563,Philadelphia 76ers,J.Embiid,Toronto Raptors,0,0.5043478260869564,N,1.0,1,1.0,1,1.0,1
5,T.Maxey o29.5 Pts+Ast,the_degenerates,-119,1.0,1.8403361344537816,Philadelphia 76ers,T.Maxey,Toronto Raptors,0,0.8403361344537816,Y,1.0,1,1.0,1,1.0,1
6,T.Harris o14.5 Pts,cowhitchurch,-105,0.5,0.9761904761904762,Philadelphia 76ers,T.Harris,Toronto Raptors,0,0.4761904761904761,Y,1.0,1,1.0,1,1.0,1
7,T.Harris o22.5 Pts+Rebs+Ast,GDAWG5000,-120,0.6,1.1,Philadelphia 76ers,T.Harris,Toronto Raptors,0,0.5000000000000001,N,1.0,1,1.0,1,1.0,1
8,T.Harris o19.5 Pts,JoeDellera,360,0.2,0.92,Philadelphia 76ers,T.Harris,Toronto Raptors,0,0.72,N,1.0,1,1.0,1,1.0,1
9,T.Harris o14.5 Pts,JoeDellera,-105,0.95,1.8547619047619048,Philadelphia 76ers,T.Harris,Toronto Raptors,0,0.9047619047619048,Y,1.0,1,1.0,1,1.0,1
10,C.Cunningham o20.5 Pts,kylemurray03,-120,0.83,1.5216666666666667,Detroit Pistons,C.Cunningham,Chicago Bulls,1,0.6916666666666668,Y,0.5,0,0.5,0,0.5,0
11,C.White o19.5 Pts+Ast,cowhitchurch,-110,0.58,1.1072727272727272,Chicago Bulls,C.White,Detroit Pistons,0,0.5272727272727272,N,0.5,0,0.5,0,0.5,0
12,A.Thompson o7.5 Rebs,cowhitchurch,110,1.0,2.1,Detroit Pistons,A.Thompson,Chicago Bulls,1,1.1,Y,0.5,0,0.5,0,0.5,0
13,J.Duren o10.5 Rebs,cowhitchurch,-130,1.0,1.7692307692307692,Detroit Pistons,J.Duren,Chicago Bulls,1,0.7692307692307692,Y,1.0,1,1.0,1,1.0,1
14,J.Randle o7.5 Rebs,cowhitchurch,-125,0.5,0.9,New York Knicks,J.Randle,New Orleans Pelicans,0,0.4,Y,1.0,1,1.0,1,1.0,1
15,J.Randle o7.5 Rebs,SBK5065,-125,0.5,0.9,New York Knicks,J.Randle,New Orleans Pelicans,0,0.4,Y,1.0,1,1.0,1,1.0,1
16,J.Randle o12.5 Rebs,JoeDellera,1025,0.3,3.375,New York Knicks,J.Randle,New Orleans Pelicans,0,3.075,N,0.0,0,0.0,0,0.0,0
