,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
30,30,D.Sabonis o19.5 Rebs+Ast,JoeDellera,-130,1.0,1.7692307692307692,Sacramento Kings,D.Sabonis,New Orleans Pelicans,0,0.7692307692307692,N,0.4615384615384615,0,0.4,0,0.4,0
31,31,G.Allen o3.5 Rebs,SBK5065,-120,0.6,1.1,Phoenix Suns,G.Allen,Golden State Warriors,1,0.5000000000000001,N,0.7142857142857143,1,0.6,1,0.6,1
32,32,G.Allen o5.5 Rebs,SBK5065,300,0.13,0.52,Phoenix Suns,G.Allen,Golden State Warriors,1,0.39,N,0.4285714285714285,0,0.4,0,0.4,0
33,33,C.Paul u12.5 Pts,SBK5065,-130,0.77,1.3623076923076922,Golden State Warriors,C.Paul,Phoenix Suns,0,0.5923076923076922,Y,0.6,1,0.4,0,0.6,1
34,34,T.Prince o0.5 Stl,SBK5065,-110,0.55,1.05,Los Angeles Lakers,T.Prince,Dallas Mavericks,1,0.5,N,0.4615384615384615,0,0.6,1,0.5,0
35,35,C.LeVert o11.5 Pts,SBK5065,-106,0.5,0.9716981132075472,Cleveland Cavaliers,C.LeVert,Miami Heat,1,0.4716981132075472,Y,0.7272727272727273,1,0.8,1,0.8,1
36,36,D.Robinson o20.5 Pts+Rebs+Ast,the_degenerates,-105,1.05,2.05,Miami Heat,D.Robinson,Cleveland Cavaliers,0,0.9999999999999998,N,0.4285714285714285,0,1.0,1,0.6,1
37,38,P.Banchero u31.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,Orlando Magic,P.Banchero,Denver Nuggets,1,0.819672131147541,Y,0.3846153846153846,0,0.4,0,0.3,0
38,39,S.Barnes o31.5 Pts+Rebs+Ast,the_degenerates,-120,1.0,1.8333333333333333,Toronto Raptors,S.Barnes,Indiana Pacers,0,0.8333333333333335,Y,0.6428571428571429,1,0.8,1,0.5,0
39,40,S.Barnes o12.5 Rebs+Ast,kylemurray03,-125,0.8,1.4400000000000002,Toronto Raptors,S.Barnes,Indiana Pacers,0,0.6400000000000001,Y,0.7142857142857143,1,0.6,1,0.7,1
40,41,K.George o16.5 Pts+Ast,PropBetGuy,-115,1.0,1.869565217391304,Utah Jazz,K.George,Portland Trail Blazers,0,0.8695652173913042,Y,0.7857142857142857,1,0.6,1,0.7,1
41,42,V.Wembanyama u18.5 Pts,PropBetGuy,-115,1.15,2.1499999999999995,San Antonio Spurs,V.Wembanyama,Los Angeles Clippers,1,0.9999999999999996,N,0.3571428571428571,0,0.8,1,0.4,0
