,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,D.Daniels o19.5 Pts+Rebs+Ast,Rotowire Sleeper,Atlanta Hawks,Milwaukee Bucks,0.0,0.625,1,0.6,1,0.5,0,100,1.5,3.0,1.5,D.Daniels,Y,24.0
1,D.Daniels o16.5 Pts+Rebs,Rotowire Sleeper,Atlanta Hawks,Milwaukee Bucks,0.0,0.5833333333333334,1,0.4,0,0.4,0,100,1.5,3.0,1.5,D.Daniels,Y,19.0
2,D.Lillard o4.5 Rebs,Rotowire Prizepicks,Milwaukee Bucks,Atlanta Hawks,1.0,0.3809523809523809,0,0.4,0,0.5,0,100,1.5,3.0,1.5,D.Lillard,Y,6.0
3,D.Daniels o8.5 Rebs+Ast,Rotowire Prizepicks,Atlanta Hawks,Milwaukee Bucks,0.0,0.5,0,0.6,1,0.6,1,100,1.5,3.0,1.5,D.Daniels,Y,13.0
4,T.Eason o9.5 Pts+Ast,Rotowire Sleeper,Houston Rockets,Oklahoma City Thunder,0.0,0.6521739130434783,1,0.6,1,0.6,1,100,1.5,3.0,1.5,T.Eason,Y,12.0
5,I.Hartenstein o21.5 Pts+Rebs,CeeJPicks,Oklahoma City Thunder,Houston Rockets,1.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1,-125,1.25,2.25,1.0,I.Hartenstein,Y,29.0
6,J.Johnson o23.5 Pts+Ast,CeeJPicks,Atlanta Hawks,Milwaukee Bucks,0.0,0.7083333333333334,1,0.8,1,0.8,1,-120,1.2,2.2,1.0000000000000002,J.Johnson,N,19.0
7,B.Bogdanovic o16.5 Pts+Rebs+Ast,Rotowire Sleeper,Atlanta Hawks,Milwaukee Bucks,0.0,0.5454545454545454,1,0.6,1,0.6,1,100,1.5,3.0,1.5,B.Bogdanovic,N,12.0
8,J.Williams u32.5 Pts+Rebs+Ast,sandyplashkes,Oklahoma City Thunder,Houston Rockets,1.0,0.5,0,0.4,0,0.4,0,-118,1.18,2.18,0.9999999999999998,J.Williams,Y,30.0
9,D.Lillard o37.5 Pts+Rebs+Ast,sandyplashkes,Milwaukee Bucks,Atlanta Hawks,1.0,0.5714285714285714,1,0.4,0,0.6,1,-118,1.18,2.18,0.9999999999999998,D.Lillard,Y,38.0
10,S.Gilgeous-Alexander o31.5 Pts,the_degenerates,Oklahoma City Thunder,Houston Rockets,1.0,0.375,0,0.4,0,0.6,1,-110,1.1,2.1,1.0,S.Gilgeous-Alexander,Y,32.0
11,T.Eason o5.5 Rebs,JoeDellera,Houston Rockets,Oklahoma City Thunder,0.0,0.5652173913043478,1,0.6,1,0.7,1,-135,1.0,1.7407407407407407,0.7407407407407407,T.Eason,N,2.0
