,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,J.Jaquez o14.5 Pts+Rebs+Ast,CeeJPicks,Miami Heat,Detroit Pistons,1,1.0,1,1.0,1,1.0,1,-110,1.0,1.9090909090909087,0.9090909090909092,J.Jaquez,Y,21.0
1,T.Herro o4.5 Ast,TopShelfAction,Miami Heat,Detroit Pistons,1,0.5,0,0.5,0,0.5,0,106,0.64,1.3184,0.6784,T.Herro,Y,6.0
2,J.Ivey o1.5 3pt M,TopShelfAction,Detroit Pistons,Miami Heat,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,100,0.6,1.2,0.6,J.Ivey,Y,5.0
3,J.Duren o10.5 Rebs,PlayerPropSavant,Detroit Pistons,Miami Heat,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,-120,1.0,1.8333333333333333,0.8333333333333335,J.Duren,Y,11.0
4,T.Rozier o3.5 Ast,TopShelfAction,Miami Heat,Detroit Pistons,1,0.5,0,0.5,0,0.5,0,-140,0.8,1.3714285714285717,0.5714285714285716,T.Rozier,N,3.0
5,B.Adebayo o0.5 3pt M,PropBetGuy,Miami Heat,Detroit Pistons,1,0.0,0,0.0,0,0.0,0,120,1.0,2.2,1.2000000000000002,B.Adebayo,N,0.0
6,M.Beasley o8.5 Pts,TopShelfAction,Detroit Pistons,Miami Heat,0,1.0,1,1.0,1,1.0,1,-102,0.6,1.188235294117647,0.5882352941176471,M.Beasley,N,3.0
7,B.Adebayo o0.5 3pt M,PropBomb,Miami Heat,Detroit Pistons,1,0.0,0,0.0,0,0.0,0,165,1.0,2.65,1.65,B.Adebayo,N,0.0
8,B.Adebayo o0.5 3pt M,GDAWG5000,Miami Heat,Detroit Pistons,1,0.0,0,0.0,0,0.0,0,165,0.5,1.325,0.825,B.Adebayo,N,0.0
9,J.Duren o22.5 Pts+Rebs,Markus_Markets,Detroit Pistons,Miami Heat,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-105,1.0,1.9523809523809523,0.9523809523809524,J.Duren,N,21.0
10,J.Duren o22.5 Pts+Rebs,JoeDellera,Detroit Pistons,Miami Heat,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,-109,0.09,0.1725688073394495,0.0825688073394495,J.Duren,N,21.0
11,J.Duren o29.5 Pts+Rebs,JoeDellera,Detroit Pistons,Miami Heat,0,0.0,0,0.0,0,0.0,0,500,0.2,1.2000000000000002,1.0000000000000002,J.Duren,N,21.0
12,Z.Collins o4.5 Rebs,CeeJPicks,San Antonio Spurs,Houston Rockets,1,1.0,1,1.0,1,1.0,1,-130,1.3,2.3,0.9999999999999998,Z.Collins,N,3.0
13,V.Wembanyama o3.5 Blk,kylemurray03,San Antonio Spurs,Houston Rockets,1,0.0,0,0.0,0,0.0,0,-119,1.0,1.8403361344537816,0.8403361344537816,V.Wembanyama,Y,4.0
