,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
46,C.Johnson o16.5 Pts,RoyalsProps,Brooklyn Nets,Miami Heat,1.0,0.5833333333333334,1,0.6,1,0.7,1,-120,1.2,2.2,1.0000000000000002,C.Johnson,Y,18.0
47,C.Holmgren o5.5 Rebs,kylemurray03,Oklahoma City Thunder,Toronto Raptors,1.0,0.6,1,0.6,1,0.6,1,100,1.0,2.0,1.0,C.Holmgren,N,5.0
48,D.Garland o28.5 Pts+Ast,kylemurray03,Cleveland Cavaliers,Washington Wizards,0.0,0.4897959183673469,0,0.6,1,0.7,1,-115,1.15,2.1499999999999995,0.9999999999999996,D.Garland,N,28.0
49,C.Kispert u18.5 Pts+Rebs,kylemurray03,Washington Wizards,Cleveland Cavaliers,1.0,0.7777777777777778,1,0.6,1,0.7,1,-120,1.2,2.2,1.0000000000000002,C.Kispert,Y,14.0
50,B.Coulibaly u5.5 Rebs,kylemurray03,Washington Wizards,Cleveland Cavaliers,1.0,0.5869565217391305,1,0.8,1,0.8,1,-105,1.05,2.05,0.9999999999999998,B.Coulibaly,N,6.0
51,V.Krejci o8.5 Pts,FirefighterBets,Atlanta Hawks,Milwaukee Bucks,1.0,0.3333333333333333,0,0.4,0,0.6,1,-125,1.0,1.8,0.8,V.Krejci,Y,11.0
52,B.Portis o6.5 Rebs,kylemurray03,Milwaukee Bucks,Atlanta Hawks,0.0,0.6666666666666666,1,0.8,1,0.8,1,-124,1.24,2.24,0.9999999999999998,B.Portis,Y,15.0
53,J.Collins o25.5 Pts+Rebs,kylemurray03,Utah Jazz,Phoenix Suns,0.0,0.40625,0,0.4,0,0.4,0,-110,1.1,2.1,1.0,J.Collins,Y,27.0
54,J.Jaquez o14.5 Pts+Rebs+Ast,the_degenerates,Miami Heat,Brooklyn Nets,0.0,0.6590909090909091,1,0.8,1,0.9,1,-109,1.09,2.0900000000000003,1.0000000000000002,J.Jaquez,N,11.0
55,Z.Williams o9.5 Pts,itsbucketsnba,Brooklyn Nets,Miami Heat,1.0,0.4324324324324324,0,0.4,0,0.4,0,104,1.0,2.04,1.04,Z.Williams,N,8.0
56,T.Young u28.5 Pts,itsbucketsnba,Atlanta Hawks,Milwaukee Bucks,1.0,0.6808510638297872,1,0.4,0,0.7,1,-105,1.0,1.9523809523809523,0.9523809523809524,T.Young,Y,24.0
57,G.Dick u2.5 3pt M,PvB_Bets,Toronto Raptors,Oklahoma City Thunder,0.0,0.6590909090909091,1,1.0,1,1.0,1,-155,1.0,1.6451612903225803,0.6451612903225805,G.Dick,Y,2.0
58,C.Johnson u3.5 Rebs,TopShelfAction,Brooklyn Nets,Miami Heat,1.0,0.5,0,0.8,1,0.8,1,-120,1.2,2.2,1.0000000000000002,C.Johnson,N,6.0
59,D.Lillard o4.5 Rebs,TopShelfAction,Milwaukee Bucks,Atlanta Hawks,0.0,0.4390243902439024,0,0.2,0,0.5,0,105,0.9,1.845,0.945,D.Lillard,Y,9.0
60,O.Okongwu u9.5 Rebs,TopShelfAction,Atlanta Hawks,Milwaukee Bucks,1.0,0.7045454545454546,1,0.6,1,0.6,1,125,1.0,2.25,1.25,O.Okongwu,N,12.0
61,T.Young o10.5 Ast,TopShelfAction,Atlanta Hawks,Milwaukee Bucks,1.0,0.5319148936170213,1,0.4,0,0.4,0,110,1.8,3.78,1.98,T.Young,N,7.0
62,V.Krejci o8.5 Pts,therocketplays,Atlanta Hawks,Milwaukee Bucks,1.0,0.3333333333333333,0,0.4,0,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996,V.Krejci,Y,11.0
63,O.Okongwu o23.5 Pts+Rebs,Rotowire Sleeper,Atlanta Hawks,Milwaukee Bucks,1.0,0.25,0,0.2,0,0.3,0,100,1.5,3.0,1.5,O.Okongwu,Y,26.0
64,A.Green o7.5 Pts,FirefighterBets,Milwaukee Bucks,Atlanta Hawks,0.0,0.5,0,0.4,0,0.4,0,-115,1.0,1.869565217391304,0.8695652173913042,A.Green,N,2.0
65,M.Strus u4.5 Rebs,TopShelfAction,Cleveland Cavaliers,Washington Wizards,0.0,0.5652173913043478,1,0.4,0,0.4,0,120,0.8,1.7600000000000002,0.9600000000000002,M.Strus,N,5.0
66,P.George o5.5 Rebs,TopShelfAction,Philadelphia 76ers,Detroit Pistons,0.0,0.3870967741935484,0,0.0,0,0.3,0,105,0.8,1.64,0.8399999999999999,P.George,N,1.0
67,B.Portis o1.5 3pt M,TopShelfAction,Milwaukee Bucks,Atlanta Hawks,0.0,0.2857142857142857,0,0.4,0,0.3,0,100,2.1,4.2,2.1,B.Portis,Y,4.0
68,B.Lopez o1.5 3pt M,TopShelfAction,Milwaukee Bucks,Atlanta Hawks,0.0,0.5208333333333334,1,0.6,1,0.5,0,-125,2.5,4.5,2.0,B.Lopez,N,1.0
69,C.Holmgren o17.5 Pts+Rebs+Ast,CamIsMoney18,Oklahoma City Thunder,Toronto Raptors,1.0,0.8,1,0.8,1,0.8,1,-130,1.0,1.7692307692307692,0.7692307692307692,C.Holmgren,N,10.0
70,C.Carrington o10.5 Pts,TopShelfAction,Washington Wizards,Cleveland Cavaliers,1.0,0.36,0,0.2,0,0.3,0,104,1.3,2.652,1.352,C.Carrington,Y,13.0
71,J.Poole o4.5 Ast,TopShelfAction,Washington Wizards,Cleveland Cavaliers,1.0,0.5116279069767442,1,0.4,0,0.5,0,-120,1.2,2.2,1.0000000000000002,J.Poole,Y,5.0
72,B.Coulibaly o22.5 Pts+Rebs+Ast,allanlemdfs,Washington Wizards,Cleveland Cavaliers,1.0,0.391304347826087,0,0.6,1,0.5,0,-110,0.55,1.05,0.5,B.Coulibaly,Y,26.0
73,K.George o4.5 Rebs,TopShelfAction_duplicate,Washington Wizards,Cleveland Cavaliers,1.0,0.2666666666666666,0,0.4,0,0.3,0,115,1.0,2.15,1.15,K.George,Y,5.0
74,K.George o4.5 Rebs,TopShelfAction_duplicate,Utah Jazz,Phoenix Suns,0.0,0.282051282051282,0,0.4,0,0.3,0,115,1.0,2.15,1.15,K.George,N,3.0
75,C.Carrington o4.5 Ast,TopShelfAction,Washington Wizards,Cleveland Cavaliers,1.0,0.36,0,0.4,0,0.3,0,-110,1.6,3.0545454545454547,1.4545454545454546,C.Carrington,N,3.0
76,I.Joe o10.5 Pts,Rotowire Sleeper,Oklahoma City Thunder,Toronto Raptors,1.0,0.4,0,0.8,1,0.6,1,100,1.5,3.0,1.5,I.Joe,Y,16.0
77,G.Mathews o1.5 3pt M,goodelleaks,Atlanta Hawks,Milwaukee Bucks,1.0,0.5238095238095238,1,0.4,0,0.4,0,-125,1.0,1.8,0.8,G.Mathews,N,0.0
