,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,S.Curry u27.5 Pts,itsbucketsnba,-120,1.0,1.8333333333333333,Golden State Warriors,S.Curry,Portland Trail Blazers,1,0.8333333333333335,Y,1.0,1,1.0,1,1.0,1
1,T.Camara u6.5 Pts,boomerslocks,105,1.0,2.05,Portland Trail Blazers,T.Camara,Golden State Warriors,0,1.0499999999999998,N,0.0,0,0.0,0,0.0,0
2,T.Jackson-Davis o13.5 Pts+Rebs,ThePropfessor_,-120,1.2,2.2,Golden State Warriors,T.Jackson-Davis,Portland Trail Blazers,1,1.0000000000000002,Y,1.0,1,1.0,1,1.0,1
3,A.Wiggins o17.5 Pts+Rebs+Ast,CeeJPicks,-119,1.19,2.19,Golden State Warriors,A.Wiggins,Portland Trail Blazers,1,1.0,Y,1.0,1,1.0,1,1.0,1
4,D.Ayton o26.5 Pts+Rebs,FirefighterBets,-125,1.0,1.8,Portland Trail Blazers,D.Ayton,Golden State Warriors,0,0.8,N,0.0,0,0.0,0,0.0,0
5,B.Podziemski o18.5 Pts+Rebs+Ast,TopShelfAction,112,1.0,2.12,Golden State Warriors,B.Podziemski,Portland Trail Blazers,1,1.12,N,0.0,0,0.0,0,0.0,0
6,B.Podziemski o8.5 Pts,TopShelfAction,-110,1.5,2.863636363636364,Golden State Warriors,B.Podziemski,Portland Trail Blazers,1,1.3636363636363638,N,0.0,0,0.0,0,0.0,0
7,J.Kuminga o17.5 Pts,Mjaybrxd,-110,1.0,1.9090909090909087,Golden State Warriors,J.Kuminga,Portland Trail Blazers,1,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
8,T.Jackson-Davis o5.5 Rebs,FirefighterBets,-105,1.0,1.9523809523809523,Golden State Warriors,T.Jackson-Davis,Portland Trail Blazers,1,0.9523809523809524,N,0.0,0,0.0,0,0.0,0
9,D.Green o5.5 Ast,JoeDellera,-110,1.0,1.9090909090909087,Golden State Warriors,D.Green,Portland Trail Blazers,1,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
10,S.Henderson o16.5 Pts+Ast,cowhitchurch,-125,0.63,1.134,Portland Trail Blazers,S.Henderson,Golden State Warriors,0,0.5040000000000001,Y,1.0,1,1.0,1,1.0,1
11,A.Wiggins o17.5 Pts+Rebs+Ast,Markus_Markets,-120,1.0,1.8333333333333333,Golden State Warriors,A.Wiggins,Portland Trail Blazers,1,0.8333333333333335,Y,1.0,1,1.0,1,1.0,1
12,A.Wiggins o17.5 Pts+Rebs+Ast,TopShelfAction,-120,1.8,3.3000000000000003,Golden State Warriors,A.Wiggins,Portland Trail Blazers,1,1.5000000000000002,Y,1.0,1,1.0,1,1.0,1
13,S.Henderson o16.5 Pts+Ast,kylemurray03,-125,1.25,2.25,Portland Trail Blazers,S.Henderson,Golden State Warriors,0,1.0,Y,1.0,1,1.0,1,1.0,1
14,L.Markkanen u23.5 Pts,boomerslocks,-130,2.0,3.5384615384615383,Utah Jazz,L.Markkanen,Memphis Grizzlies,0,1.5384615384615383,N,0.0,0,0.0,0,0.0,0
15,B.Clarke o9.5 Pts,Mjaybrxd,-110,1.0,1.9090909090909087,Memphis Grizzlies,B.Clarke,Utah Jazz,1,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
16,S.Aldama o9.5 Pts,FirefighterBets,-105,1.0,1.9523809523809523,Memphis Grizzlies,S.Aldama,Utah Jazz,1,0.9523809523809524,Y,1.0,1,1.0,1,1.0,1
17,M.Smart o3.5 Ast,TopShelfAction,-135,1.0,1.7407407407407407,Memphis Grizzlies,M.Smart,Utah Jazz,1,0.7407407407407407,N,0.0,0,0.0,0,0.0,0
18,Z.Edey o19.5 Pts+Rebs+Ast,TopShelfAction,-120,1.4,2.566666666666667,Memphis Grizzlies,Z.Edey,Utah Jazz,1,1.166666666666667,N,0.0,0,0.0,0,0.0,0
19,M.Smart o12.5 Pts,TopShelfAction,125,1.2,2.7,Memphis Grizzlies,M.Smart,Utah Jazz,1,1.4999999999999998,N,0.0,0,0.0,0,0.0,0
20,C.Sexton u27.5 Pts+Rebs+Ast,gneiffer07,-110,1.1,2.1,Utah Jazz,C.Sexton,Memphis Grizzlies,0,1.0,Y,1.0,1,1.0,1,1.0,1
21,Z.Edey o18.5 Pts+Rebs,ThePropfessor_,-115,1.15,2.1499999999999995,Memphis Grizzlies,Z.Edey,Utah Jazz,1,0.9999999999999996,N,0.0,0,0.0,0,0.0,0
22,J.Morant o13.5 Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,Memphis Grizzlies,J.Morant,Utah Jazz,1,0.9999999999999996,Y,1.0,1,1.0,1,1.0,1
23,D.Bane u22.5 Pts,MoneylineHacks,-110,1.0,1.9090909090909087,Memphis Grizzlies,D.Bane,Utah Jazz,1,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
24,B.Clarke o8.5 Pts,RoyalsProps,-120,1.2,2.2,Memphis Grizzlies,B.Clarke,Utah Jazz,1,1.0000000000000002,N,0.0,0,0.0,0,0.0,0
25,S.Aldama o8.5 Pts,GDAWG5000,-125,0.63,1.134,Memphis Grizzlies,S.Aldama,Utah Jazz,1,0.5040000000000001,Y,1.0,1,1.0,1,1.0,1
26,S.Aldama o8.5 Pts,Markus_Markets,-130,1.0,1.7692307692307692,Memphis Grizzlies,S.Aldama,Utah Jazz,1,0.7692307692307692,Y,1.0,1,1.0,1,1.0,1
27,L.Markkanen o22.5 Pts,cowhitchurch,-129,0.65,1.1538759689922482,Utah Jazz,L.Markkanen,Memphis Grizzlies,0,0.5038759689922482,Y,1.0,1,1.0,1,1.0,1
28,S.Aldama o9.5 Pts,cowhitchurch,100,0.5,1.0,Memphis Grizzlies,S.Aldama,Utah Jazz,1,0.5,Y,1.0,1,1.0,1,1.0,1
29,S.Aldama o8.5 Pts,PropBomb,-125,1.25,2.25,Memphis Grizzlies,S.Aldama,Utah Jazz,1,1.0,Y,1.0,1,1.0,1,1.0,1
30,Z.Edey o18.5 Pts+Rebs,kylemurray03,-120,1.2,2.2,Memphis Grizzlies,Z.Edey,Utah Jazz,1,1.0000000000000002,N,0.0,0,0.0,0,0.0,0
31,L.Markkanen o21.5 Pts,JoeDellera,-120,1.0,1.8333333333333333,Utah Jazz,L.Markkanen,Memphis Grizzlies,0,0.8333333333333335,Y,1.0,1,1.0,1,1.0,1
32,T.Jones o6.5 Ast,PlayerPropSavant,-101,1.01,2.01,Phoenix Suns,T.Jones,Los Angeles Clippers,1,0.9999999999999998,Y,1.0,1,1.0,1,1.0,1
33,K.Durant o33.5 Pts+Rebs+Ast,CeeJPicks,-110,1.1,2.1,Phoenix Suns,K.Durant,Los Angeles Clippers,1,1.0,N,0.0,0,0.0,0,0.0,0
34,K.Porter u12.5 Pts,boomerslocks,-107,1.0,1.9345794392523368,Los Angeles Clippers,K.Porter,Phoenix Suns,0,0.9345794392523366,Y,1.0,1,1.0,1,1.0,1
35,N.Powell o18.5 Pts,Mjaybrxd,-110,1.0,1.9090909090909087,Los Angeles Clippers,N.Powell,Phoenix Suns,0,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
36,J.Harden o37.5 Pts+Rebs+Ast,FirefighterBets,-125,1.0,1.8,Los Angeles Clippers,J.Harden,Phoenix Suns,0,0.8,Y,1.0,1,1.0,1,1.0,1
37,D.Booker u26.5 Pts,gneiffer07,-115,1.15,2.1499999999999995,Phoenix Suns,D.Booker,Los Angeles Clippers,1,0.9999999999999996,Y,1.0,1,1.0,1,1.0,1
38,T.Mann o14.5 Pts+Rebs+Ast,Markus_Markets,-125,1.0,1.8,Los Angeles Clippers,T.Mann,Phoenix Suns,0,0.8,Y,1.0,1,1.0,1,1.0,1
39,J.Harden o2.5 3pt M,moneybadger24_,-140,1.4,2.4,Los Angeles Clippers,J.Harden,Phoenix Suns,0,1.0,N,0.0,0,0.0,0,0.0,0
40,T.Mann o15.5 Pts+Rebs+Ast,TopShelfAction,110,1.0,2.1,Los Angeles Clippers,T.Mann,Phoenix Suns,0,1.1,Y,1.0,1,1.0,1,1.0,1
41,K.Durant o3.5 Ast,TopShelfAction,120,1.2,2.64,Phoenix Suns,K.Durant,Los Angeles Clippers,1,1.4400000000000002,N,0.0,0,0.0,0,0.0,0
42,W.Carter u7.5 Rebs,kylemurray03,-120,1.15,2.1083333333333334,Orlando Magic,W.Carter,Miami Heat,1,0.9583333333333336,N,0.0,0,0.0,0,0.0,0
43,J.Jaquez o11.5 Pts+Rebs+Ast,CeeJPicks,-135,1.0,1.7407407407407407,Miami Heat,J.Jaquez,Orlando Magic,0,0.7407407407407407,Y,1.0,1,1.0,1,1.0,1
44,B.Adebayo o0.5 3pt M,cawright95,-145,1.45,2.45,Miami Heat,B.Adebayo,Orlando Magic,0,1.0000000000000002,N,0.0,0,0.0,0,0.0,0
45,B.Adebayo o0.5 3pt M,HPBasketball,-133,0.27,0.4730075187969925,Miami Heat,B.Adebayo,Orlando Magic,0,0.2030075187969924,N,0.0,0,0.0,0,0.0,0
46,J.Jaquez o11.5 Pts+Rebs+Ast,Markus_Markets,-125,0.8,1.4400000000000002,Miami Heat,J.Jaquez,Orlando Magic,0,0.6400000000000001,Y,1.0,1,1.0,1,1.0,1
47,K.Caldwell-Pope o12.5 Pts+Rebs+Ast,TopShelfAction,100,1.5,3.0,Orlando Magic,K.Caldwell-Pope,Miami Heat,1,1.5,N,0.0,0,0.0,0,0.0,0
48,T.Herro u24.5 Pts+Ast,cowhitchurch,-114,0.5,0.9385964912280702,Miami Heat,T.Herro,Orlando Magic,0,0.4385964912280702,Y,1.0,1,1.0,1,1.0,1
49,B.Adebayo o1.5 3pt M,JoeDellera,700,0.15,1.2,Miami Heat,B.Adebayo,Orlando Magic,0,1.05,N,0.0,0,0.0,0,0.0,0
50,B.Adebayo o0.5 3pt M,JoeDellera,-110,0.5,0.9545454545454546,Miami Heat,B.Adebayo,Orlando Magic,0,0.4545454545454546,N,0.0,0,0.0,0,0.0,0
51,C.Boucher u0.5 3pt M,boomerslocks,-110,1.0,1.9090909090909087,Toronto Raptors,C.Boucher,Cleveland Cavaliers,0,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
52,S.Barnes o13.5 Rebs+Ast,PlayerPropSavant,-122,1.22,2.22,Toronto Raptors,S.Barnes,Cleveland Cavaliers,0,1.0000000000000002,N,0.0,0,0.0,0,0.0,0
53,E.Mobley o0.5 3pt M,GDAWG5000,145,0.73,1.7885,Cleveland Cavaliers,E.Mobley,Toronto Raptors,1,1.0585,Y,1.0,1,1.0,1,1.0,1
54,C.LeVert o3.5 Ast,MJCLocks,105,1.05,2.1525,Cleveland Cavaliers,C.LeVert,Toronto Raptors,1,1.1024999999999998,Y,1.0,1,1.0,1,1.0,1
55,G.Dick o19.5 Pts+Rebs+Ast,FirefighterBets,-110,1.0,1.9090909090909087,Toronto Raptors,G.Dick,Cleveland Cavaliers,0,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
56,E.Mobley o24.5 Pts+Rebs,FirefighterBets,-125,0.8,1.4400000000000002,Cleveland Cavaliers,E.Mobley,Toronto Raptors,1,0.6400000000000001,Y,1.0,1,1.0,1,1.0,1
57,S.Barnes o21.5 Pts,sandyplashkes,-114,1.14,2.14,Toronto Raptors,S.Barnes,Cleveland Cavaliers,0,0.9999999999999998,N,0.0,0,0.0,0,0.0,0
58,E.Mobley o15.5 Pts,RoyalsProps,-110,1.0,1.9090909090909087,Cleveland Cavaliers,E.Mobley,Toronto Raptors,1,0.9090909090909092,Y,1.0,1,1.0,1,1.0,1
59,J.Allen o10.5 Rebs,cowhitchurch,-113,0.57,1.074424778761062,Cleveland Cavaliers,J.Allen,Toronto Raptors,1,0.504424778761062,N,0.0,0,0.0,0,0.0,0
60,J.Allen o10.5 Rebs,kylemurray03,-110,1.1,2.1,Cleveland Cavaliers,J.Allen,Toronto Raptors,1,1.0,N,0.0,0,0.0,0,0.0,0
61,C.Martin u3.5 Rebs,boomerslocks,110,1.0,2.1,Philadelphia 76ers,C.Martin,Milwaukee Bucks,0,1.1,N,0.0,0,0.0,0,0.0,0
62,T.Maxey u7.5 Ast,cawright95,-125,1.0,1.8,Philadelphia 76ers,T.Maxey,Milwaukee Bucks,0,0.8,Y,1.0,1,1.0,1,1.0,1
