,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,P.Banchero o4.5 Ast,therocketplays,Orlando Magic,Denver Nuggets,1.0,0.3333333333333333,0,0.2,0,0.3333333333333333,0,-110,1.1,2.1,1.0,P.Banchero,Y,5.0
1,R.Hachimura u17.5 Pts+Rebs+Ast,allanlemdfs,Los Angeles Lakers,Los Angeles Clippers,0.0,0.5,0,0.6,1,0.5,0,-130,0.65,1.15,0.4999999999999999,R.Hachimura,N,27.0
2,R.Hachimura u17.5 Pts+Rebs+Ast,PropBomb,Los Angeles Lakers,Los Angeles Clippers,0.0,0.5,0,0.6,1,0.5,0,-130,1.3,2.3,0.9999999999999998,R.Hachimura,N,27.0
3,T.Rozier o16.5 Pts+Rebs+Ast,CamIsMoney18,Miami Heat,San Antonio Spurs,1.0,0.6388888888888888,1,0.6,1,0.7,1,-120,1.0,1.8333333333333333,0.8333333333333335,T.Rozier,Y,29.0
4,D.Ayton o23.5 Pts+Rebs,CamIsMoney18,Portland Trail Blazers,Chicago Bulls,1.0,0.5333333333333333,1,0.4,0,0.4,0,-110,1.0,1.9090909090909087,0.9090909090909092,D.Ayton,Y,28.0
5,A.Sarr o17.5 Pts+Rebs,Rotowire Sleeper,Washington Wizards,Sacramento Kings,0.0,0.5833333333333334,1,0.6,1,0.7,1,100,1.5,3.0,1.5,A.Sarr,N,13.0
6,M.Monk o28.5 Pts+Rebs+Ast,Rotowire Sleeper,Sacramento Kings,Washington Wizards,1.0,0.4545454545454545,0,1.0,1,0.7,1,100,1.5,3.0,1.5,M.Monk,N,28.0
7,C.Carrington o15.5 Pts+Rebs+Ast,Rotowire Prizepicks,Washington Wizards,Sacramento Kings,0.0,0.625,1,0.4,0,0.6,1,100,1.5,3.0,1.5,C.Carrington,N,15.0
8,A.Gordon o13.5 Pts+Rebs,JoeDellera,Denver Nuggets,Orlando Magic,0.0,0.7,1,0.6,1,0.6,1,-113,1.0,1.8849557522123888,0.8849557522123894,A.Gordon,N,13.0
9,R.Hachimura u17.5 Pts+Rebs+Ast,Markus_Markets,Los Angeles Lakers,Los Angeles Clippers,0.0,0.5,0,0.6,1,0.5,0,-130,1.0,1.7692307692307692,0.7692307692307692,R.Hachimura,N,27.0
