,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,D.Lillard o23.5 Pts,the_degenerates,Milwaukee Bucks,Brooklyn Nets,0.0,0.6842105263157895,1,1.0,1,0.7,1,-122.0,1.22,2.22,1.0000000000000002,D.Lillard,N,15.0
1,T.Murphy u8.5 Rebs+Ast,allanlemdfs,New Orleans Pelicans,San Antonio Spurs,0.0,0.7272727272727273,1,0.8,1,0.7,1,100.0,0.5,1.0,0.5,T.Murphy,N,11.0
2,T.Murphy u8.5 Rebs+Ast,JoeDellera,New Orleans Pelicans,San Antonio Spurs,0.0,0.7272727272727273,1,0.8,1,0.7,1,100.0,1.0,2.0,1.0,T.Murphy,N,11.0
3,D.Garland o25.5 Pts+Ast,RoyalsProps,Cleveland Cavaliers,Miami Heat,0.0,0.5652173913043478,1,0.6,1,0.6,1,-105.0,1.05,2.05,0.9999999999999998,D.Garland,Y,28.0
4,A.Edwards o29.5 Pts+Rebs,JoeDellera,Minnesota Timberwolves,Golden State Warriors,0.0,0.5454545454545454,1,0.4,0,0.5,0,-110.0,1.0,1.9090909090909087,0.9090909090909092,A.Edwards,Y,32.0
5,D.Brooks u13.5 Pts,RoyalsProps,Houston Rockets,Los Angeles Clippers,0.0,0.4782608695652174,0,0.4,0,0.5,0,-113.0,1.13,2.13,1.0,D.Brooks,N,19.0
6,T.Maxey o22.5 Pts,RoyalsProps,Philadelphia 76ers,Chicago Bulls,0.0,0.6,1,0.4,0,0.4,0,-115.0,1.15,2.1499999999999995,0.9999999999999996,T.Maxey,Y,25.0
7,J.Embiid u36.5 Pts+Rebs+Ast,allanlemdfs,Philadelphia 76ers,Chicago Bulls,0.0,0.75,1,0.75,1,0.75,1,-125.0,0.63,1.134,0.5040000000000001,J.Embiid,N,47.0
8,M.Monk o16.5 Pts,Rotowire Sleeper,Sacramento Kings,Utah Jazz,1.0,0.5294117647058824,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,M.Monk,N,16.0
9,I.Zubac o26.5 Pts+Rebs+Ast,Rotowire Sleeper,Los Angeles Clippers,Houston Rockets,1.0,0.7083333333333334,1,0.4,0,0.7,1,100.0,1.5,3.0,1.5,I.Zubac,Y,34.0
10,J.Butler o22.5 Pts+Rebs,Rotowire Prizepicks,Miami Heat,Cleveland Cavaliers,1.0,0.625,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Butler,N,21.0
11,S.Sharpe o17.5 Pts+Ast,Rotowire Prizepicks,Portland Trail Blazers,Los Angeles Lakers,0.0,0.5333333333333333,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,S.Sharpe,Y,22.0
12,J.Poole o28.5 Pts+Ast,Rotowire Sleeper,Washington Wizards,Memphis Grizzlies,1.0,0.3684210526315789,0,0.4,0,0.4,0,100.0,1.5,3.0,1.5,J.Poole,N,11.0
13,J.Randle o22.5 Pts+Ast,Rotowire Prizepicks,Minnesota Timberwolves,Golden State Warriors,0.0,0.6818181818181818,1,0.4,0,0.7,1,100.0,1.5,3.0,1.5,J.Randle,N,18.0
14,T.Herro o31.5 Pts+Rebs+Ast,Rotowire Sleeper,Miami Heat,Cleveland Cavaliers,1.0,0.6190476190476191,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,T.Herro,Y,47.0
15,M.Turner o14.5 Pts,Rotowire Sleeper,Indiana Pacers,Charlotte Hornets,1.0,0.4545454545454545,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,M.Turner,N,10.0
16,P.Siakam o21.5 Pts+Ast,Rotowire Prizepicks,Indiana Pacers,Charlotte Hornets,1.0,0.6666666666666666,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,P.Siakam,N,12.0
17,N.Reid o15.5 Pts+Rebs,Rotowire Sleeper,Minnesota Timberwolves,Golden State Warriors,0.0,0.6363636363636364,1,0.4,0,0.5,0,100.0,1.5,3.0,1.5,N.Reid,Y,16.0
18,N.Richards o20.5 Pts+Rebs,JoeDellera,Charlotte Hornets,Indiana Pacers,0.0,0.5,0,0.4,0,0.5,0,-115.0,1.0,1.869565217391304,0.8695652173913042,N.Richards,Y,23.0
19,T.Jones o17.5 Pts+Ast,Rotowire Prizepicks,Phoenix Suns,Orlando Magic,0.0,0.6363636363636364,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,T.Jones,Y,27.0
20,M.Monk o6.5 Ast,therocketplays,Sacramento Kings,Utah Jazz,1.0,0.1764705882352941,0,0.4,0,0.3,0,200.0,0.5,1.5,1.0,M.Monk,N,3.0
21,M.Monk o9.5 Ast,therocketplays,Sacramento Kings,Utah Jazz,1.0,0.0588235294117647,0,0.2,0,0.1,0,1000.0,0.25,2.75,2.5,M.Monk,N,3.0
22,M.Conley o12.5 Pts+Rebs,Rotowire Prizepicks,Minnesota Timberwolves,Golden State Warriors,0.0,0.5,0,0.8,1,0.5,0,100.0,1.5,3.0,1.5,M.Conley,Y,14.0
23,D.Vassell o17.5 Pts+Ast,Rotowire Sleeper,San Antonio Spurs,New Orleans Pelicans,1.0,0.75,1,0.8,1,0.75,1,100.0,1.5,3.0,1.5,D.Vassell,N,11.0
24,K.Murray o12.5 Pts,itsbucketsnba,Sacramento Kings,Utah Jazz,1.0,0.5833333333333334,1,0.4,0,0.4,0,-129.0,1.0,1.7751937984496124,0.7751937984496124,K.Murray,N,7.0
25,A.Sengun o36.5 Pts+Rebs+Ast,Rotowire Prizepicks,Houston Rockets,Los Angeles Clippers,0.0,0.4347826086956521,0,0.8,1,0.6,1,100.0,1.5,3.0,1.5,A.Sengun,N,27.0
26,C.Braun o15.5 Pts+Ast,Rotowire Prizepicks,Denver Nuggets,Atlanta Hawks,0.0,0.7142857142857143,1,0.2,0,0.6,1,100.0,1.5,3.0,1.5,C.Braun,Y,21.0
27,W.Carter o7.5 Rebs,Rotowire Prizepicks,Orlando Magic,Phoenix Suns,1.0,0.4166666666666667,0,0.2,0,0.3,0,100.0,1.5,3.0,1.5,W.Carter,N,5.0
28,D.Sabonis o37.5 Pts+Rebs+Ast,Rotowire Sleeper,Sacramento Kings,Utah Jazz,1.0,0.6818181818181818,1,0.8,1,0.8,1,100.0,1.5,3.0,1.5,D.Sabonis,N,37.0
