,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,G.Dick o15.5 Pts,RoyalsProps,Toronto Raptors,Miami Heat,0.0,0.5,0,0.4,0,0.4,0,-120,1.2,2.2,1.0000000000000002,G.Dick,Y,22.0
1,O.Agbaji o9.5 Pts,sandyplashkes,Toronto Raptors,Miami Heat,0.0,0.56,1,0.2,0,0.3,0,-120,1.2,2.2,1.0000000000000002,O.Agbaji,Y,13.0
2,R.Barrett o5.5 Ast,JayMoneyIsMoney23,Toronto Raptors,Miami Heat,0.0,0.4090909090909091,0,0.0,0,0.3,0,104,0.5,1.02,0.52,R.Barrett,Y,10.0
3,J.Poeltl o14.5 Pts,therocketplays,Toronto Raptors,Miami Heat,0.0,0.5416666666666666,1,0.8,1,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996,J.Poeltl,Y,16.0
4,D.White o14.5 Pts,RoyalsProps,Boston Celtics,Detroit Pistons,1.0,0.6956521739130435,1,0.4,0,0.6,1,-110,1.1,2.1,1.0,D.White,Y,23.0
5,T.Harris o11.5 Pts,Rotowire Sleeper,Detroit Pistons,Boston Celtics,0.0,0.6666666666666666,1,0.8,1,0.8,1,100,1.5,3.0,1.5,T.Harris,N,9.0
6,J.Holiday o14.5 Pts+Ast,Rotowire Sleeper,Boston Celtics,Detroit Pistons,1.0,0.6666666666666666,1,0.6,1,0.7,1,100,1.5,3.0,1.5,J.Holiday,Y,18.0
7,C.Cunningham o6.5 Rebs,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.5238095238095238,1,0.6,1,0.6,1,100,1.5,3.0,1.5,C.Cunningham,Y,8.0
8,J.Brown o23.5 Pts,GDAWG5000,Boston Celtics,Detroit Pistons,1.0,0.6842105263157895,1,0.6,1,0.6,1,-113,0.57,1.074424778761062,0.504424778761062,J.Brown,N,14.0
9,J.Brown o23.5 Pts,JoeDellera,Boston Celtics,Detroit Pistons,1.0,0.6842105263157895,1,0.6,1,0.6,1,-108,1.0,1.925925925925926,0.925925925925926,J.Brown,N,14.0
10,D.Fox o35.5 Pts+Rebs+Ast,sandyplashkes,Sacramento Kings,New Orleans Pelicans,0.0,0.48,0,0.2,0,0.4,0,-110,1.1,2.1,1.0,D.Fox,N,33.0
11,O.Agbaji o9.5 Pts,LinesAtLunch,Toronto Raptors,Miami Heat,0.0,0.56,1,0.2,0,0.3,0,-120,1.2,2.2,1.0000000000000002,O.Agbaji,Y,13.0
12,D.Sabonis o12.5 Rebs,JoeDellera,Sacramento Kings,New Orleans Pelicans,0.0,0.4347826086956521,0,0.6,1,0.6,1,-135,1.0,1.7407407407407407,0.7407407407407407,D.Sabonis,Y,20.0
13,O.Agbaji o9.5 Pts,JoeDellera,Toronto Raptors,Miami Heat,0.0,0.56,1,0.2,0,0.3,0,-115,1.0,1.869565217391304,0.8695652173913042,O.Agbaji,Y,13.0
14,J.Holiday o14.5 Pts+Rebs,Rotowire Sleeper,Boston Celtics,Detroit Pistons,1.0,0.6666666666666666,1,0.6,1,0.6,1,100,1.5,3.0,1.5,J.Holiday,Y,19.0
15,K.Huerter o13.5 Pts+Rebs+Ast,Rotowire Sleeper,Sacramento Kings,New Orleans Pelicans,0.0,0.6363636363636364,1,0.6,1,0.5,0,100,1.5,3.0,1.5,K.Huerter,N,11.0
16,H.Jones o15.5 Pts+Rebs,Rotowire Prizepicks,New Orleans Pelicans,Sacramento Kings,1.0,0.2857142857142857,0,0.4,0,0.2857142857142857,0,100,1.5,3.0,1.5,H.Jones,N,14.0
17,Y.Missi o21.5 Pts+Rebs+Ast,Rotowire Sleeper,New Orleans Pelicans,Sacramento Kings,1.0,0.25,0,0.4,0,0.4,0,100,1.5,3.0,1.5,Y.Missi,N,19.0
18,R.Barrett u24.5 Pts,gneiffer07,Toronto Raptors,Miami Heat,0.0,0.5454545454545454,1,0.4,0,0.5,0,-115,1.15,2.1499999999999995,0.9999999999999996,R.Barrett,Y,13.0
19,J.Holiday u14.5 Pts,gneiffer07,Boston Celtics,Detroit Pistons,1.0,0.5714285714285714,1,0.6,1,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996,J.Holiday,Y,12.0
20,M.Monk o25.5 Pts+Rebs+Ast,gneiffer07,Sacramento Kings,New Orleans Pelicans,0.0,0.3888888888888889,0,0.8,1,0.6,1,-121,1.21,2.21,1.0,M.Monk,N,17.0
21,T.Harris o20.5 Pts+Rebs+Ast,Rotowire Sleeper,Detroit Pistons,Boston Celtics,0.0,0.6666666666666666,1,0.8,1,0.6,1,100,1.5,3.0,1.5,T.Harris,N,20.0
22,H.Jones o18.5 Pts+Rebs+Ast,Rotowire Sleeper,New Orleans Pelicans,Sacramento Kings,1.0,0.2857142857142857,0,0.4,0,0.2857142857142857,0,100,1.5,3.0,1.5,H.Jones,N,18.0
23,J.Holiday u18.5 Pts+Ast,Rotowire Prizepicks,Boston Celtics,Detroit Pistons,1.0,0.6666666666666666,1,0.6,1,0.7,1,100,1.5,3.0,1.5,J.Holiday,Y,18.0
24,K.Porzingis u21.5 Pts,Rotowire Prizepicks,Boston Celtics,Detroit Pistons,1.0,0.8,1,0.8,1,0.8,1,100,1.5,3.0,1.5,K.Porzingis,Y,19.0
25,M.Beasley o16.5 Pts+Rebs+Ast,Rotowire Sleeper,Detroit Pistons,Boston Celtics,0.0,0.76,1,0.8,1,0.8,1,100,1.5,3.0,1.5,M.Beasley,N,12.0
26,M.Beasley o15.5 Pts+Rebs,Rotowire Sleeper,Detroit Pistons,Boston Celtics,0.0,0.72,1,0.8,1,0.8,1,100,1.5,3.0,1.5,M.Beasley,N,9.0
27,M.Beasley o14.5 Pts+Ast,Rotowire Sleeper,Detroit Pistons,Boston Celtics,0.0,0.68,1,0.8,1,0.8,1,100,1.5,3.0,1.5,M.Beasley,N,8.0
28,T.Harris o18.5 Pts+Rebs,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.6666666666666666,1,0.8,1,0.6,1,100,1.5,3.0,1.5,T.Harris,N,17.0
29,C.Cunningham u33.5 Pts+Ast,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.5238095238095238,1,0.2,0,0.4,0,100,1.5,3.0,1.5,C.Cunningham,Y,26.0
30,M.Beasley o13.5 Pts,Rotowire Prizepicks,Detroit Pistons,Boston Celtics,0.0,0.68,1,0.8,1,0.8,1,100,1.5,3.0,1.5,M.Beasley,N,5.0
