,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,T.Murphy o23.5 Pts+Rebs,Rotowire Sleeper,New Orleans Pelicans,Memphis Grizzlies,1.0,0.6111111111111112,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,T.Murphy,Y,38.0
1,D.Schroder o14.5 Pts,Rotowire Sleeper,Golden State Warriors,Los Angeles Clippers,0.0,0.0,0,0.0,0,0.0,0,100.0,1.5,3.0,1.5,D.Schroder,N,7.0
2,N.Jokic o39.5 Pts+Rebs,Rotowire Sleeper,Denver Nuggets,Cleveland Cavaliers,1.0,0.76,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,N.Jokic,Y,41.0
3,J.Brunson o31.5 Pts+Rebs+Ast,Rotowire Prizepicks,New York Knicks,Orlando Magic,0.0,0.6,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,J.Brunson,Y,38.0
4,C.Paul o8.5 Pts,Rotowire Prizepicks,San Antonio Spurs,Brooklyn Nets,0.0,0.6666666666666666,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,C.Paul,N,5.0
5,M.Bridges o16.5 Pts,Rotowire Prizepicks_duplicate,New York Knicks,Orlando Magic,0.0,0.6,1,0.8,1,0.9,1,100.0,1.5,3.0,1.5,M.Bridges,Y,17.0
6,J.Sochan o13.5 Pts,Rotowire Prizepicks,San Antonio Spurs,Brooklyn Nets,0.0,0.7647058823529411,1,0.8,1,0.8,1,100.0,1.5,3.0,1.5,J.Sochan,N,12.0
7,J.Allen o20.5 Pts+Rebs,Rotowire Sleeper,Cleveland Cavaliers,Denver Nuggets,0.0,0.6333333333333333,1,0.2,0,0.3,0,100.0,1.5,3.0,1.5,J.Allen,Y,32.0
8,M.Bridges o19.5 Pts+Ast,Rotowire Prizepicks_duplicate,New York Knicks,Orlando Magic,0.0,0.6333333333333333,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,M.Bridges,Y,20.0
9,J.Allen o1.5 Ast,Markus_Markets,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.8,1,0.6,1,-125.0,1.0,1.8,0.8,J.Allen,Y,4.0
10,J.Allen o4.5 Ast,Markus_Markets,Cleveland Cavaliers,Denver Nuggets,0.0,0.0666666666666666,0,0.0,0,0.1,0,1080.0,0.25,2.95,2.7,J.Allen,N,4.0
11,C.Paul o16.5 Pts+Ast,Rotowire Prizepicks,San Antonio Spurs,Brooklyn Nets,0.0,0.5666666666666667,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,C.Paul,N,10.0
12,J.Brunson o23.5 Pts,sandyplashkes,New York Knicks,Orlando Magic,0.0,0.4666666666666667,0,0.4,0,0.4,0,-108.0,1.08,2.08,1.0,J.Brunson,Y,26.0
13,E.Mobley o29.5 Pts+Rebs+Ast,sandyplashkes,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.4,0,0.6,1,-116.0,1.16,2.16,0.9999999999999998,E.Mobley,Y,37.0
14,O.Anunoby o14.5 Pts+Ast,Rotowire Sleeper,New York Knicks,Orlando Magic,0.0,0.7,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,O.Anunoby,N,8.0
15,D.White u3.5 3pt M,PvB_Bets,Boston Celtics,Indiana Pacers,1.0,0.5172413793103449,1,0.8,1,0.7,1,-125.0,1.0,1.8,0.8,D.White,Y,3.0
16,E.Mobley o29.5 Pts+Rebs+Ast,LinesAtLunch,Cleveland Cavaliers,Denver Nuggets,0.0,0.5,0,0.4,0,0.6,1,-116.0,1.16,2.16,0.9999999999999998,E.Mobley,Y,37.0
17,J.Brunson o23.5 Pts,LinesAtLunch,New York Knicks,Orlando Magic,0.0,0.4666666666666667,0,0.4,0,0.4,0,-108.0,1.08,2.08,1.0,J.Brunson,Y,26.0
18,Q.Grimes o17.5 Pts+Rebs+Ast,Rotowire Prizepicks,Dallas Mavericks,Phoenix Suns,0.0,0.3571428571428571,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,Q.Grimes,N,14.0
19,B.Beal o3.5 Ast,Markus_Markets,Phoenix Suns,Dallas Mavericks,1.0,0.4736842105263157,0,0.4,0,0.5,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,B.Beal,Y,4.0
20,J.Morant u8.5 Ast,PvB_Bets,Memphis Grizzlies,New Orleans Pelicans,0.0,0.4736842105263157,0,0.6,1,0.7,1,-145.0,1.0,1.6896551724137931,0.6896551724137931,J.Morant,Y,7.0
21,J.Nurkic o8.5 Pts,Rotowire Sleeper,Phoenix Suns,Dallas Mavericks,1.0,0.5454545454545454,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Nurkic,N,3.0
22,P.Washington o7.5 Rebs,JoeDellera,Dallas Mavericks,Phoenix Suns,0.0,0.5,0,0.2,0,0.3,0,-132.0,1.0,1.7575757575757576,0.7575757575757576,P.Washington,N,3.0
23,Q.Grimes o14.5 Pts+Rebs,Rotowire Prizepicks,Dallas Mavericks,Phoenix Suns,0.0,0.3928571428571428,0,0.8,1,0.6,1,100.0,1.5,3.0,1.5,Q.Grimes,N,13.0
24,J.Brunson o32.5 Pts+Rebs+Ast,Rotowire Prizepicks,New York Knicks,Orlando Magic,0.0,0.6,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,J.Brunson,Y,38.0
25,J.Nurkic o19.5 Pts+Rebs,Rotowire Sleeper,Phoenix Suns,Dallas Mavericks,1.0,0.4545454545454545,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,J.Nurkic,N,8.0
26,O.Anunoby o4.5 Rebs,Rotowire Prizepicks,New York Knicks,Orlando Magic,0.0,0.6,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,O.Anunoby,Y,5.0
27,N.Jokic o12.5 Rebs,JoeDellera,Denver Nuggets,Cleveland Cavaliers,1.0,0.56,1,0.6,1,0.6,1,100.0,1.0,2.0,1.0,N.Jokic,Y,14.0
28,T.Murphy o18.5 Pts,Rotowire Sleeper,New Orleans Pelicans,Memphis Grizzlies,1.0,0.6111111111111112,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,T.Murphy,Y,35.0
29,K.Irving o10.5 Rebs+Ast,RoyalsProps,Dallas Mavericks,Phoenix Suns,0.0,0.3333333333333333,0,0.2,0,0.3,0,-118.0,1.18,2.18,0.9999999999999998,K.Irving,N,9.0
30,N.Reid o14.5 Pts+Rebs,Rotowire Sleeper,Minnesota Timberwolves,Houston Rockets,0.0,0.6551724137931034,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,N.Reid,Y,16.0
31,J.Morant o22.5 Pts,RoyalsProps,Memphis Grizzlies,New Orleans Pelicans,0.0,0.4210526315789473,0,0.4,0,0.5,0,-120.0,1.2,2.2,1.0000000000000002,J.Morant,Y,25.0
32,J.Brunson o25.5 Pts+Rebs,Rotowire Sleeper,New York Knicks,Orlando Magic,0.0,0.5,0,0.6,1,0.4,0,100.0,1.5,3.0,1.5,J.Brunson,Y,29.0
33,J.Brunson o32.5 Pts+Rebs+Ast,Rotowire Sleeper,New York Knicks,Orlando Magic,0.0,0.6,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,J.Brunson,Y,38.0
