,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,R.Hachimura o17.5 Pts+Rebs+Ast,sandyplashkes,-115,1.15,2.1499999999999995,Los Angeles Lakers,R.Hachimura,Minnesota Timberwolves,1.0,0.9999999999999996,Y,1.0,1,1.0,1,1.0,1
1,A.Reaves o23.5 Pts+Rebs+Ast,KyleJustBets,-120,1.0,1.8333333333333333,Los Angeles Lakers,A.Reaves,Minnesota Timberwolves,1.0,0.8333333333333335,Y,1.0,1,1.0,1,1.0,1
2,N.Reid o11.5 Pts,kylemurray03,-118,1.18,2.18,Minnesota Timberwolves,N.Reid,Los Angeles Lakers,0.0,0.9999999999999998,Y,1.0,1,1.0,1,1.0,1
3,J.Randle o29.5 Pts+Rebs+Ast,PvB_Bets,-125,1.0,1.8,Minnesota Timberwolves,J.Randle,Los Angeles Lakers,0.0,0.8,N,0.0,0,0.0,0,0.0,0
4,D.DiVincenzo o17.5 Pts+Rebs+Ast,CeeJPicks,-113,1.13,2.13,Minnesota Timberwolves,D.DiVincenzo,Los Angeles Lakers,0.0,1.0,N,0.0,0,0.0,0,0.0,0
5,J.Randle o25.5 Pts+Rebs,JBBets1,-120,1.0,1.8333333333333333,Minnesota Timberwolves,J.Randle,Los Angeles Lakers,0.0,0.8333333333333335,N,0.0,0,0.0,0,0.0,0
6,A.Davis o0.5 3pt M,theprophunter0_,385,0.5,2.425,Los Angeles Lakers,A.Davis,Minnesota Timberwolves,1.0,1.925,Y,1.0,1,1.0,1,1.0,1
7,J.Randle u18.5 Pts,boomerslocks,-108,1.5,2.8888888888888893,Minnesota Timberwolves,J.Randle,Los Angeles Lakers,0.0,1.3888888888888893,Y,1.0,1,1.0,1,1.0,1
8,R.Hachimura o4.5 Rebs,FirefighterBets,-120,1.0,1.8333333333333333,Los Angeles Lakers,R.Hachimura,Minnesota Timberwolves,1.0,0.8333333333333335,Y,1.0,1,1.0,1,1.0,1
9,A.Reaves u23.5 Pts+Rebs+Ast,gneiffer07,-114,1.14,2.14,Los Angeles Lakers,A.Reaves,Minnesota Timberwolves,1.0,0.9999999999999998,N,0.0,0,0.0,0,0.0,0
10,J.Randle o29.5 Pts+Rebs+Ast,CeeJPicks,-102,1.02,2.02,Minnesota Timberwolves,J.Randle,Los Angeles Lakers,0.0,1.0,N,0.0,0,0.0,0,0.0,0
11,A.Davis o24.5 Pts,CeeJPicks,-115,1.15,2.1499999999999995,Los Angeles Lakers,A.Davis,Minnesota Timberwolves,1.0,0.9999999999999996,Y,1.0,1,1.0,1,1.0,1
12,R.Hachimura o17.5 Pts+Rebs+Ast,Mjaybrxd,-115,0.5,0.934782608695652,Los Angeles Lakers,R.Hachimura,Minnesota Timberwolves,1.0,0.4347826086956521,Y,1.0,1,1.0,1,1.0,1
13,A.Davis o24.5 Pts,itsbucketsnba,-115,1.0,1.869565217391304,Los Angeles Lakers,A.Davis,Minnesota Timberwolves,1.0,0.8695652173913042,Y,1.0,1,1.0,1,1.0,1
