,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,M.Turner o14.5 Pts,Markus_Markets,Indiana Pacers,San Antonio Spurs,0.0,0.4878048780487805,0,0.8,1,0.7,1,-130.0,1.0,1.7692307692307692,0.7692307692307692,M.Turner,N,14.0
1,B.Mathurin o20.5 Pts+Rebs+Ast,TopShelfAction,Indiana Pacers,San Antonio Spurs,0.0,0.627906976744186,1,0.6,1,0.6,1,-105.0,0.9,1.7571428571428571,0.8571428571428571,B.Mathurin,N,17.0
2,D.Vassell o16.5 Pts,ABonARoll,San Antonio Spurs,Indiana Pacers,1.0,0.5555555555555556,1,1.0,1,0.7,1,-168.0,1.0,1.5952380952380951,0.5952380952380953,D.Vassell,N,6.0
3,J.Sochan o19.5 Pts+Rebs+Ast,TopShelfAction,San Antonio Spurs,Indiana Pacers,1.0,0.6956521739130435,1,0.2,0,0.6,1,105.0,0.8,1.64,0.8399999999999999,J.Sochan,N,6.0
4,A.Nembhard o19.5 Pts+Rebs+Ast,TopShelfAction,Indiana Pacers,San Antonio Spurs,0.0,0.4482758620689655,0,0.8,1,0.5,0,100.0,0.7,1.4,0.7,A.Nembhard,Y,32.0
5,C.Paul o7.5 Ast,TopShelfAction,San Antonio Spurs,Indiana Pacers,1.0,0.6428571428571429,1,0.4,0,0.5,0,-115.0,0.8,1.4956521739130435,0.6956521739130435,C.Paul,Y,8.0
6,M.Turner o15.5 Pts,CamIsMoney18,Indiana Pacers,San Antonio Spurs,0.0,0.3658536585365853,0,0.6,1,0.6,1,-104.0,1.0,1.9615384615384617,0.9615384615384616,M.Turner,N,14.0
7,V.Wembanyama u3.5 3pt M,sandyplashkes,San Antonio Spurs,Indiana Pacers,1.0,0.5675675675675675,1,0.8,1,0.7,1,-120.0,1.2,2.2,1.0000000000000002,V.Wembanyama,Y,2.0
8,M.Turner o1.5 3pt M,ThePropfessor_,Indiana Pacers,San Antonio Spurs,0.0,0.5853658536585366,1,0.8,1,0.8,1,-135.0,1.35,2.35,1.0,M.Turner,Y,2.0
9,C.Braun o16.5 Pts+Rebs+Ast,TopShelfAction,Denver Nuggets,Minnesota Timberwolves,0.0,0.7906976744186046,1,0.8,1,0.7,1,-115.0,0.9,1.6826086956521735,0.7826086956521737,C.Braun,Y,18.0
10,M.Porter u2.5 3pt M,TopShelfAction,Denver Nuggets,Minnesota Timberwolves,0.0,0.4545454545454545,0,0.4,0,0.5,0,100.0,1.2,2.4,1.2,M.Porter,N,3.0
11,R.Gobert o23.5 Pts+Rebs+Ast,TopShelfAction,Minnesota Timberwolves,Denver Nuggets,1.0,0.4318181818181818,0,0.2,0,0.4,0,-105.0,0.9,1.7571428571428571,0.8571428571428571,R.Gobert,Y,33.0
12,R.Westbrook o22.5 Pts+Rebs+Ast,TopShelfAction,Denver Nuggets,Minnesota Timberwolves,0.0,0.5681818181818182,1,0.8,1,0.8,1,-115.0,0.8,1.4956521739130435,0.6956521739130435,R.Westbrook,Y,23.0
13,R.Westbrook o12.5 Pts,TopShelfAction,Denver Nuggets,Minnesota Timberwolves,0.0,0.4090909090909091,0,0.4,0,0.6,1,-105.0,0.9,1.7571428571428571,0.8571428571428571,R.Westbrook,Y,13.0
14,A.Reaves o27.5 Pts+Rebs+Ast,sandyplashkes,Los Angeles Lakers,Golden State Warriors,0.0,0.5135135135135135,1,0.6,1,0.6,1,-120.0,1.2,2.2,1.0000000000000002,A.Reaves,Y,28.0
15,M.Moody o9.5 Pts,FirefighterBets,Golden State Warriors,Los Angeles Lakers,1.0,0.4594594594594595,0,1.0,1,0.6,1,-105.0,1.0,1.9523809523809523,0.9523809523809524,M.Moody,Y,10.0
