,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,J.McDaniels u17.5 Pts+Rebs+Ast,Markus_Markets,Minnesota Timberwolves,New York Knicks,0.0,0.675,1,0.6,1,0.6,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,J.McDaniels,N,20.0
1,J.Randle o19.5 Pts,therocketplays,Minnesota Timberwolves,New York Knicks,0.0,0.55,1,0.4,0,0.3,0,-110.0,1.1,2.1,1.0,J.Randle,N,8.0
2,A.Edwards o3.5 3pt M,CamIsMoney18,Minnesota Timberwolves,New York Knicks,0.0,0.7,1,0.8,1,0.7,1,-114.0,1.0,1.8771929824561404,0.8771929824561404,A.Edwards,Y,8.0
3,S.Barnes o5.5 Ast,ThePropfessor_,Toronto Raptors,Milwaukee Bucks,0.0,0.6071428571428571,1,0.6,1,0.3,0,-135.0,1.35,2.35,1.0,S.Barnes,Y,10.0
4,B.Adebayo o3.5 Ast,Markus_Markets,Miami Heat,Denver Nuggets,1.0,0.6052631578947368,1,0.6,1,0.4,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,B.Adebayo,Y,4.0
5,D.Murray o21.5 Pts+Rebs,Rotowire Sleeper,New Orleans Pelicans,Utah Jazz,1.0,0.72,1,1.0,1,0.8,1,100.0,1.5,3.0,1.5,D.Murray,N,13.0
6,D.Lillard o29.5 Pts+Ast,Rotowire Sleeper,Milwaukee Bucks,Toronto Raptors,1.0,0.6875,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Lillard,Y,34.0
7,T.Murphy o25.5 Pts+Rebs,Rotowire Sleeper,New Orleans Pelicans,Utah Jazz,1.0,0.5,0,0.8,1,0.7,1,100.0,1.5,3.0,1.5,T.Murphy,N,23.0
8,N.Marshall o14.5 Pts+Ast,Rotowire Prizepicks,Dallas Mavericks,Oklahoma City Thunder,1.0,0.46875,0,0.8,1,0.5,0,100.0,1.5,3.0,1.5,N.Marshall,Y,15.0
9,V.Wembanyama o3.5 Blk,JoeDellera,San Antonio Spurs,Memphis Grizzlies,1.0,0.3823529411764705,0,0.6,1,0.5,0,-150.0,1.0,1.6666666666666663,0.6666666666666665,V.Wembanyama,Y,6.0
10,V.Wembanyama o4.5 Blk,JoeDellera,San Antonio Spurs,Memphis Grizzlies,1.0,0.2647058823529412,0,0.4,0,0.3,0,130.0,0.25,0.575,0.3249999999999999,V.Wembanyama,Y,6.0
11,A.Reaves o11.5 Rebs+Ast,CamIsMoney18,Los Angeles Lakers,Brooklyn Nets,1.0,0.3333333333333333,0,0.6,1,0.7,1,110.0,1.0,2.1,1.1,A.Reaves,N,6.0
12,N.Vucevic o29.5 Pts+Rebs,Rotowire Sleeper,Chicago Bulls,Charlotte Hornets,1.0,0.625,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,N.Vucevic,Y,53.0
13,V.Wembanyama u40.5 Pts+Rebs+Ast,CamIsMoney18,San Antonio Spurs,Memphis Grizzlies,1.0,0.5588235294117647,1,0.6,1,0.4,0,-110.0,1.0,1.9090909090909087,0.9090909090909092,V.Wembanyama,Y,34.0
14,B.Portis o20.5 Pts+Rebs+Ast,CamIsMoney18,Milwaukee Bucks,Toronto Raptors,1.0,0.5789473684210527,1,0.2,0,0.5,0,-125.0,1.0,1.8,0.8,B.Portis,Y,21.0
15,A.Reaves o6.5 Ast,JoeDellera,Los Angeles Lakers,Brooklyn Nets,1.0,0.3333333333333333,0,0.6,1,0.7,1,-135.0,1.0,1.7407407407407407,0.7407407407407407,A.Reaves,N,3.0
16,D.Murray o1.5 3pt M,CamIsMoney18,New Orleans Pelicans,Utah Jazz,1.0,0.56,1,1.0,1,0.6,1,-150.0,1.0,1.6666666666666663,0.6666666666666665,D.Murray,Y,2.0
17,T.Murphy o29.5 Pts+Rebs+Ast,Rotowire Prizepicks,New Orleans Pelicans,Utah Jazz,1.0,0.5,0,0.8,1,0.7,1,100.0,1.5,3.0,1.5,T.Murphy,N,28.0
18,N.Clowney o10.5 Pts,Rotowire Prizepicks,Brooklyn Nets,Los Angeles Lakers,0.0,0.4193548387096774,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,N.Clowney,Y,11.0
19,D.Murray o1.5 Stl,MJCLocks,New Orleans Pelicans,Utah Jazz,1.0,0.56,1,0.4,0,0.5,0,102.0,1.0,2.02,1.02,D.Murray,N,1.0
20,D.Murray o2.5 Stl,MJCLocks,New Orleans Pelicans,Utah Jazz,1.0,0.36,0,0.0,0,0.3,0,320.0,0.25,1.05,0.8,D.Murray,N,1.0
21,S.Castle u1.5 3pt M,Theotherbabs,San Antonio Spurs,Memphis Grizzlies,1.0,0.7368421052631579,1,0.8,1,0.9,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,S.Castle,Y,1.0
22,B.Adebayo o28.5 Pts+Rebs+Ast,sandyplashkes,Miami Heat,Denver Nuggets,1.0,0.5789473684210527,1,0.6,1,0.6,1,-125.0,1.25,2.25,1.0,B.Adebayo,Y,31.0
23,N.Vucevic u14.5 Rebs+Ast,Theotherbabs,Chicago Bulls,Charlotte Hornets,1.0,0.6,1,0.4,0,0.3,0,-108.0,1.0,1.925925925925926,0.925925925925926,N.Vucevic,N,16.0
24,K.Irving u9.5 Rebs+Ast,Theotherbabs,Dallas Mavericks,Oklahoma City Thunder,1.0,0.6129032258064516,1,1.0,1,0.8,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,K.Irving,N,10.0
25,K.Middleton o15.5 Pts+Ast,Rotowire Sleeper,Milwaukee Bucks,Toronto Raptors,1.0,0.625,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,K.Middleton,Y,18.0
26,J.Jackson o30.5 Pts+Rebs+Ast,Rotowire Prizepicks,Memphis Grizzlies,San Antonio Spurs,0.0,0.4871794871794871,0,0.6,1,0.7,1,100.0,1.5,3.0,1.5,J.Jackson,N,25.0
27,M.Bridges o26.5 Pts+Rebs,Rotowire Prizepicks_duplicate,Charlotte Hornets,Chicago Bulls,0.0,0.4583333333333333,0,0.6,1,0.7,1,100.0,1.5,3.0,1.5,M.Bridges,N,25.0
28,M.Bridges o26.5 Pts+Rebs,Rotowire Prizepicks_duplicate,New York Knicks,Minnesota Timberwolves,1.0,0.2142857142857142,0,0.2,0,0.4,0,100.0,1.5,3.0,1.5,M.Bridges,N,19.0
29,K.Middleton o15.5 Pts+Ast,Rotowire Prizepicks,Milwaukee Bucks,Toronto Raptors,1.0,0.625,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,K.Middleton,Y,18.0
30,K.Porzingis o26.5 Pts+Rebs+Ast,Rotowire Sleeper,Boston Celtics,Orlando Magic,1.0,0.7058823529411765,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,K.Porzingis,Y,28.0
31,N.Vucevic o29.5 Pts+Rebs,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.625,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,N.Vucevic,Y,53.0
32,M.Christie o10.5 Pts,ThePropfessor_,Los Angeles Lakers,Brooklyn Nets,1.0,0.3513513513513513,0,0.6,1,0.7,1,-120.0,1.2,2.2,1.0000000000000002,M.Christie,N,7.0
33,M.Williams o15.5 Pts,JoeDellera,Charlotte Hornets,Chicago Bulls,0.0,0.4,0,0.6,1,0.6,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,M.Williams,Y,19.0
34,D.Eubanks o7.5 Rebs,CamIsMoney18,Utah Jazz,New Orleans Pelicans,0.0,0.2,0,0.8,1,0.4,0,-140.0,1.0,1.7142857142857144,0.7142857142857144,D.Eubanks,N,7.0
35,D.Eubanks o18.5 Pts+Rebs+Ast,sandyplashkes,Utah Jazz,New Orleans Pelicans,0.0,0.1,0,0.4,0,0.2,0,-116.0,1.16,2.16,0.9999999999999998,D.Eubanks,Y,25.0
36,J.Giddey u28.5 Pts+Rebs+Ast,Markus_Markets,Chicago Bulls,Charlotte Hornets,1.0,0.6216216216216216,1,0.4,0,0.4,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,J.Giddey,Y,16.0
37,M.Christie o10.5 Pts,Markus_Markets,Los Angeles Lakers,Brooklyn Nets,1.0,0.3513513513513513,0,0.6,1,0.7,1,-125.0,1.0,1.8,0.8,M.Christie,N,7.0
38,D.Lillard o27.8 Pts+Rebs,Markus_Markets,Milwaukee Bucks,Toronto Raptors,1.0,0.65625,1,0.8,1,0.6,1,-115.0,1.0,1.869565217391304,0.8695652173913042,D.Lillard,Y,29.0
39,V.Wembanyama o40.5 Pts+Rebs+Ast,Rotowire Sleeper,San Antonio Spurs,Memphis Grizzlies,1.0,0.4411764705882353,0,0.4,0,0.6,1,100.0,1.5,3.0,1.5,V.Wembanyama,N,34.0
40,K.Porzingis o27.5 Pts+Rebs+Ast,Rotowire Prizepicks,Boston Celtics,Orlando Magic,1.0,0.7058823529411765,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,K.Porzingis,Y,28.0
41,J.Hart o23.5 Pts+Rebs,Rotowire Prizepicks,New York Knicks,Minnesota Timberwolves,1.0,0.5365853658536586,1,0.8,1,0.8,1,100.0,1.5,3.0,1.5,J.Hart,N,21.0
42,D.Russell o13.5 Pts,therocketplays,Brooklyn Nets,Los Angeles Lakers,0.0,0.25,0,0.25,0,0.25,0,-118.0,1.18,2.18,0.9999999999999998,D.Russell,Y,19.0
43,D.Vassell u19.5 Pts,gneiffer07,San Antonio Spurs,Memphis Grizzlies,1.0,0.6666666666666666,1,0.6,1,0.7,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,D.Vassell,N,21.0
44,D.Russell o14.5 Pts,sandyplashkes,Brooklyn Nets,Los Angeles Lakers,0.0,0.25,0,0.25,0,0.25,0,-110.0,1.1,2.1,1.0,D.Russell,Y,19.0
45,C.White o24.5 Pts+Rebs+Ast,gneiffer07,Chicago Bulls,Charlotte Hornets,1.0,0.6052631578947368,1,0.8,1,0.9,1,-120.0,1.2,2.2,1.0000000000000002,C.White,Y,31.0
46,B.Adebayo o15.5 Pts,gneiffer07,Miami Heat,Denver Nuggets,1.0,0.5,0,0.4,0,0.5,0,-110.0,1.1,2.1,1.0,B.Adebayo,Y,16.0
47,J.Giddey o19.5 Pts+Rebs,Rotowire Sleeper,Chicago Bulls,Charlotte Hornets,1.0,0.4054054054054054,0,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Giddey,N,11.0
48,D.Russell o4.5 Ast,ThePropfessor_,Brooklyn Nets,Los Angeles Lakers,0.0,0.75,1,0.75,1,0.75,1,-140.0,1.4,2.4,1.0,D.Russell,Y,8.0
49,D.Russell o18.5 Pts+Ast,RoyalsProps,Brooklyn Nets,Los Angeles Lakers,0.0,0.75,1,0.75,1,0.75,1,-120.0,1.2,2.2,1.0000000000000002,D.Russell,Y,27.0
50,T.Prince o5.5 Pts,Rotowire Sleeper,Milwaukee Bucks,Toronto Raptors,1.0,0.5641025641025641,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,T.Prince,Y,9.0
51,J.Tatum o24.5 Pts,MJCLocks,Boston Celtics,Orlando Magic,1.0,0.6486486486486487,1,0.6,1,0.4,0,-130.0,1.3,2.3,0.9999999999999998,J.Tatum,Y,30.0
52,J.Randle o19.5 Pts,WrightBrosBet,Minnesota Timberwolves,New York Knicks,0.0,0.55,1,0.4,0,0.3,0,-140.0,1.0,1.7142857142857144,0.7142857142857144,J.Randle,N,8.0
53,G.Dick o1.5 Ast,WrightBrosBet,Toronto Raptors,Milwaukee Bucks,0.0,0.6285714285714286,1,0.6,1,0.6,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,G.Dick,Y,3.0
54,C.Boucher o8.5 Pts,Rotowire Sleeper,Toronto Raptors,Milwaukee Bucks,0.0,0.6111111111111112,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,C.Boucher,N,6.0
55,N.Vucevic o18.5 Pts,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.6,1,0.4,0,0.5,0,100.0,1.5,3.0,1.5,N.Vucevic,Y,40.0
56,T.Rozier o5.5 Rebs+Ast,Rotowire Prizepicks,Miami Heat,Denver Nuggets,1.0,0.6285714285714286,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,T.Rozier,Y,12.0
57,J.Giddey o18.5 Pts+Ast,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.5945945945945946,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Giddey,N,11.0
58,J.Giddey o20.5 Pts+Rebs,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.3513513513513513,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,J.Giddey,N,11.0
59,N.Marshall o11.5 Pts,itsbucketsnba,Dallas Mavericks,Oklahoma City Thunder,1.0,0.40625,0,0.2,0,0.3,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,N.Marshall,Y,14.0
60,V.Wembanyama o25.5 Pts,itsbucketsnba,San Antonio Spurs,Memphis Grizzlies,1.0,0.4117647058823529,0,0.0,0,0.4,0,-110.0,1.0,1.9090909090909087,0.9090909090909092,V.Wembanyama,N,19.0
61,T.Herro u24.5 Pts,itsbucketsnba,Miami Heat,Denver Nuggets,1.0,0.5384615384615384,1,0.4,0,0.4,0,-115.0,1.0,1.869565217391304,0.8695652173913042,T.Herro,Y,22.0
62,L.Ball o38.5 Pts+Ast,Rotowire Sleeper_duplicate,Charlotte Hornets,Chicago Bulls,0.0,0.4230769230769231,0,0.2,0,0.4,0,100.0,1.5,3.0,1.5,L.Ball,N,35.0
63,L.Ball o38.5 Pts+Ast,Rotowire Sleeper_duplicate,Chicago Bulls,Charlotte Hornets,1.0,0.0,0,0.0,0,0.0,0,100.0,1.5,3.0,1.5,L.Ball,N,9.0
64,C.Boucher o13.5 Pts+Rebs,Rotowire Sleeper,Toronto Raptors,Milwaukee Bucks,0.0,0.5277777777777778,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,C.Boucher,N,12.0
65,J.Hart o29.5 Pts+Rebs+Ast,Rotowire Sleeper,New York Knicks,Minnesota Timberwolves,1.0,0.5609756097560976,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,J.Hart,N,21.0
66,J.Hart o24.5 Pts+Rebs,Rotowire Sleeper,New York Knicks,Minnesota Timberwolves,1.0,0.4390243902439024,0,0.8,1,0.8,1,100.0,1.5,3.0,1.5,J.Hart,N,21.0
67,O.Anunoby o14.5 Pts,Rotowire Sleeper,New York Knicks,Minnesota Timberwolves,1.0,0.5,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,O.Anunoby,Y,18.0
68,C.Williams u13.5 Pts+Rebs+Ast,allanlemdfs,Utah Jazz,New Orleans Pelicans,0.0,0.9166666666666666,1,0.8,1,0.9,1,-125.0,0.63,1.134,0.5040000000000001,C.Williams,Y,4.0
69,A.Gordon o7.5 Pts,Rotowire Sleeper,Denver Nuggets,Miami Heat,0.0,0.7894736842105263,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,A.Gordon,Y,16.0
70,N.Vucevic o31.5 Pts+Rebs+Ast,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.725,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,N.Vucevic,Y,56.0
71,N.Vucevic o20.5 Pts+Ast,Rotowire Prizepicks,Chicago Bulls,Charlotte Hornets,1.0,0.675,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,N.Vucevic,Y,43.0
72,B.Lopez o16.5 Pts+Rebs,Rotowire Prizepicks,Milwaukee Bucks,Toronto Raptors,1.0,0.4871794871794871,0,0.6,1,0.6,1,100.0,1.5,3.0,1.5,B.Lopez,N,16.0
73,S.Aldama o15.5 Pts+Rebs,Rotowire Sleeper,Memphis Grizzlies,San Antonio Spurs,0.0,0.6857142857142857,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,S.Aldama,Y,37.0
74,J.Wilson o7.5 Pts,Rotowire Prizepicks,Brooklyn Nets,Los Angeles Lakers,0.0,0.625,1,0.4,0,0.7,1,100.0,1.5,3.0,1.5,J.Wilson,Y,11.0
75,J.Wells o13.5 Pts+Rebs,Rotowire Prizepicks,Memphis Grizzlies,San Antonio Spurs,0.0,0.5609756097560976,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,J.Wells,Y,25.0
76,C.Paul o17.5 Pts+Ast,Rotowire Prizepicks,San Antonio Spurs,Memphis Grizzlies,1.0,0.5641025641025641,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,C.Paul,N,12.0
77,C.Wallace o8.5 Pts,Rotowire Sleeper,Oklahoma City Thunder,Dallas Mavericks,0.0,0.4102564102564102,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,C.Wallace,Y,10.0
78,C.Wallace o6.5 Rebs+Ast,Rotowire Sleeper,Oklahoma City Thunder,Dallas Mavericks,0.0,0.3846153846153846,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,C.Wallace,Y,11.0
79,D.Bane o29.5 Pts+Rebs+Ast,CamIsMoney18,Memphis Grizzlies,San Antonio Spurs,0.0,0.4375,0,0.6,1,0.7,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,D.Bane,Y,42.0
80,D.Sharpe o5.5 Rebs,Rotowire Sleeper,Brooklyn Nets,Los Angeles Lakers,0.0,0.631578947368421,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,D.Sharpe,N,5.0
81,J.Wells o10.5 Pts,Rotowire Sleeper,Memphis Grizzlies,San Antonio Spurs,0.0,0.5365853658536586,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,J.Wells,Y,22.0
82,D.Sharpe o13.5 Pts+Rebs,Rotowire Sleeper,Brooklyn Nets,Los Angeles Lakers,0.0,0.5263157894736842,1,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Sharpe,N,6.0
83,C.Paul o22.5 Pts+Rebs+Ast,Rotowire Prizepicks,San Antonio Spurs,Memphis Grizzlies,1.0,0.5384615384615384,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,C.Paul,N,14.0
84,R.Hachimura o12.5 Pts+Ast,Rotowire Prizepicks,Los Angeles Lakers,Brooklyn Nets,1.0,0.4848484848484848,0,0.6,1,0.5,0,100.0,1.5,3.0,1.5,R.Hachimura,Y,14.0
85,J.Jackson o26.5 Pts+Ast,Rotowire Sleeper,Memphis Grizzlies,San Antonio Spurs,0.0,0.3846153846153846,0,0.4,0,0.5,0,100.0,1.5,3.0,1.5,J.Jackson,N,23.0
86,D.Russell o4.5 Ast,KyleJustBets,Brooklyn Nets,Los Angeles Lakers,0.0,0.75,1,0.75,1,0.75,1,-140.0,1.0,1.7142857142857144,0.7142857142857144,D.Russell,Y,8.0
87,S.Aldama o5.5 Rebs,Rotowire Sleeper,Memphis Grizzlies,San Antonio Spurs,0.0,0.6857142857142857,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,S.Aldama,Y,8.0
88,D.Sharpe o7.5 Pts,Rotowire Sleeper,Brooklyn Nets,Los Angeles Lakers,0.0,0.4210526315789473,0,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Sharpe,N,1.0
89,M.Christie o12.5 Pts+Ast,Rotowire Prizepicks,Los Angeles Lakers,Brooklyn Nets,1.0,0.3243243243243243,0,0.6,1,0.7,1,100.0,1.5,3.0,1.5,M.Christie,N,10.0
90,D.Sharpe o15.5 Pts+Rebs+Ast,Rotowire Sleeper,Brooklyn Nets,Los Angeles Lakers,0.0,0.4210526315789473,0,0.8,1,0.6,1,100.0,1.5,3.0,1.5,D.Sharpe,N,7.0
