,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,2,2,2,D.Lillard o6.5 Ast,JoeDellera,-137,0.36,0.622773723,1.6,Portland Trail Blazers,D.Lillard,Denver Nuggets,1,0.262773723,,,,,,,,,
3,3,3,3,D.Lillard o6.5 Ast,PropBomb,-133,1.0,1.751879699,11.6,Portland Trail Blazers,D.Lillard,Denver Nuggets,1,0.751879699,,,,,,,,,
1,5,5,5,T.Herro u5.5 Ast,SBK5065,-129,0.39,0.692325581,-4.8,Miami Heat,T.Herro,Los Angeles Clippers,1,0.302325581,1.0,1.0,5.0,0.65625,1.0,0.8,1.0,0.5,0.0
